Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-10-31,84.0,445.8,405.3,445.8,667.0,293759.1,0.0,40.5
2021-11-01,120.0,490.3,445.8,490.3,957.0,466425.9,445.8,44.5
2021-11-02,296.0,539.3,500.0,539.3,2891.0,1557835.2,490.3,49.0
2021-11-03,814.0,593.2,550.0,593.2,7962.0,4719682.1,539.3,53.9
2021-11-08,2559.0,652.5,605.0,652.5,28872.0,18817807.9,593.2,59.3
2021-11-09,25469.0,717.7,665.0,717.7,369134.0,257954417.8,652.5,65.2
2021-11-11,10255.0,789.4,681.0,772.5,124511.0,93553669.9,717.7,54.8
2021-11-14,11499.0,772.5,696.5,705.0,186015.0,134423732.3,772.5,-67.5
2021-11-15,6144.0,733.0,691.1,714.0,84049.0,59725214.0,705.0,9.0
2021-11-16,5532.0,765.0,700.5,762.0,106613.0,78470416.5,714.0,46.0
2021-11-17,4184.0,780.0,747.0,752.0,111965.0,85758375.1,762.0,-10.0
2021-11-18,3125.0,752.0,725.0,726.0,79612.0,58472768.3,752.0,-26.0
2021-11-21,3238.0,748.6,712.0,712.0,57348.0,41165888.6,726.0,-14.0
2021-11-22,3457.0,733.0,701.0,723.0,61413.0,44398345.0,712.0,11.0
2021-11-23,2426.0,725.0,705.0,710.0,61860.0,44138550.0,723.0,-13.0
2021-11-24,2399.0,725.1,697.0,716.0,40398.0,28644275.0,710.0,6.0
2021-11-25,1968.0,730.0,705.0,706.0,36247.0,25842139.0,716.0,-10.0
2021-11-28,1813.0,704.0,679.0,682.0,61690.0,42432079.6,706.0,-24.0
2021-11-29,1796.0,683.0,655.0,658.0,59294.0,39655691.4,682.0,-24.0
2021-11-30,1595.0,678.3,640.0,649.0,42982.0,27933731.3,658.0,-9.0
2021-12-01,1063.0,666.6,636.1,649.0,24083.0,15753269.8,649.0,0.0
2021-12-02,1139.0,653.0,616.6,620.0,38173.0,24152942.0,649.0,-29.0
2021-12-05,1517.0,618.0,592.0,600.0,41265.0,24760495.9,620.0,-20.0
2021-12-06,1599.0,649.0,575.0,649.0,55590.0,33512905.5,600.0,49.0
2021-12-07,1232.0,673.9,616.2,635.0,59575.0,38352655.5,649.0,-14.0
2021-12-08,831.0,634.0,594.0,595.0,31289.0,18929146.0,635.0,-40.0
2021-12-09,926.0,619.0,572.0,581.0,44125.0,25700423.0,595.0,-14.0
2021-12-12,916.0,584.6,545.0,545.0,39265.0,21998112.2,581.0,-36.0
2021-12-13,974.0,542.0,500.0,513.0,38196.0,19595979.6,545.0,-32.0
2021-12-14,373.0,564.0,505.0,563.0,14615.0,7901219.0,513.0,50.0
2021-12-15,842.0,600.0,545.0,548.0,30603.0,17373730.2,563.0,-15.0
2021-12-16,674.0,570.0,523.0,540.0,36059.0,19324673.7,548.0,-8.0
2021-12-20,646.0,545.2,514.0,524.5,18596.0,9764185.6,540.0,-15.5
