Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2019-06-16,2.0,1000.0,1000.0,1000.0,42.0,42000.0,0.0,1000.0
2019-12-25,2.0,963.0,963.0,963.0,50000.0,48150000.0,1000.0,-37.0
2019-12-29,2.0,985.0,982.0,985.0,25.0,24595.0,963.0,22.0
2019-12-30,1.0,990.0,990.0,990.0,200.0,198000.0,985.0,5.0
2020-01-13,3.0,1000.0,990.0,1000.0,50.0,49795.0,990.0,10.0
2020-01-14,1.0,1000.0,1000.0,1000.0,25.0,25000.0,1000.0,0.0
2020-01-15,1.0,980.0,980.0,980.0,10.0,9800.0,1000.0,-20.0
2020-01-16,1.0,962.0,962.0,962.0,200.0,192400.0,980.0,-18.0
2020-01-20,5.0,945.0,926.0,926.0,225.0,208870.0,962.0,-36.0
2020-01-22,1.0,930.0,930.0,930.0,50.0,46500.0,926.0,4.0
2020-01-27,1.0,948.0,948.0,948.0,10.0,9480.0,930.0,18.0
2020-01-28,1.0,966.0,966.0,966.0,55.0,53130.0,948.0,18.0
2020-02-02,2.0,970.0,969.0,970.0,250.0,242450.0,966.0,4.0
2020-02-04,2.0,951.0,932.0,932.0,50.0,47075.0,970.0,-38.0
2020-02-05,1.0,950.0,950.0,950.0,25.0,23750.0,932.0,18.0
2020-02-06,1.0,935.0,935.0,935.0,25.0,23375.0,950.0,-15.0
2020-02-10,2.0,934.0,934.0,934.0,50.0,46700.0,935.0,-1.0
2020-02-17,1.0,937.0,937.0,937.0,25.0,23425.0,934.0,3.0
2020-02-19,2.0,935.0,934.0,935.0,50.0,46725.0,937.0,-2.0
2020-02-20,1.0,934.0,934.0,934.0,25.0,23350.0,935.0,-1.0
2020-02-24,4.0,925.0,917.0,917.0,290.0,266890.0,934.0,-17.0
2020-02-25,2.0,930.0,930.0,930.0,50.0,46500.0,917.0,13.0
2020-02-27,4.0,931.0,930.0,930.0,100.0,93050.0,930.0,0.0
2020-03-03,1.0,948.0,948.0,948.0,25.0,23700.0,930.0,18.0
2020-03-04,2.0,948.0,948.0,948.0,50.0,47400.0,948.0,0.0
2020-03-12,2.0,935.0,935.0,935.0,50.0,46750.0,948.0,-13.0
2020-03-15,2.0,933.0,932.0,932.0,195.0,181840.0,935.0,-3.0
2020-07-01,1.0,950.0,950.0,950.0,25.0,23750.0,932.0,18.0
2020-07-08,3.0,969.0,965.0,965.0,175.0,169325.0,950.0,15.0
2020-07-12,1.0,960.0,960.0,960.0,25.0,24000.0,965.0,-5.0
2020-07-13,9.0,1056.0,979.0,1056.0,325.0,333160.0,960.0,96.0
2020-07-19,1.0,1060.0,1060.0,1060.0,100.0,106000.0,1056.0,4.0
