Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,29.0,248.0,230.0,248.0,10550.0,2614379.0,226.0,22.0
2012-06-04,44.0,253.0,235.0,241.0,10165.0,2434686.0,248.0,-7.0
2012-06-05,31.0,242.0,226.0,230.0,4701.0,1081119.0,241.0,-11.0
2012-06-06,35.0,226.0,213.0,217.0,7159.0,1554452.0,230.0,-13.0
2012-06-07,41.0,234.0,215.0,231.0,6698.0,1524169.0,217.0,14.0
2012-06-10,11.0,231.0,219.0,220.0,1075.0,237066.0,231.0,-11.0
2012-06-11,40.0,239.0,218.0,224.0,12237.0,2772501.0,220.0,4.0
2012-06-12,27.0,222.0,215.0,222.0,9497.0,2066249.0,224.0,-2.0
2012-06-13,11.0,225.0,217.0,225.0,1736.0,382738.0,222.0,3.0
2012-06-14,4.0,222.0,218.0,218.0,812.0,178594.0,225.0,-7.0
2012-06-17,14.0,216.0,208.0,211.0,2510.0,530436.0,218.0,-7.0
2012-06-18,11.0,215.0,208.0,215.0,2438.0,513871.0,211.0,4.0
2012-06-19,11.0,216.0,206.0,216.0,4180.0,870232.0,215.0,1.0
2012-06-20,23.0,228.0,213.0,217.0,3731.0,809806.0,216.0,1.0
2012-06-21,17.0,221.0,215.0,219.0,4690.0,1019341.0,217.0,2.0
2012-06-25,43.0,232.0,215.0,232.0,9134.0,2023025.0,219.0,13.0
2012-06-26,5.0,228.0,221.0,222.0,720.0,159830.0,232.0,-10.0
2012-06-27,17.0,229.0,220.0,229.0,4074.0,907540.0,222.0,7.0
2012-06-28,30.0,240.0,227.0,229.0,7722.0,1784249.0,229.0,0.0
2012-07-01,16.0,232.0,228.0,228.0,2724.0,623602.0,229.0,-1.0
2012-07-02,37.0,228.0,223.0,224.0,9443.0,2123876.0,228.0,-4.0
2012-07-03,11.0,228.0,224.0,226.0,2195.0,493874.0,224.0,2.0
2012-07-04,15.0,231.0,225.0,225.0,2927.0,667547.0,226.0,-1.0
2012-07-05,16.0,229.0,221.0,224.0,4384.0,975050.0,225.0,-1.0
2012-07-08,7.0,228.0,218.0,222.0,2857.0,632302.0,224.0,-2.0
2012-07-09,17.0,227.0,222.0,226.0,6989.0,1571460.0,222.0,4.0
2012-07-10,30.0,233.0,220.0,229.0,14463.0,3246200.0,226.0,3.0
2012-07-11,19.0,233.0,225.0,230.0,4936.0,1128367.0,229.0,1.0
2012-07-12,21.0,226.0,222.0,222.0,4213.0,938375.0,230.0,-8.0
2012-07-15,9.0,225.0,215.0,225.0,69387.0,14953145.0,222.0,3.0
2012-07-16,5.0,225.0,225.0,225.0,907.0,204075.0,225.0,0.0
2012-07-17,9.0,226.0,221.0,224.0,1063.0,237734.0,225.0,-1.0
2012-07-18,14.0,229.0,222.0,226.0,5473.0,1232990.0,224.0,2.0
2012-07-19,29.0,238.0,227.0,228.0,4890.0,1131556.0,226.0,2.0
2012-07-22,45.0,239.0,225.0,232.0,14478.0,3356521.0,228.0,4.0
2012-07-23,20.0,243.0,234.0,241.0,7513.0,1794386.0,232.0,9.0
2012-07-24,22.0,248.0,234.0,240.0,3002.0,712471.0,241.0,-1.0
2012-07-25,26.0,240.0,230.0,232.0,4621.0,1072690.0,240.0,-8.0
2012-07-26,17.0,234.0,231.0,234.0,2127.0,495079.0,232.0,2.0
2012-07-29,12.0,238.0,226.0,230.0,2380.0,547772.0,234.0,-4.0
2012-07-30,20.0,237.0,225.0,228.0,4059.0,928600.0,230.0,-2.0
2012-07-31,4.0,232.0,229.0,231.0,358.0,82597.0,228.0,3.0
2012-08-01,22.0,234.0,223.0,228.0,3265.0,743171.0,231.0,-3.0
2012-08-05,10.0,229.0,225.0,227.0,1416.0,321722.0,228.0,-1.0
2012-08-06,10.0,230.0,228.0,228.0,1594.0,365307.0,227.0,1.0
2012-08-07,15.0,225.0,220.0,224.0,3046.0,674423.0,228.0,-4.0
2012-08-08,27.0,224.0,216.0,219.0,3604.0,792055.0,224.0,-5.0
2012-08-12,19.0,217.0,209.0,209.0,2966.0,626276.0,219.0,-10.0
2012-08-13,31.0,213.0,202.0,211.0,5608.0,1166224.0,209.0,2.0
2012-08-14,48.0,207.0,190.0,195.0,8001.0,1563935.0,211.0,-16.0
2012-08-15,26.0,195.0,182.0,186.0,5097.0,951899.0,195.0,-9.0
2012-08-16,12.0,195.0,186.0,194.0,1262.0,238398.0,186.0,8.0
2012-08-19,37.0,191.0,184.0,184.0,4011.0,748916.0,194.0,-10.0
2012-08-21,27.0,184.0,177.0,184.0,15868.0,2829710.0,184.0,0.0
2012-08-22,6.0,191.0,187.0,190.0,1490.0,282175.0,184.0,6.0
2012-08-23,20.0,191.0,187.0,190.0,3498.0,661955.0,190.0,0.0
2012-08-26,33.0,191.0,185.0,185.0,2595.0,489141.0,190.0,-5.0
2012-08-27,25.0,188.0,183.0,184.0,7617.0,1403001.0,185.0,-1.0
2012-08-28,16.0,189.0,183.0,189.0,4139.0,764561.0,184.0,5.0
2012-08-29,18.0,192.0,186.0,189.0,2051.0,388500.0,189.0,0.0
2012-08-30,11.0,189.0,184.0,187.0,6524.0,1213026.0,189.0,-2.0
2012-09-02,17.0,205.0,187.0,202.0,4914.0,941155.0,187.0,15.0
2012-09-03,16.0,206.0,199.0,202.0,6193.0,1255782.0,202.0,0.0
2012-09-04,16.0,202.0,188.0,194.0,5447.0,1060680.0,202.0,-8.0
2012-09-05,10.0,197.0,194.0,196.0,1340.0,261280.0,194.0,2.0
2012-09-06,10.0,205.0,191.0,205.0,2311.0,458683.0,196.0,9.0
2012-09-09,11.0,205.0,196.0,196.0,1010.0,201925.0,205.0,-9.0
2012-09-10,6.0,194.0,190.0,193.0,3025.0,577269.0,196.0,-3.0
2012-09-11,4.0,195.0,192.0,195.0,850.0,164050.0,193.0,2.0
2012-09-12,8.0,196.0,193.0,195.0,1852.0,359909.0,195.0,0.0
2012-09-13,3.0,195.0,195.0,195.0,623.0,121485.0,195.0,0.0
2012-09-16,7.0,198.0,197.0,198.0,1150.0,226600.0,195.0,3.0
2012-09-17,1.0,200.0,200.0,200.0,188.0,37600.0,198.0,2.0
2012-09-18,19.0,205.0,200.0,205.0,7630.0,1549606.0,200.0,5.0
2012-09-19,10.0,202.0,200.0,201.0,2577.0,518170.0,205.0,-4.0
2012-09-20,12.0,200.0,197.0,200.0,2256.0,446864.0,201.0,-1.0
2012-09-23,4.0,196.0,193.0,193.0,900.0,175800.0,200.0,-7.0
2012-09-24,13.0,193.0,187.0,190.0,3145.0,597605.0,193.0,-3.0
2012-09-25,9.0,192.0,187.0,192.0,2231.0,422926.0,190.0,2.0
2012-09-26,6.0,192.0,190.0,190.0,1250.0,237600.0,192.0,-2.0
2012-09-27,48.0,190.0,180.0,187.0,19635.0,3589652.0,190.0,-3.0
2012-09-30,3.0,185.0,185.0,185.0,778.0,143930.0,187.0,-2.0
2012-10-01,12.0,186.0,182.0,185.0,3703.0,683748.0,185.0,0.0
2012-10-02,8.0,188.0,185.0,187.0,2556.0,474801.0,185.0,2.0
2012-10-03,4.0,188.0,185.0,187.0,1058.0,196674.0,187.0,0.0
2012-10-04,4.0,185.0,185.0,185.0,1857.0,343545.0,187.0,-2.0
2012-10-07,11.0,188.0,178.0,188.0,4008.0,744074.0,185.0,3.0
2012-10-08,6.0,187.0,185.0,187.0,1709.0,318531.0,188.0,-1.0
2012-10-09,9.0,190.0,186.0,186.0,1494.0,279991.0,187.0,-1.0
2012-10-10,2.0,187.0,185.0,187.0,134.0,24958.0,186.0,1.0
2012-10-11,1.0,184.0,184.0,184.0,200.0,36800.0,187.0,-3.0
2012-10-14,5.0,190.0,186.0,190.0,1730.0,322970.0,184.0,6.0
2012-10-15,2.0,188.0,187.0,188.0,624.0,116812.0,190.0,-2.0
2012-10-17,10.0,194.0,191.0,194.0,1062.0,203599.0,188.0,6.0
