Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2019-10-01,12.0,141.0,130.0,130.0,273.0,36100.0,143.0,-13.0
2019-10-02,22.0,132.0,125.0,125.0,3134.0,402377.0,130.0,-5.0
2019-10-03,15.0,131.0,127.0,130.0,1384.0,179177.0,125.0,5.0
2019-10-10,3.0,130.0,128.0,130.0,542.0,70176.0,130.0,0.0
2019-10-14,21.0,130.0,125.0,127.0,9515.0,1209901.0,130.0,-3.0
2019-10-15,13.0,126.0,123.0,125.0,2053.0,256410.0,127.0,-2.0
2019-10-16,9.0,126.0,123.0,124.0,858.0,106479.0,125.0,-1.0
2019-10-17,13.0,123.0,122.0,123.0,1623.0,198831.0,124.0,-1.0
2019-10-20,10.0,122.0,121.0,121.0,1713.0,207730.0,123.0,-2.0
2019-10-21,22.0,121.0,119.0,119.0,4943.0,593724.0,121.0,-2.0
2019-10-22,8.0,121.0,119.0,121.0,5043.0,605162.0,119.0,2.0
2019-10-23,11.0,123.0,119.0,123.0,2186.0,261874.0,121.0,2.0
2019-10-24,7.0,123.0,121.0,122.0,308.0,37486.0,123.0,-1.0
2019-10-31,20.0,122.0,116.0,121.0,1195.0,143510.0,122.0,-1.0
2019-11-03,17.0,121.0,119.0,121.0,1578.0,190408.0,121.0,0.0
2019-11-04,4.0,121.0,120.0,121.0,1046.0,126440.0,121.0,0.0
2019-11-05,5.0,121.0,120.0,121.0,1220.0,146915.0,121.0,0.0
2019-11-06,3.0,121.0,120.0,120.0,136.0,16320.0,121.0,-1.0
2019-11-07,11.0,123.0,121.0,121.0,2938.0,356899.0,120.0,1.0
2019-11-10,12.0,121.0,118.0,119.0,1662.0,198817.0,121.0,-2.0
2019-11-11,4.0,122.0,120.0,122.0,536.0,64454.0,119.0,3.0
2019-11-12,6.0,122.0,118.0,119.0,250.0,29740.0,122.0,-3.0
2019-11-13,6.0,122.0,119.0,122.0,1218.0,145287.0,119.0,3.0
2019-11-14,15.0,122.0,118.0,121.0,5187.0,622546.0,122.0,-1.0
2019-11-17,23.0,120.0,117.0,119.0,3320.0,393780.0,121.0,-2.0
2019-11-18,8.0,119.0,117.0,118.0,4586.0,544454.0,119.0,-1.0
2019-11-19,6.0,120.0,118.0,120.0,1544.0,185184.0,118.0,2.0
2019-11-20,12.0,122.0,119.0,121.0,999.0,120922.0,120.0,1.0
2019-11-21,12.0,123.0,120.0,121.0,1587.0,192511.0,121.0,0.0
2019-11-24,13.0,120.0,119.0,119.0,3518.0,419947.0,121.0,-2.0
2019-11-25,7.0,120.0,118.0,120.0,1517.0,180026.0,119.0,1.0
2019-11-26,8.0,118.0,118.0,118.0,1105.0,130390.0,120.0,-2.0
2019-11-27,14.0,118.0,116.0,118.0,1800.0,209467.0,118.0,0.0
2019-11-28,13.0,119.0,116.0,116.0,3856.0,449406.0,118.0,-2.0
2019-12-01,2.0,116.0,116.0,116.0,120.0,13920.0,116.0,0.0
2019-12-02,18.0,118.0,114.0,114.0,5389.0,621904.0,116.0,-2.0
2019-12-03,15.0,118.0,115.0,115.0,2150.0,249930.0,114.0,1.0
2019-12-04,4.0,118.0,116.0,118.0,1691.0,197645.0,115.0,3.0
2019-12-05,9.0,120.0,116.0,120.0,1678.0,196168.0,118.0,2.0
2019-12-08,1.0,119.0,119.0,119.0,675.0,80325.0,120.0,-1.0
2019-12-09,12.0,121.0,117.0,121.0,628.0,75552.0,119.0,2.0
2019-12-18,4.0,121.0,119.0,120.0,2852.0,343063.0,121.0,-1.0
2019-12-19,67.0,122.0,119.0,120.0,12148.0,1462348.0,120.0,0.0
2019-12-22,25.0,125.0,119.0,122.0,3187.0,388459.0,120.0,2.0
2019-12-23,30.0,129.0,121.0,129.0,2900.0,363014.0,122.0,7.0
2019-12-24,12.0,127.0,121.0,123.0,1511.0,186433.0,129.0,-6.0
2019-12-25,11.0,125.0,121.0,123.0,2365.0,291166.0,123.0,0.0
2019-12-26,17.0,126.0,122.0,125.0,3155.0,392389.0,123.0,2.0
2019-12-29,19.0,125.0,123.0,123.0,3999.0,492461.0,125.0,-2.0
2019-12-30,7.0,124.0,122.0,124.0,1415.0,172728.0,123.0,1.0
2019-12-31,9.0,125.0,122.0,125.0,568.0,69905.0,124.0,1.0
2020-01-01,19.0,127.0,122.0,127.0,4159.0,511918.0,125.0,2.0
2020-01-02,8.0,126.0,122.0,122.0,2195.0,270444.0,127.0,-5.0
2020-01-05,21.0,131.0,123.0,131.0,2782.0,357928.0,122.0,9.0
2020-01-06,37.0,135.0,127.0,131.0,3761.0,488130.0,131.0,0.0
2020-01-07,32.0,134.0,127.0,134.0,8738.0,1153846.0,131.0,3.0
2020-01-08,37.0,135.0,130.0,134.0,9804.0,1303093.0,134.0,0.0
2020-01-09,32.0,138.0,131.0,132.0,7670.0,1024760.0,134.0,-2.0
2020-01-12,33.0,141.0,133.0,141.0,10071.0,1383161.0,132.0,9.0
2020-01-13,35.0,151.0,140.0,147.0,10610.0,1537611.0,141.0,6.0
2020-01-14,20.0,145.0,138.0,138.0,1610.0,226570.0,147.0,-9.0
