Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-04-26,3.0,1030.0,1000.0,1030.0,100.0,102300.0,0.0,1030.0
2021-04-27,1.0,1012.0,1012.0,1012.0,25.0,25300.0,1030.0,-18.0
2021-04-28,2.0,1050.0,1032.0,1050.0,335.0,351120.0,1012.0,38.0
2021-05-02,1.0,1051.0,1051.0,1051.0,25.0,26275.0,1050.0,1.0
2021-05-03,2.0,1050.0,1040.0,1050.0,35.0,36650.0,1051.0,-1.0
2021-05-05,1.0,1050.0,1050.0,1050.0,50.0,52500.0,1050.0,0.0
2021-05-06,1.0,1060.0,1060.0,1060.0,25.0,26500.0,1050.0,10.0
2021-05-10,3.0,1063.0,1060.0,1063.0,100.0,106150.0,1060.0,3.0
2021-05-12,1.0,1065.0,1065.0,1065.0,50.0,53250.0,1063.0,2.0
2021-05-13,1.0,1050.0,1050.0,1050.0,25.0,26250.0,1065.0,-15.0
2021-05-18,1.0,1050.0,1050.0,1050.0,25.0,26250.0,1050.0,0.0
2021-05-30,1.0,1052.0,1052.0,1052.0,35.0,36820.0,1050.0,2.0
2021-05-31,3.0,1060.0,1045.0,1060.0,112.0,117870.0,1052.0,8.0
2021-06-01,1.0,1055.0,1055.0,1055.0,25.0,26375.0,1060.0,-5.0
2021-06-02,1.0,1055.0,1055.0,1055.0,25.0,26375.0,1055.0,0.0
2021-06-06,2.0,1060.0,1050.0,1050.0,225.0,238250.0,1055.0,-5.0
2021-06-14,3.0,1071.0,1060.0,1071.0,100.0,106825.0,1050.0,21.0
2021-06-15,1.0,1051.0,1051.0,1051.0,50.0,52550.0,1071.0,-20.0
2021-06-21,2.0,1072.0,1072.0,1072.0,50.0,53600.0,1051.0,21.0
2021-06-22,1.0,1072.0,1072.0,1072.0,25.0,26800.0,1072.0,0.0
2021-06-27,2.0,1072.0,1072.0,1072.0,25.0,26800.0,1072.0,0.0
2021-07-06,1.0,1072.0,1072.0,1072.0,10.0,10720.0,1072.0,0.0
2021-07-11,1.0,1076.0,1076.0,1076.0,75.0,80700.0,1072.0,4.0
2021-07-14,1.0,1097.0,1097.0,1097.0,100.0,109700.0,1076.0,21.0
2021-08-09,3.0,1075.1,1053.6,1053.6,125.0,131915.0,1097.0,-43.4
2021-08-11,2.0,1045.0,1040.0,1045.0,175.0,182125.0,1053.6,-8.6
2021-08-29,1.0,1040.0,1040.0,1040.0,25.0,26000.0,1045.0,-5.0
2021-08-31,1.0,1026.1,1026.1,1026.1,15.0,15391.5,1040.0,-13.9
2021-09-06,2.0,1046.0,1046.0,1046.0,250.0,261500.0,1026.1,19.9
2021-09-07,1.0,1046.0,1046.0,1046.0,100.0,104600.0,1046.0,0.0
2021-09-08,1.0,1046.1,1046.1,1046.1,50.0,52305.0,1046.0,0.1
2021-11-11,2.0,1026.0,1025.6,1026.0,75.0,76940.0,1046.1,-20.1
2021-11-15,1.0,1005.5,1005.5,1005.5,25.0,25137.5,1026.0,-20.5
2021-12-07,2.0,996.8,996.8,996.8,25.0,24920.0,1005.5,-8.7
2021-12-12,5.0,998.6,995.2,995.2,142.0,141477.0,996.8,-1.6
2021-12-13,5.0,997.1,990.0,990.0,800.0,792352.5,995.2,-5.2
2021-12-26,1.0,1000.0,1000.0,1000.0,10.0,10000.0,990.0,10.0
2022-01-03,1.0,1020.0,1020.0,1020.0,25.0,25500.0,1000.0,20.0
2022-01-23,1.0,1003.0,1003.0,1003.0,10.0,10030.0,1020.0,-17.0
2022-01-24,2.0,1005.0,1005.0,1005.0,40.0,40200.0,1003.0,2.0
2022-01-25,1.0,984.9,984.9,984.9,50.0,49245.0,1005.0,-20.1
2022-01-26,1.0,990.0,990.0,990.0,50.0,49500.0,984.9,5.1
2022-04-12,1.0,970.2,970.2,970.2,50.0,48510.0,990.0,-19.8
2022-04-17,1.0,951.1,951.1,951.1,25.0,23777.5,970.2,-19.1
2022-04-18,1.0,951.1,951.1,951.1,25.0,23777.5,951.1,0.0
