Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,23.0,1829.0,1696.0,1829.0,1155.0,2081737.0,1663.0,166.0
2012-06-04,29.0,1816.0,1705.0,1780.0,1566.0,2779293.0,1829.0,-49.0
2012-06-05,30.0,1754.0,1705.0,1730.0,1870.0,3216930.0,1780.0,-50.0
2012-06-06,19.0,1730.0,1702.0,1730.0,1406.0,2402254.0,1730.0,0.0
2012-06-07,19.0,1780.0,1700.0,1740.0,1457.0,2542627.0,1730.0,10.0
2012-06-10,5.0,1706.0,1700.0,1700.0,259.0,440600.0,1740.0,-40.0
2012-06-11,29.0,1768.0,1700.0,1700.0,1726.0,2953439.0,1700.0,0.0
2012-06-12,25.0,1711.0,1698.0,1710.0,1479.0,2515493.0,1700.0,10.0
2012-06-13,10.0,1740.0,1705.0,1720.0,316.0,541695.0,1710.0,10.0
2012-06-14,25.0,1728.0,1695.0,1700.0,1463.0,2488209.0,1720.0,-20.0
2012-06-17,12.0,1709.0,1682.0,1709.0,698.0,1182900.0,1700.0,9.0
2012-06-18,16.0,1714.0,1699.0,1705.0,1101.0,1872510.0,1709.0,-4.0
2012-06-19,7.0,1703.0,1691.0,1699.0,341.0,577455.0,1705.0,-6.0
2012-06-20,25.0,1723.0,1685.0,1710.0,2270.0,3849938.0,1699.0,11.0
2012-06-21,26.0,1715.0,1695.0,1715.0,1687.0,2866226.0,1710.0,5.0
2012-06-25,11.0,1784.0,1696.0,1784.0,472.0,815013.0,1715.0,69.0
2012-06-26,8.0,1749.0,1716.0,1725.0,500.0,861085.0,1784.0,-59.0
2012-06-27,17.0,1764.0,1728.0,1762.0,895.0,1558154.0,1725.0,37.0
2012-06-28,16.0,1800.0,1750.0,1760.0,1478.0,2605545.0,1762.0,-2.0
2012-07-01,8.0,1775.0,1754.0,1766.0,469.0,825696.0,1760.0,6.0
2012-07-02,16.0,1765.0,1724.0,1724.0,961.0,1670785.0,1766.0,-42.0
2012-07-03,83.0,1730.0,1697.0,1719.0,8194.0,13965790.0,1724.0,-5.0
2012-07-04,29.0,1765.0,1730.0,1740.0,2013.0,3516602.0,1719.0,21.0
2012-07-05,10.0,1752.0,1712.0,1747.0,1478.0,2541442.0,1740.0,7.0
2012-07-08,6.0,1750.0,1720.0,1725.0,825.0,1423400.0,1747.0,-22.0
2012-07-09,16.0,1770.0,1725.0,1760.0,601.0,1051524.0,1725.0,35.0
2012-07-10,21.0,1794.0,1781.0,1788.0,1387.0,2480178.0,1760.0,28.0
2012-07-11,11.0,1790.0,1775.0,1775.0,1039.0,1850681.0,1788.0,-13.0
2012-07-12,10.0,1803.0,1767.0,1803.0,877.0,1554479.0,1775.0,28.0
2012-07-15,12.0,1810.0,1776.0,1799.0,2070.0,3704931.0,1803.0,-4.0
2012-07-16,4.0,1788.0,1780.0,1781.0,293.0,522419.0,1799.0,-18.0
2012-07-17,7.0,1790.0,1780.0,1790.0,436.0,778200.0,1781.0,9.0
2012-07-18,17.0,1800.0,1770.0,1800.0,1728.0,3087004.0,1790.0,10.0
2012-07-19,21.0,1860.0,1810.0,1810.0,1702.0,3091857.0,1800.0,10.0
2012-07-22,32.0,1856.0,1805.0,1852.0,1609.0,2960131.0,1810.0,42.0
2012-07-23,14.0,1900.0,1875.0,1881.0,807.0,1521527.0,1852.0,29.0
2012-07-24,26.0,1925.0,1850.0,1865.0,1380.0,2584585.0,1881.0,-16.0
2012-07-25,15.0,1924.0,1878.0,1890.0,1434.0,2729910.0,1865.0,25.0
2012-07-26,13.0,1864.0,1845.0,1852.0,995.0,1841278.0,1890.0,-38.0
2012-07-29,10.0,1854.0,1837.0,1840.0,589.0,1083183.0,1852.0,-12.0
2012-07-30,1.0,1831.0,1831.0,1831.0,15.0,27465.0,1840.0,-9.0
2012-07-31,15.0,1850.0,1825.0,1850.0,1723.0,3153499.0,1831.0,19.0
2012-08-01,10.0,1852.0,1830.0,1840.0,590.0,1083975.0,1850.0,-10.0
2012-08-05,9.0,1860.0,1840.0,1840.0,891.0,1641118.0,1840.0,0.0
2012-08-06,9.0,1870.0,1855.0,1869.0,558.0,1040415.0,1840.0,29.0
2012-08-07,14.0,1878.0,1860.0,1872.0,854.0,1596868.0,1869.0,3.0
2012-08-08,7.0,1865.0,1837.0,1837.0,687.0,1273313.0,1872.0,-35.0
2012-08-12,22.0,1836.0,1822.0,1830.0,2010.0,3674283.0,1837.0,-7.0
2012-08-13,6.0,1830.0,1820.0,1830.0,422.0,768640.0,1830.0,0.0
2012-08-14,16.0,1821.0,1812.0,1820.0,1177.0,2139369.0,1830.0,-10.0
2012-08-15,10.0,1790.0,1752.0,1752.0,726.0,1283060.0,1820.0,-68.0
2012-08-16,12.0,1856.0,1745.0,1856.0,1062.0,1867078.0,1752.0,104.0
2012-08-19,5.0,1819.0,1771.0,1776.0,261.0,465416.0,1856.0,-80.0
