Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-10-21,1.0,1000.0,1000.0,1000.0,25.0,25000.0,0.0,0.0
2021-10-25,14.0,980.0,945.0,960.0,500.0,478402.0,1000.0,-40.0
2021-10-26,11.0,960.0,950.0,959.9,425.0,406992.5,960.0,-0.1
2021-10-27,3.0,955.0,954.1,955.0,150.0,143147.5,959.9,-4.9
2021-10-28,4.0,962.0,960.0,962.0,125.0,120075.0,955.0,7.0
2021-10-31,4.0,957.0,950.0,957.0,105.0,100152.5,962.0,-5.0
2021-11-01,8.0,976.1,960.0,961.1,395.0,380872.5,957.0,4.1
2021-11-08,3.0,970.0,966.0,967.0,80.0,77405.0,961.1,5.9
2021-11-09,1.0,967.0,967.0,967.0,25.0,24175.0,967.0,0.0
2021-11-11,1.0,960.0,960.0,960.0,25.0,24000.0,967.0,-7.0
2021-11-14,2.0,960.0,960.0,960.0,50.0,48000.0,960.0,0.0
2021-11-15,2.0,960.1,960.1,960.1,50.0,48005.0,960.0,0.1
2021-11-16,2.0,960.0,960.0,960.0,100.0,96000.0,960.1,-0.1
2021-11-17,2.0,960.0,960.0,960.0,50.0,48000.0,960.0,0.0
2021-11-18,1.0,960.0,960.0,960.0,25.0,24000.0,960.0,0.0
2021-11-21,3.0,960.0,957.7,957.7,100.0,95887.5,960.0,-2.3
2021-11-25,1.0,960.0,960.0,960.0,25.0,24000.0,957.7,2.3
2021-11-28,2.0,960.0,960.0,960.0,50.0,48000.0,960.0,0.0
2021-11-29,2.0,960.0,955.6,955.6,150.0,143780.0,960.0,-4.4
2021-12-01,1.0,955.2,955.2,955.2,25.0,23880.0,955.6,-0.4
2021-12-02,1.0,954.5,954.5,954.5,25.0,23862.5,955.2,-0.7
2021-12-05,5.0,954.6,953.6,953.6,125.0,119262.5,954.5,-0.9
2021-12-07,3.0,955.2,951.3,955.2,75.0,71447.5,953.6,1.6
2021-12-08,1.0,951.1,951.1,951.1,25.0,23777.5,955.2,-4.1
2021-12-13,2.0,950.0,950.0,950.0,50.0,47500.0,951.1,-1.1
2021-12-14,4.0,951.2,950.0,951.2,110.0,104567.5,950.0,1.2
2021-12-15,3.0,950.2,950.1,950.1,65.0,61759.0,951.2,-1.1
2021-12-16,2.0,969.0,955.0,969.0,75.0,72325.0,950.1,18.9
2021-12-20,1.0,969.5,969.5,969.5,25.0,24237.5,969.0,0.5
2021-12-22,2.0,969.0,950.4,969.0,125.0,120660.0,969.5,-0.5
2021-12-26,1.0,951.2,951.2,951.2,25.0,23780.0,969.0,-17.8
2022-01-02,3.0,950.9,949.6,950.3,75.0,71270.0,951.2,-0.9
2022-01-03,1.0,955.0,955.0,955.0,25.0,23875.0,950.3,4.7
2022-01-04,1.0,974.1,974.1,974.1,10.0,9741.0,955.0,19.1
2022-01-05,1.0,955.0,955.0,955.0,25.0,23875.0,974.1,-19.1
2022-01-06,4.0,980.0,970.0,980.0,100.0,97452.5,955.0,25.0
2022-01-09,3.0,999.6,990.0,999.6,250.0,249360.0,980.0,19.6
2022-01-10,3.0,1000.0,995.0,995.0,125.0,124747.5,999.6,-4.6
2022-01-11,1.0,1000.1,1000.1,1000.1,1000.0,1000100.0,995.0,5.1
2022-01-12,1.0,985.0,985.0,985.0,25.0,24625.0,1000.1,-15.1
2022-01-13,3.0,1000.0,980.0,980.0,125.0,123000.0,985.0,-5.0
