Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2020-08-06,2.0,397.0,390.0,397.0,20.0,7870.0,390.0,7.0
2020-08-09,6.0,436.0,404.0,436.0,60.0,25360.0,397.0,39.0
2020-08-10,10.0,479.0,444.0,479.0,100.0,47010.0,436.0,43.0
2020-08-11,10.0,526.0,488.0,526.0,100.0,51630.0,479.0,47.0
2020-08-12,14.0,578.0,536.0,578.0,140.0,79850.0,526.0,52.0
2020-08-13,20.0,635.0,606.0,635.0,200.0,126490.0,578.0,57.0
2020-08-16,63.0,698.0,666.0,698.0,630.0,439170.0,635.0,63.0
2020-08-17,136.0,767.0,711.0,767.0,1360.0,1041720.0,698.0,69.0
2020-08-18,294.0,843.0,782.0,843.0,2940.0,2476890.0,767.0,76.0
2020-08-19,3815.0,927.0,869.0,871.0,44376.0,39797641.0,843.0,28.0
2020-08-20,959.0,885.0,840.0,845.0,9920.0,8403013.0,871.0,-26.0
2020-08-23,824.0,840.0,815.0,822.0,9420.0,7730040.0,845.0,-23.0
2020-08-24,493.0,845.0,822.0,836.0,6010.0,5011320.0,822.0,14.0
2020-08-25,395.0,877.0,829.0,831.0,7887.0,6583290.0,836.0,-5.0
2020-08-26,501.0,850.0,833.0,837.0,6440.0,5401930.0,831.0,6.0
2020-08-27,340.0,843.0,830.0,832.0,4710.0,3929030.0,837.0,-5.0
2020-08-30,269.0,835.0,819.0,823.0,4330.0,3561810.0,832.0,-9.0
2020-08-31,331.0,832.0,818.0,825.0,8358.0,6873906.0,823.0,2.0
2020-09-02,302.0,845.0,822.0,829.0,3890.0,3234110.0,825.0,4.0
2020-09-03,307.0,858.0,790.0,858.0,5241.0,4333920.0,829.0,29.0
2020-09-06,237.0,900.0,825.0,830.0,4190.0,3505250.0,858.0,-28.0
2020-09-07,318.0,830.0,816.0,825.0,4400.0,3617010.0,830.0,-5.0
2020-09-08,221.0,866.0,817.0,825.0,2921.0,2407546.0,825.0,0.0
2020-09-09,395.0,872.0,821.0,853.0,7790.0,6634310.0,825.0,28.0
2020-09-10,432.0,916.0,841.0,904.0,15057.0,13402101.0,853.0,51.0
2020-09-13,285.0,913.0,877.0,884.0,5854.0,5218034.0,904.0,-20.0
2020-09-14,244.0,884.0,860.0,870.0,4539.0,3939943.0,884.0,-14.0
2020-09-15,195.0,869.0,853.0,865.0,2192.0,1879934.0,870.0,-5.0
2020-09-16,160.0,862.0,848.0,858.0,1960.0,1678320.0,865.0,-7.0
2020-09-17,253.0,874.0,844.0,860.0,5057.0,4359350.0,858.0,2.0
2020-09-20,234.0,860.0,830.0,849.0,3480.0,2947280.0,860.0,-11.0
2020-09-21,407.0,858.0,835.0,846.0,6450.0,5467540.0,849.0,-3.0
2020-09-22,322.0,850.0,836.0,840.0,5230.0,4405040.0,846.0,-6.0
2020-09-23,244.0,844.0,828.0,839.0,4300.0,3592130.0,840.0,-1.0
2020-09-24,280.0,838.0,829.0,833.0,5630.0,4691985.0,839.0,-6.0
2020-09-27,184.0,854.0,826.0,828.0,4320.0,3607514.0,833.0,-5.0
2020-09-28,184.0,830.0,823.0,823.0,2010.0,1658650.0,828.0,-5.0
2020-09-29,192.0,827.0,820.0,823.0,2470.0,2030610.0,823.0,0.0
2020-09-30,149.0,820.0,814.0,815.0,2020.0,1647570.0,823.0,-8.0
2020-10-01,214.0,834.0,816.0,830.0,3700.0,3044960.0,815.0,15.0
2020-10-04,209.0,846.0,817.0,822.0,2800.0,2315780.0,830.0,-8.0
2020-10-05,204.0,837.0,820.0,820.0,2930.0,2412790.0,822.0,-2.0
2020-10-06,133.0,824.0,815.0,816.0,2170.0,1773280.0,820.0,-4.0
2020-10-07,124.0,827.0,811.0,816.0,1883.0,1537810.0,816.0,0.0
2020-10-08,199.0,832.0,815.0,832.0,4700.0,3846450.0,816.0,16.0
2020-10-11,133.0,838.0,811.0,820.0,2300.0,1888570.0,832.0,-12.0
2020-10-12,121.0,820.0,810.0,815.0,1850.0,1505980.0,820.0,-5.0
2020-10-13,172.0,831.0,812.0,826.0,3863.0,3184853.0,815.0,11.0
2020-10-14,104.0,826.0,815.0,826.0,2530.0,2077950.0,826.0,0.0
2020-10-15,99.0,830.0,814.0,815.0,2320.0,1896300.0,826.0,-11.0
2020-10-18,86.0,816.0,800.0,810.0,1876.0,1518146.0,815.0,-5.0
2020-10-19,59.0,822.0,805.0,820.0,980.0,800560.0,810.0,10.0
2020-10-20,37.0,861.0,806.0,837.0,826.0,681182.0,820.0,17.0
2020-10-21,39.0,829.0,818.0,826.0,490.0,402820.0,837.0,-11.0
2020-10-22,59.0,823.0,815.0,820.0,1260.0,1032670.0,826.0,-6.0
2020-10-28,98.0,827.0,804.0,820.0,1239.0,1014043.0,820.0,0.0
2020-10-29,110.0,836.0,812.0,826.0,2370.0,1964230.0,820.0,6.0
2020-11-01,190.0,846.0,822.0,845.0,4102.0,3433366.0,826.0,19.0
2020-11-02,261.0,867.0,829.0,862.0,8587.0,7361950.0,845.0,17.0
2020-11-03,198.0,877.0,846.0,858.0,5975.0,5136960.0,862.0,-4.0
2020-11-04,133.0,864.0,845.0,850.0,3160.0,2682750.0,858.0,-8.0
2020-11-05,146.0,858.0,840.0,853.0,2980.0,2527100.0,850.0,3.0
2020-11-08,190.0,868.0,838.0,863.0,7295.0,6264025.0,853.0,10.0
2020-11-09,629.0,916.0,863.0,913.0,27550.0,24708453.0,863.0,50.0
2020-11-10,228.0,920.0,895.0,903.0,14021.0,12688119.0,913.0,-10.0
2020-11-11,239.0,926.0,885.0,923.0,10839.0,9927909.0,903.0,20.0
2020-11-12,188.0,941.0,900.0,904.0,5630.0,5107954.0,923.0,-19.0
2020-11-18,82.0,910.0,891.0,896.0,5505.0,4925395.0,904.0,-8.0
2020-11-19,213.0,940.0,895.0,940.0,11191.0,10357470.0,896.0,44.0
2020-11-22,149.0,958.0,910.0,913.0,10470.0,9693245.0,940.0,-27.0
