Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2014-10-09,2.0,10.0,10.0,10.0,11796.0,117960.0,10.0,0.0
2014-10-15,2.0,10.2,10.1,10.2,10000.0,101500.0,10.0,0.2
2014-10-19,1.0,10.25,10.25,10.25,5000.0,51250.0,10.2,0.05
2014-10-20,1.0,10.46,10.46,10.46,5000.0,52300.0,10.25,0.21
2014-10-21,54.0,11.23,10.67,11.23,237796.0,2621819.46,10.46,0.77
2014-10-22,24.0,11.25,11.0,11.11,77208.0,856916.0,11.23,-0.12
2014-10-26,7.0,11.15,11.0,11.15,23924.0,264703.32,11.11,0.04
2014-10-27,9.0,11.1,11.0,11.0,45616.0,505806.8,11.15,-0.15
2014-10-28,10.0,11.0,10.68,10.9,60616.0,655983.6,11.0,-0.1
2014-10-30,8.0,11.12,10.82,11.0,37399.0,410051.0,10.9,0.1
2014-11-02,9.0,11.22,11.03,11.05,13500.0,149695.0,11.0,0.05
2014-11-03,1.0,10.84,10.84,10.84,5489.0,59500.76,11.05,-0.21
2014-11-04,3.0,10.62,10.41,10.41,15000.0,157250.0,10.84,-0.43
2014-11-05,2.0,10.6,10.5,10.6,3200.0,33760.0,10.41,0.19
2014-11-06,1.0,10.4,10.4,10.4,58918.0,612747.2,10.6,-0.2
2014-11-10,1.0,10.61,10.61,10.61,5000.0,53050.0,10.4,0.21
2014-11-11,1.0,10.82,10.82,10.82,500.0,5410.0,10.61,0.21
2014-11-12,22.0,11.05,10.79,10.9,136011.0,1482612.67,10.82,0.08
2014-11-13,10.0,10.92,10.71,10.92,34534.0,376701.28,10.9,0.02
2014-11-16,5.0,10.85,10.7,10.7,19098.0,204601.58,10.92,-0.22
2014-11-17,4.0,10.49,10.35,10.4,19000.0,197710.0,10.7,-0.3
2014-11-18,7.0,10.19,10.0,10.05,24898.0,252760.62,10.4,-0.35
2014-11-19,5.0,10.46,10.25,10.3,21200.0,217852.0,10.05,0.25
2014-11-20,6.0,10.3,10.3,10.3,14000.0,144200.0,10.3,0.0
2014-11-23,1.0,10.4,10.4,10.4,5000.0,52000.0,10.3,0.1
2014-11-25,2.0,10.5,10.4,10.4,8000.0,83500.0,10.4,0.0
2014-11-30,1.0,10.19,10.19,10.19,2500.0,25475.0,10.4,-0.21
2014-12-01,2.0,10.2,10.2,10.2,35386.0,360937.2,10.19,0.01
2014-12-02,11.0,10.45,10.12,10.45,61882.0,629819.44,10.2,0.25
2014-12-03,11.0,10.66,10.24,10.56,69540.0,729603.73,10.45,0.11
2014-12-04,7.0,10.5,10.4,10.4,26193.0,273584.92,10.56,-0.16
2014-12-07,2.0,10.3,10.3,10.3,4100.0,42230.0,10.4,-0.1
2014-12-08,1.0,10.3,10.3,10.3,15489.0,159536.7,10.3,0.0
2014-12-09,12.0,10.45,10.3,10.45,24100.0,248380.0,10.3,0.15
2014-12-10,2.0,10.44,10.44,10.44,9600.0,100224.0,10.45,-0.01
2014-12-14,2.0,10.65,10.58,10.65,7000.0,74410.0,10.44,0.21
2014-12-17,4.0,10.5,10.4,10.4,10100.0,105650.0,10.65,-0.25
2014-12-18,1.0,10.45,10.45,10.45,3600.0,37620.0,10.4,0.05
2014-12-23,5.0,10.3,10.3,10.3,21700.0,223510.0,10.45,-0.15
2014-12-24,2.0,10.45,10.4,10.4,14295.0,148793.0,10.3,0.1
2014-12-31,7.0,10.4,10.15,10.2,53898.0,548614.7,10.4,-0.2
2015-01-01,7.0,10.4,10.2,10.4,10700.0,110940.0,10.2,0.2
2015-01-04,3.0,10.4,10.2,10.21,23800.0,245609.0,10.4,-0.19
2015-01-05,3.0,10.21,10.1,10.21,14900.0,151029.0,10.21,0.0
2015-01-06,21.0,10.25,10.1,10.25,99182.0,1011346.4,10.21,0.04
2015-01-07,5.0,10.44,10.26,10.44,18000.0,186070.0,10.25,0.19
2015-01-08,7.0,10.6,10.4,10.4,30796.0,321868.2,10.44,-0.04
2015-01-11,2.0,10.21,10.21,10.21,6000.0,61260.0,10.4,-0.19
2015-01-12,14.0,10.3,10.1,10.25,42800.0,438215.0,10.21,0.04
2015-01-13,7.0,10.51,10.3,10.5,9500.0,98660.0,10.25,0.25
2015-01-14,11.0,10.61,10.4,10.61,44296.0,462783.4,10.5,0.11
2015-01-18,13.0,10.6,10.5,10.55,19900.0,210282.0,10.61,-0.06
2015-01-19,7.0,10.7,10.4,10.45,28398.0,300199.62,10.55,-0.1
2015-01-20,5.0,10.4,10.4,10.4,20520.0,213408.0,10.45,-0.05
2015-01-22,11.0,10.5,10.4,10.4,57344.0,596887.6,10.4,0.0
2015-01-25,2.0,10.45,10.45,10.45,2000.0,20900.0,10.4,0.05
2015-01-26,2.0,10.5,10.3,10.5,5100.0,52550.0,10.45,0.05
2015-01-27,11.0,10.4,10.2,10.4,30546.0,314846.3,10.5,-0.1
2015-01-29,13.0,10.36,10.19,10.19,71468.0,735211.35,10.4,-0.21
2015-02-01,9.0,10.41,10.3,10.41,27996.0,290787.38,10.19,0.22
2015-02-02,3.0,10.45,10.4,10.4,10510.0,109554.0,10.41,-0.01
2015-02-03,4.0,10.4,10.39,10.4,3500.0,36380.0,10.4,0.0
2015-02-04,11.0,10.65,10.59,10.6,43000.0,456090.0,10.4,0.2
2015-02-05,1.0,10.4,10.4,10.4,5308.0,55203.2,10.6,-0.2
2015-02-08,4.0,10.5,10.4,10.4,17500.0,183250.0,10.4,0.0
2015-02-11,2.0,10.33,10.3,10.33,9100.0,93853.0,10.4,-0.07
2015-02-12,11.0,10.3,10.15,10.3,47500.0,485250.0,10.33,-0.03
2015-02-15,2.0,10.25,10.25,10.25,10000.0,102500.0,10.3,-0.05
2015-02-16,20.0,10.26,10.17,10.17,66693.0,681002.81,10.25,-0.08
2015-02-18,10.0,10.37,10.16,10.35,24108.0,247718.96,10.17,0.18
2015-02-23,7.0,10.4,10.15,10.4,31693.0,324688.2,10.35,0.05
2015-02-24,6.0,10.23,10.21,10.21,30000.0,306550.0,10.4,-0.19
2015-02-25,6.0,10.18,10.15,10.15,20500.0,208350.0,10.21,-0.06
2015-03-01,2.0,10.0,10.0,10.0,10000.0,100000.0,10.15,-0.15
2015-03-02,2.0,10.19,10.15,10.19,5600.0,57040.0,10.0,0.19
2015-03-03,2.0,10.15,10.15,10.15,6000.0,60900.0,10.19,-0.04
2015-03-04,4.0,10.25,10.16,10.25,4100.0,41976.0,10.15,0.1
2015-03-09,3.0,10.3,10.25,10.3,28361.0,291673.4,10.25,0.05
2015-03-10,3.0,10.28,10.2,10.28,6000.0,61450.0,10.3,-0.02
2015-03-11,11.0,10.4,10.07,10.4,47098.0,479408.56,10.28,0.12
2015-03-12,6.0,10.21,10.19,10.2,23350.0,238170.0,10.4,-0.2
2015-03-16,1.0,10.11,10.11,10.11,5000.0,50550.0,10.2,-0.09
2015-03-17,1.0,10.0,10.0,10.0,5000.0,50000.0,10.11,-0.11
2015-03-18,3.0,10.2,10.15,10.15,29988.0,305287.85,10.0,0.15
2015-03-19,2.0,10.12,10.1,10.1,7000.0,70740.0,10.15,-0.05
2015-03-22,1.0,10.15,10.15,10.15,5000.0,50750.0,10.1,0.05
2015-03-23,3.0,10.03,10.03,10.03,6000.0,60180.0,10.15,-0.12
2015-03-24,1.0,9.9,9.9,9.9,5000.0,49500.0,10.03,-0.13
2015-03-25,2.0,10.0,10.0,10.0,2000.0,20000.0,9.9,0.1
2015-03-29,13.0,10.0,10.0,10.0,8800.0,88000.0,10.0,0.0
2015-04-02,5.0,10.0,9.82,10.0,37616.0,371353.76,10.0,0.0
2015-04-05,8.0,9.95,9.8,9.9,16700.0,164145.0,10.0,-0.1
2015-04-06,1.0,9.8,9.8,9.8,11795.0,115591.0,9.9,-0.1
2015-04-07,6.0,9.95,9.75,9.95,30591.0,299062.25,9.8,0.15
2015-04-08,1.0,9.8,9.8,9.8,5898.0,57800.4,9.95,-0.15
2015-04-09,1.0,9.8,9.8,9.8,1000.0,9800.0,9.8,0.0
2015-04-12,3.0,9.91,9.85,9.85,6000.0,59160.0,9.8,0.05
2015-04-16,2.0,9.66,9.66,9.66,10000.0,96600.0,9.85,-0.19
2015-04-19,1.0,9.85,9.85,9.85,147443.0,1452313.55,9.66,0.19
2015-04-21,3.0,9.9,9.9,9.9,1500.0,14850.0,9.85,0.05
2015-04-23,10.0,10.0,10.0,10.0,11100.0,111000.0,9.9,0.1
2015-06-01,2.0,9.8,9.6,9.6,2000.0,19400.0,10.0,-0.4
2015-06-03,2.0,9.6,9.59,9.59,11000.0,105540.0,9.6,-0.01
2015-06-04,7.0,9.78,9.56,9.77,124900.0,1203522.0,9.59,0.18
2015-06-09,1.0,9.76,9.76,9.76,500.0,4880.0,9.77,-0.01
2015-06-10,4.0,9.66,9.6,9.66,7600.0,73380.0,9.76,-0.1
2015-06-14,6.0,9.66,9.5,9.5,164000.0,1579440.0,9.66,-0.16
2015-06-15,4.0,9.84,9.64,9.64,111000.0,1071290.0,9.5,0.15
2015-06-16,9.0,9.65,9.54,9.55,129400.0,1241110.0,9.64,-0.09
2015-06-17,2.0,9.74,9.56,9.56,10000.0,96500.0,9.55,0.01
2015-06-21,3.0,9.6,9.5,9.5,13000.0,123700.0,9.56,-0.06
2015-06-22,3.0,9.6,9.5,9.5,60978.0,582439.9,9.5,0.0
2015-06-23,1.0,9.31,9.31,9.31,5000.0,46550.0,9.5,-0.19
2015-06-24,22.0,9.65,9.21,9.65,114642.0,1086339.0,9.31,0.34
2015-06-25,1.0,9.8,9.8,9.8,8000.0,78400.0,9.65,0.15
2015-06-28,8.0,9.8,9.6,9.6,223751.0,2151009.6,9.8,-0.2
2015-06-29,3.0,9.9,9.79,9.9,6500.0,64190.0,9.6,0.3
2015-07-01,2.0,9.89,9.7,9.89,5500.0,53445.0,9.9,-0.01
2015-07-05,2.0,9.7,9.51,9.51,7000.0,67520.0,9.89,-0.38
2015-07-06,1.0,9.52,9.52,9.52,18008.0,171436.16,9.51,0.01
2015-07-07,19.0,9.55,9.35,9.55,107988.0,1015046.0,9.52,0.03
2015-07-08,3.0,9.6,9.6,9.6,3000.0,28800.0,9.55,0.05
2015-07-13,2.0,9.6,9.6,9.6,10000.0,96000.0,9.6,0.0
2015-07-15,1.0,9.78,9.78,9.78,3700.0,36186.0,9.6,0.18
2015-07-16,2.0,10.18,9.98,10.18,3000.0,30340.0,9.78,0.4
2015-07-23,1.0,10.18,10.18,10.18,500.0,5090.0,10.18,0.0
2015-07-27,4.0,10.38,10.17,10.17,40000.0,411300.0,10.18,-0.01
2015-07-28,1.0,10.0,10.0,10.0,5000.0,50000.0,10.17,-0.17
2015-07-29,3.0,10.1,10.1,10.1,15000.0,151500.0,10.0,0.1
2015-07-30,5.0,10.3,10.0,10.3,40486.0,415591.1,10.1,0.2
2015-08-05,4.0,10.2,10.08,10.08,14398.0,145241.84,10.3,-0.22
2015-08-06,2.0,10.0,10.0,10.0,1200.0,12000.0,10.08,-0.08
2015-08-10,3.0,10.0,9.8,9.8,6000.0,59000.0,10.0,-0.2
2015-08-12,10.0,10.0,9.8,9.82,38000.0,374450.0,9.8,0.02
2015-08-13,6.0,9.81,9.8,9.8,22000.0,215700.0,9.82,-0.02
2015-08-16,4.0,9.8,9.8,9.8,21488.0,210582.4,9.8,0.0
2015-08-17,1.0,9.63,9.63,9.63,1000.0,9630.0,9.8,-0.17
2015-08-18,10.0,9.85,9.8,9.85,41500.0,407830.0,9.63,0.22
2015-08-19,4.0,10.0,9.75,10.0,32000.0,315250.0,9.85,0.15
2015-08-20,11.0,10.25,10.0,10.06,42650.0,431312.25,10.0,0.06
2015-08-23,5.0,10.26,10.0,10.0,68694.0,696418.5,10.06,-0.06
2015-08-24,8.0,10.4,10.2,10.2,11400.0,117990.0,10.0,0.2
2015-08-25,4.0,10.27,10.24,10.27,24875.0,255028.98,10.2,0.07
2015-08-26,13.0,10.2,10.06,10.16,116236.0,1174858.05,10.27,-0.11
2015-08-27,1.0,10.0,10.0,10.0,5898.0,58980.0,10.16,-0.16
2015-08-31,5.0,10.2,10.02,10.2,23437.0,236864.91,10.0,0.2
2015-09-01,4.0,10.1,10.05,10.1,13000.0,131150.0,10.2,-0.1
2015-09-02,1.0,10.05,10.05,10.05,11795.0,118539.75,10.1,-0.05
2015-09-03,4.0,10.06,10.0,10.0,20000.0,200550.0,10.05,-0.05
2015-09-06,1.0,9.91,9.91,9.91,53080.0,526022.8,10.0,-0.09
2015-09-07,1.0,10.0,10.0,10.0,5898.0,58980.0,9.91,0.09
2015-09-08,2.0,10.1,10.05,10.1,13295.0,134204.5,10.0,0.1
2015-09-09,20.0,10.19,10.0,10.15,107380.0,1088167.0,10.1,0.05
2015-09-10,8.0,10.2,10.0,10.15,67895.0,688621.5,10.15,0.0
2015-09-13,7.0,10.15,10.0,10.15,24800.0,249850.0,10.15,0.0
2015-09-14,6.0,10.2,10.15,10.15,53086.0,540827.2,10.15,0.0
2015-09-15,1.0,10.1,10.1,10.1,5000.0,50500.0,10.15,-0.05
2015-09-16,5.0,10.2,10.1,10.2,40000.0,405800.0,10.1,0.1
2015-09-17,10.0,10.25,10.11,10.25,39000.0,398100.0,10.2,0.05
2015-09-28,2.0,10.05,10.05,10.05,6000.0,60300.0,10.25,-0.2
2015-09-30,4.0,9.9,9.85,9.85,11818.0,116512.3,10.05,-0.2
2015-10-01,12.0,9.9,9.85,9.85,21000.0,207210.0,9.85,0.0
2015-10-06,9.0,10.0,10.0,10.0,27796.0,277960.0,9.85,0.15
2015-10-07,6.0,10.2,10.2,10.2,27500.0,280500.0,10.0,0.2
2015-11-09,4.0,10.0,9.9,9.95,612018.0,6118930.0,10.2,-0.25
2015-11-10,3.0,10.05,9.9,10.05,8000.0,79650.0,9.95,0.1
2015-11-16,5.0,10.2,9.86,10.2,10148.0,102234.6,10.05,0.15
2015-11-22,3.0,10.0,10.0,10.0,29500.0,295000.0,10.2,-0.2
2015-11-23,9.0,9.91,9.85,9.85,48600.0,480340.0,10.0,-0.15
2015-11-24,4.0,9.9,9.9,9.9,20000.0,198000.0,9.85,0.05
2015-11-25,4.0,10.03,9.93,9.95,66180.0,662637.4,9.9,0.05
2015-11-26,1.0,9.85,9.85,9.85,10000.0,98500.0,9.95,-0.1
2015-11-29,1.0,9.65,9.65,9.65,5000.0,48250.0,9.85,-0.2
2015-11-30,13.0,9.9,9.8,9.8,101523.0,1000606.32,9.65,0.15
2015-12-01,2.0,9.6,9.6,9.6,7500.0,72000.0,9.8,-0.2
2015-12-02,6.0,9.71,9.52,9.71,3100.0,29892.0,9.6,0.11
2015-12-03,3.0,9.9,9.7,9.9,8308.0,81219.2,9.71,0.19
2015-12-08,3.0,9.7,9.6,9.6,13008.0,125177.6,9.9,-0.3
2015-12-09,5.0,9.61,9.6,9.61,21000.0,201660.0,9.6,0.01
2015-12-10,1.0,9.6,9.6,9.6,1000.0,9600.0,9.61,-0.01
2015-12-14,6.0,9.6,9.5,9.6,14000.0,133572.0,9.6,0.0
2015-12-15,4.0,9.81,9.62,9.81,14850.0,143617.5,9.6,0.21
2015-12-20,4.0,10.0,9.8,9.8,10000.0,99200.0,9.81,-0.01
2015-12-23,10.0,9.7,9.6,9.66,39358.0,381061.1,9.8,-0.14
2015-12-24,7.0,10.0,9.85,10.0,20000.0,197750.0,9.66,0.34
2015-12-27,14.0,10.0,10.0,10.0,22308.0,223080.0,10.0,0.0
2015-12-28,6.0,10.0,9.8,9.8,12400.0,122982.0,10.0,-0.2
2015-12-29,32.0,10.0,9.99,10.0,41700.0,416659.0,9.8,0.2
2015-12-31,1.0,9.8,9.8,9.8,2500.0,24500.0,10.0,-0.2
2016-01-03,4.0,9.65,9.6,9.65,5300.0,51130.0,9.8,-0.15
2016-01-04,4.0,9.55,9.5,9.55,7600.0,72527.0,9.65,-0.1
2016-01-05,7.0,9.68,9.65,9.68,21908.0,211571.44,9.55,0.13
2016-01-06,1.0,9.51,9.51,9.51,4000.0,38040.0,9.68,-0.17
2016-01-07,4.0,9.74,9.55,9.74,6200.0,59493.0,9.51,0.23
2016-01-10,3.0,9.93,9.92,9.93,4600.0,45658.0,9.74,0.19
2016-01-11,9.0,9.73,9.54,9.56,19400.0,185472.0,9.93,-0.37
2016-01-12,1.0,9.75,9.75,9.75,5898.0,57505.5,9.56,0.19
2016-01-13,3.0,9.71,9.57,9.71,15898.0,153019.58,9.75,-0.04
2016-01-14,15.0,9.9,9.63,9.9,88689.0,868551.98,9.71,0.19
2016-02-04,5.0,10.89,10.1,10.89,17182.0,185038.2,9.9,0.99
2016-02-07,9.0,11.56,11.11,11.54,76810.0,877298.5,10.89,0.65
2016-02-08,4.0,11.75,11.58,11.6,21700.0,251775.0,11.54,0.06
2016-02-14,4.0,11.37,11.0,11.0,1025000.0,11283100.0,11.6,-0.6
2016-02-15,1.0,10.89,10.89,10.89,182.0,1981.98,11.0,-0.11
2016-02-16,12.0,11.11,11.0,11.05,724795.0,7978464.75,10.89,0.16
2016-02-17,7.0,11.27,11.0,11.27,124693.0,1376227.65,11.05,0.22
2016-02-18,27.0,11.2,11.0,11.1,1706667.0,18782767.0,11.27,-0.17
2016-02-21,17.0,11.31,10.88,10.9,712000.0,7974300.0,11.1,-0.2
2016-02-22,5.0,11.44,10.88,11.44,285716.0,3117062.28,10.9,0.54
2016-02-23,3.0,11.38,11.21,11.38,509000.0,5790720.0,11.44,-0.06
2016-02-24,2.0,11.61,11.38,11.61,5500.0,62705.0,11.38,0.23
2016-02-28,8.0,11.38,11.0,11.0,26295.0,295525.9,11.61,-0.61
2016-02-29,1.0,11.07,11.07,11.07,7667.0,84873.69,11.0,0.07
2016-03-01,7.0,11.0,10.85,10.85,7000.0,76430.0,11.07,-0.22
2016-03-02,5.0,10.8,10.7,10.75,32100.0,345120.0,10.85,-0.1
2016-03-06,1.0,10.96,10.96,10.96,500.0,5480.0,10.75,0.21
2016-03-10,7.0,11.0,10.7,11.0,605774.0,6485421.8,10.96,0.04
2016-03-13,21.0,10.95,10.95,10.95,105000.0,1149750.0,11.0,-0.05
2016-03-14,16.0,10.95,10.9,10.9,76039.0,832252.05,10.95,-0.05
2016-03-15,1.0,10.82,10.82,10.82,5000.0,54100.0,10.9,-0.08
2016-03-16,4.0,10.94,10.85,10.85,19842.0,215579.7,10.82,0.03
2016-03-17,12.0,11.15,10.76,11.15,38500.0,419905.0,10.85,0.3
2016-03-20,6.0,11.0,10.9,11.0,557540.0,6132350.2,11.15,-0.15
2016-03-21,7.0,11.0,11.0,11.0,130744.0,1438184.0,11.0,0.0
2016-03-23,11.0,11.2,11.0,11.2,127300.0,1413372.0,11.0,0.2
2016-03-24,5.0,11.0,10.98,11.0,21000.0,230890.0,11.2,-0.2
2016-03-27,1.0,11.0,11.0,11.0,7667.0,84337.0,11.0,0.0
2016-03-28,18.0,11.12,11.0,11.0,102489.0,1133552.9,11.0,0.0
2016-03-29,8.0,10.95,10.91,10.93,92642.0,1013937.06,11.0,-0.07
2016-03-30,4.0,11.0,10.9,10.9,59000.0,644000.0,10.93,-0.03
2016-03-31,1.0,11.0,11.0,11.0,1000.0,11000.0,10.9,0.1
2016-04-03,9.0,11.0,10.72,10.85,47232.0,516623.45,11.0,-0.15
2016-04-04,11.0,11.0,10.8,11.0,42800.0,466168.0,10.85,0.15
2016-04-05,1.0,11.22,11.22,11.22,1000.0,11220.0,11.0,0.22
2016-04-06,12.0,11.41,10.97,10.97,37000.0,410490.0,11.22,-0.25
2016-04-10,13.0,11.0,10.88,10.95,93478.0,1023011.54,10.97,-0.02
2016-04-11,2.0,10.9,10.9,10.9,40000.0,436000.0,10.95,-0.05
2016-04-12,2.0,10.72,10.72,10.72,6000.0,64320.0,10.9,-0.18
2016-04-14,1.0,10.93,10.93,10.93,5000.0,54650.0,10.72,0.21
2016-04-17,2.0,10.95,10.95,10.95,25000.0,273750.0,10.93,0.02
2016-04-18,13.0,11.15,10.95,11.0,222511.0,2442095.45,10.95,0.05
2016-04-19,15.0,11.05,11.0,11.01,134747.0,1482984.41,11.0,0.01
2016-04-20,7.0,11.13,11.0,11.13,27586.0,305951.54,11.01,0.12
2016-04-21,3.0,11.14,11.02,11.14,6000.0,66360.0,11.13,0.01
2016-04-24,6.0,11.35,11.15,11.35,48461.0,549022.35,11.14,0.21
2016-04-25,3.0,11.7,11.47,11.47,11000.0,128525.0,11.35,0.12
2016-04-26,13.0,11.55,11.49,11.49,185500.0,2133985.0,11.47,0.02
2016-04-28,3.0,11.3,11.25,11.25,138385.0,1557460.5,11.49,-0.24
2016-05-02,2.0,11.2,11.12,11.2,6000.0,66800.0,11.25,-0.05
2016-05-03,15.0,11.4,11.2,11.25,547989.0,6170374.6,11.2,0.05
2016-05-04,2.0,11.25,11.25,11.25,6000.0,67500.0,11.25,0.0
2016-05-05,2.0,11.05,11.02,11.05,1600.0,17647.0,11.25,-0.2
2016-05-08,1.0,11.27,11.27,11.27,11795.0,132929.65,11.05,0.22
2016-05-09,6.0,11.37,11.05,11.37,28387.0,318501.29,11.27,0.1
2016-05-10,11.0,11.5,11.4,11.4,43600.0,499150.0,11.37,0.03
2016-05-11,16.0,11.4,11.21,11.26,59194.0,668742.2,11.4,-0.14
2016-05-12,8.0,11.3,11.26,11.3,25000.0,282480.0,11.26,0.04
2016-05-15,10.0,11.5,11.0,11.5,88474.0,1000237.95,11.3,0.2
2016-05-16,10.0,11.6,11.4,11.45,188395.0,2157199.0,11.5,-0.05
2016-05-17,6.0,11.5,11.25,11.5,70648.0,800602.2,11.45,0.05
2016-05-18,10.0,11.5,11.35,11.5,35200.0,400485.0,11.5,0.0
2016-05-19,7.0,11.78,11.5,11.5,27488.0,319389.6,11.5,0.0
2016-05-22,10.0,11.73,11.27,11.73,1247033.0,14088375.5,11.5,0.23
2016-05-23,6.0,11.77,11.4,11.54,1794657.0,20465229.17,11.73,-0.19
2016-05-24,16.0,12.21,11.75,11.97,140298.0,1688389.04,11.54,0.43
2016-05-25,4.0,12.0,11.99,12.0,47157.0,565526.05,11.97,0.03
2016-05-26,5.0,11.98,11.8,11.95,64973.0,777170.21,12.0,-0.05
2016-05-29,7.0,11.95,11.8,11.85,15144.0,179891.36,11.95,-0.1
2016-05-30,15.0,12.1,11.76,12.0,186500.0,2210330.0,11.85,0.15
2016-05-31,8.0,12.24,11.9,12.2,37000.0,445300.0,12.0,0.2
2016-06-01,4.0,12.2,12.1,12.1,36289.0,442495.8,12.2,-0.1
2016-06-05,2.0,12.1,12.0,12.0,12000.0,144900.0,12.1,-0.1
2016-06-06,1.0,12.1,12.1,12.1,2100.0,25410.0,12.0,0.1
2016-06-07,5.0,12.0,11.76,11.98,30835.0,368519.04,12.1,-0.12
2016-06-08,5.0,12.05,11.85,11.85,220000.0,2625250.0,11.98,-0.13
2016-06-09,12.0,12.1,11.75,11.95,40888.0,490056.6,11.85,0.1
2016-06-12,4.0,12.0,11.76,12.0,18000.0,213800.0,11.95,0.05
2016-06-13,12.0,12.24,11.7,11.85,130200.0,1539905.0,12.0,-0.15
2016-06-14,11.0,12.0,11.83,12.0,307898.0,3654301.3,11.85,0.15
2016-06-15,9.0,11.99,11.86,11.99,136194.0,1625470.74,12.0,-0.01
2016-06-16,35.0,12.0,11.52,12.0,2912502.0,33852954.32,11.99,0.01
2016-06-19,5.0,12.3,12.1,12.1,75000.0,913000.0,12.0,0.1
2016-06-20,9.0,12.2,12.0,12.0,65500.0,786450.0,12.1,-0.1
2016-06-21,8.0,12.09,11.85,11.93,198295.0,2363255.75,12.0,-0.07
2016-06-22,26.0,12.17,11.95,12.0,320256.0,3846413.54,11.93,0.07
2016-06-23,30.0,12.39,12.14,12.15,948000.0,11608515.0,12.0,0.15
2016-06-26,14.0,12.2,12.0,12.2,278517.0,3352618.34,12.15,0.05
2016-06-27,14.0,12.25,12.05,12.2,223918.0,2719855.5,12.2,0.0
2016-06-28,48.0,12.45,12.14,12.3,2012592.0,24675890.2,12.2,0.1
2016-06-29,30.0,13.06,12.4,13.0,858887.0,10894980.35,12.3,0.7
2016-06-30,24.0,13.26,12.99,13.08,251477.0,3285331.32,13.0,0.08
2016-07-03,24.0,13.6,13.34,13.55,176733.0,2383112.54,13.08,0.47
2016-07-04,11.0,13.82,13.55,13.55,65459.0,889103.38,13.55,0.0
2016-07-05,24.0,13.7,13.45,13.45,267091.0,3598424.86,13.55,-0.1
2016-07-06,12.0,13.55,13.29,13.47,168398.0,2257818.2,13.45,0.02
2016-07-10,16.0,13.6,13.24,13.3,135000.0,1807850.0,13.47,-0.17
2016-07-11,15.0,13.48,13.13,13.2,294796.0,3908887.2,13.3,-0.1
2016-07-12,5.0,13.23,13.13,13.15,127000.0,1677590.0,13.2,-0.05
2016-07-13,12.0,13.3,12.9,13.1,48500.0,631400.0,13.15,-0.05
2016-07-14,20.0,13.28,12.77,13.0,627041.0,8090168.23,13.1,-0.1
2016-07-17,22.0,13.53,13.25,13.3,303300.0,4049970.0,13.0,0.3
2016-07-18,14.0,13.7,13.4,13.5,210682.0,2843247.0,13.3,0.2
2016-07-19,9.0,13.5,13.47,13.5,263658.0,3558963.69,13.5,0.0
2016-07-20,40.0,14.15,13.75,14.15,761600.0,10632120.0,13.5,0.65
2016-07-21,22.0,14.5,14.18,14.3,547644.0,7892413.1,14.15,0.15
2016-07-25,36.0,15.04,13.9,14.75,1022218.0,14760985.2,14.3,0.45
2016-07-26,73.0,16.0,15.04,16.0,984679.0,15309738.54,14.75,1.25
2016-07-27,49.0,17.17,15.75,16.85,581482.0,9808359.48,16.0,0.85
