Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2020-07-15,2.0,10.0,10.0,10.0,200.0,2000.0,0.0,10.0
2020-07-26,10.0,9.81,9.7,9.7,60000.0,587500.0,10.0,-0.3
2020-07-27,4.0,9.52,9.52,9.52,1150.0,10948.0,9.7,-0.18
2020-07-28,4.0,9.4,9.4,9.4,2300.0,21620.0,9.52,-0.12
2020-07-29,1.0,9.3,9.3,9.3,180.0,1674.0,9.4,-0.1
2020-07-30,1.0,9.2,9.2,9.2,100.0,920.0,9.3,-0.1
2020-08-02,1.0,9.2,9.2,9.2,200.0,1840.0,9.2,0.0
2020-08-03,5.0,9.1,9.1,9.1,46700.0,424970.0,9.2,-0.1
2020-08-05,2.0,9.1,9.1,9.1,600.0,5460.0,9.1,0.0
2020-08-06,1.0,9.05,9.05,9.05,400.0,3620.0,9.1,-0.05
2020-08-09,2.0,9.04,9.04,9.04,700.0,6328.0,9.05,-0.01
2020-08-10,5.0,9.1,9.08,9.1,800.0,7276.0,9.04,0.06
2020-08-11,2.0,9.0,9.0,9.0,2700.0,24300.0,9.1,-0.1
2020-08-12,1.0,9.07,9.07,9.07,100.0,907.0,9.0,0.07
2020-08-13,1.0,9.1,9.1,9.1,200.0,1820.0,9.07,0.03
2020-08-16,3.0,9.15,9.03,9.15,600.0,5449.0,9.1,0.05
2020-08-18,1.0,9.12,9.12,9.12,100.0,912.0,9.15,-0.03
2020-08-23,2.0,9.08,9.06,9.08,200.0,1814.0,9.12,-0.04
2020-08-26,5.0,9.17,9.06,9.17,1300.0,11860.0,9.08,0.09
2020-08-27,2.0,9.14,9.1,9.14,800.0,7300.0,9.17,-0.03
2020-08-31,4.0,9.32,9.18,9.18,480.0,4431.6,9.14,0.04
2020-09-02,1.0,9.16,9.16,9.16,500.0,4580.0,9.18,-0.02
2020-09-03,1.0,9.15,9.15,9.15,1000.0,9150.0,9.16,-0.01
2020-09-06,2.0,9.22,9.22,9.22,1100.0,10142.0,9.15,0.07
2020-09-07,2.0,9.25,9.22,9.25,500.0,4616.0,9.22,0.03
2020-09-08,2.0,9.2,9.18,9.2,500.0,4596.0,9.25,-0.05
2020-09-09,3.0,9.36,9.18,9.36,1100.0,10116.0,9.2,0.16
2020-09-13,5.0,9.75,9.36,9.75,3000.0,28792.0,9.36,0.39
2020-09-14,4.0,9.94,9.56,9.94,600.0,5831.0,9.75,0.19
2020-09-15,2.0,9.81,9.75,9.81,200.0,1956.0,9.94,-0.13
2020-09-17,6.0,10.0,9.95,9.95,1400.0,13980.0,9.81,0.14
2020-09-20,1.0,9.9,9.9,9.9,100.0,990.0,9.95,-0.05
2020-09-21,7.0,10.0,9.71,9.75,1900.0,18643.0,9.9,-0.15
2020-09-22,8.0,9.75,9.56,9.58,3050.0,29681.0,9.75,-0.17
2020-09-23,2.0,9.5,9.42,9.5,1300.0,12342.0,9.58,-0.08
2020-09-24,3.0,9.57,9.39,9.4,400.0,3776.0,9.5,-0.1
2020-09-27,1.0,9.4,9.4,9.4,100.0,940.0,9.4,0.0
2020-09-28,2.0,9.23,9.23,9.23,2700.0,24921.0,9.4,-0.17
2020-09-29,2.0,9.14,9.1,9.1,500.0,4558.0,9.23,-0.13
2020-09-30,4.0,9.64,9.19,9.64,1000.0,9397.0,9.1,0.54
2020-10-01,6.0,9.69,9.5,9.69,25700.0,245140.0,9.64,0.05
2020-10-04,1.0,9.69,9.69,9.69,1500.0,14535.0,9.69,0.0
2020-10-05,3.0,9.83,9.64,9.64,600.0,5803.0,9.69,-0.05
2020-10-06,5.0,9.5,9.35,9.5,2100.0,19935.0,9.64,-0.14
2020-10-07,2.0,9.69,9.69,9.69,1100.0,10659.0,9.5,0.19
2020-10-08,1.0,9.5,9.5,9.5,100.0,950.0,9.69,-0.19
2020-10-11,8.0,9.53,9.32,9.53,4750.0,44802.5,9.5,0.03
2020-10-13,3.0,9.4,9.4,9.4,700.0,6580.0,9.53,-0.13
2020-10-14,2.0,9.22,9.22,9.22,200.0,1844.0,9.4,-0.18
2020-10-15,4.0,9.22,9.2,9.22,3000.0,27640.0,9.22,0.0
2020-10-18,4.0,9.3,9.3,9.3,2000.0,18600.0,9.22,0.08
2020-10-19,2.0,9.18,9.12,9.18,1100.0,10038.0,9.3,-0.12
2020-10-20,3.0,9.28,9.1,9.28,1800.0,16524.0,9.18,0.1
2020-10-22,3.0,9.46,9.2,9.2,7050.0,66143.0,9.28,-0.08
2020-10-28,2.0,9.38,9.38,9.38,350.0,3283.0,9.2,0.18
2020-10-29,4.0,9.3,9.15,9.15,3000.0,27630.0,9.38,-0.23
2020-11-01,3.0,9.51,9.33,9.39,1200.0,11262.0,9.15,0.24
2020-11-02,2.0,9.57,9.39,9.39,1200.0,11448.0,9.39,0.0
2020-11-03,2.0,9.31,9.22,9.31,1100.0,10151.0,9.39,-0.08
2020-11-04,2.0,9.49,9.45,9.49,500.0,4741.0,9.31,0.18
2020-11-05,2.0,9.6,9.6,9.6,1100.0,10560.0,9.49,0.11
2020-11-08,4.0,9.97,9.79,9.97,800.0,7958.0,9.6,0.37
2020-11-09,4.0,10.0,10.0,10.0,1200.0,12000.0,9.97,0.03
2020-11-10,4.0,10.0,9.9,9.9,2100.0,20900.0,10.0,-0.1
2020-11-11,17.0,10.49,10.09,10.49,149200.0,1508536.0,9.9,0.59
2020-11-12,3.0,10.69,10.55,10.69,900.0,9579.0,10.49,0.2
2020-11-18,9.0,11.0,10.5,11.0,112950.0,1187442.5,10.69,0.31
2020-11-19,5.0,10.78,10.57,10.76,3300.0,35409.0,11.0,-0.24
2020-11-22,9.0,10.6,10.14,10.3,38400.0,402958.0,10.76,-0.46
2020-11-23,23.0,10.3,9.9,10.05,132400.0,1329182.0,10.3,-0.25
2020-11-24,4.0,10.39,10.0,10.38,2400.0,24628.0,10.05,0.33
2020-11-25,6.0,10.5,10.18,10.5,3300.0,33928.0,10.38,0.12
2020-11-26,17.0,10.81,10.5,10.81,7280.0,77100.0,10.5,0.31
2020-11-29,10.0,10.6,10.35,10.4,122300.0,1272980.0,10.81,-0.41
2020-11-30,9.0,10.4,10.1,10.2,23800.0,246490.0,10.4,-0.2
2020-12-01,10.0,10.1,10.0,10.0,532000.0,5373000.0,10.2,-0.2
2020-12-02,4.0,10.0,10.0,10.0,1500.0,15000.0,10.0,0.0
2020-12-03,8.0,10.0,9.91,9.95,3200.0,31900.0,10.0,-0.05
2020-12-06,10.0,9.78,9.39,9.39,11700.0,113667.0,9.95,-0.56
2020-12-07,12.0,9.88,9.39,9.88,11600.0,109755.0,9.39,0.49
2020-12-08,10.0,10.38,9.69,10.18,6000.0,60261.0,9.88,0.3
2020-12-09,6.0,9.98,9.79,9.95,3600.0,35645.0,10.18,-0.23
2020-12-10,7.0,10.15,9.76,10.15,7920.0,78906.0,9.95,0.2
2020-12-13,6.0,10.1,9.95,10.1,2230.0,22443.5,10.15,-0.05
2020-12-14,9.0,10.5,10.0,10.5,110750.0,1147451.5,10.1,0.4
2020-12-15,14.0,10.29,10.09,10.09,9200.0,93338.0,10.5,-0.41
2020-12-16,7.0,10.25,10.1,10.1,1700.0,17240.0,10.09,0.01
2020-12-17,7.0,10.2,10.1,10.1,4100.0,41670.0,10.1,0.0
2020-12-20,1.0,10.6,10.6,10.6,100.0,1060.0,10.1,0.5
2020-12-22,5.0,10.39,10.05,10.05,1600.0,16184.0,10.6,-0.55
