Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-04-28,64.0,330.0,306.0,330.0,640.0,209700.0,0.0,330.0
2021-04-29,201.0,363.0,340.0,363.0,4940.0,1791898.0,330.0,33.0
2021-05-02,1168.0,399.0,381.0,399.0,21284.0,8489786.0,363.0,36.0
2021-05-03,8968.0,438.0,390.0,438.0,136670.0,58890385.0,399.0,39.0
2021-05-04,2694.0,481.0,459.0,481.0,36080.0,17322350.0,438.0,43.0
2021-05-05,6219.0,529.0,463.0,529.0,85216.0,43925687.0,481.0,48.0
2021-05-06,5253.0,554.0,480.0,481.0,93184.0,46234923.0,529.0,-48.0
2021-05-09,2829.0,481.0,434.0,435.0,53499.0,23698433.0,481.0,-46.0
2021-05-10,1295.0,427.0,411.0,425.0,26609.0,11244097.0,435.0,-10.0
2021-05-11,850.0,456.0,420.0,439.0,15867.0,6911867.0,425.0,14.0
2021-05-12,679.0,448.0,418.0,435.0,15950.0,6919228.0,439.0,-4.0
2021-05-13,803.0,456.0,426.0,442.0,21340.0,9312800.0,435.0,7.0
2021-05-16,843.0,450.0,434.0,435.0,21949.0,9616862.0,442.0,-7.0
2021-05-17,951.0,459.0,422.0,450.0,26542.0,11659609.0,435.0,15.0
2021-05-18,994.0,467.0,433.0,460.0,26109.0,12000268.0,450.0,10.0
2021-05-19,639.0,470.0,438.0,441.0,22776.0,10124190.0,460.0,-19.0
2021-05-20,694.0,441.0,430.0,434.0,14994.0,6525469.0,441.0,-7.0
2021-05-23,780.0,445.0,425.0,434.0,21879.0,9582733.0,434.0,0.0
2021-05-24,609.0,455.0,430.0,436.0,13437.0,5869880.0,434.0,2.0
2021-05-25,713.0,445.0,429.0,435.0,21162.0,9228248.0,436.0,-1.0
2021-05-27,1063.0,461.0,433.0,451.0,44400.0,19953874.0,435.0,16.0
2021-05-30,805.0,469.0,438.0,439.0,27028.0,12108481.0,451.0,-12.0
2021-05-31,711.0,440.0,428.0,428.0,21638.0,9335241.0,439.0,-11.0
2021-06-01,458.0,449.0,413.0,425.0,10310.0,4389586.0,428.0,-3.0
2021-06-02,542.0,449.0,413.0,430.0,7663.0,3272914.0,425.0,5.0
2021-06-03,596.0,430.0,420.0,421.0,13264.0,5608755.0,430.0,-9.0
2021-06-06,647.0,429.0,410.0,417.0,13649.0,5642240.0,421.0,-4.0
2021-06-07,802.0,445.0,412.0,435.0,41967.0,17760986.0,417.0,18.0
2021-06-08,609.0,457.0,433.0,437.0,14905.0,6584120.0,435.0,2.0
2021-06-09,424.0,448.0,425.0,430.0,9963.0,4298622.0,437.0,-7.0
2021-06-10,583.0,438.0,422.0,429.0,20270.0,8747847.0,430.0,-1.0
2021-06-13,1426.0,465.0,432.0,462.0,75141.0,33700383.0,429.0,33.0
2021-06-14,892.0,480.0,449.0,451.0,37947.0,17434170.0,462.0,-11.0
2021-06-15,540.0,445.0,435.0,444.0,18723.0,8256192.0,451.0,-7.0
2021-06-16,644.0,440.0,422.0,426.0,15064.0,6425300.0,444.0,-18.0
2021-06-17,707.0,425.0,413.0,420.0,16264.0,6817407.0,426.0,-6.0
2021-06-20,749.0,426.0,401.0,409.0,18676.0,7683836.0,420.0,-11.0
2021-06-21,613.0,415.0,392.0,393.0,14863.0,5983437.0,409.0,-16.0
2021-06-22,424.0,422.0,390.0,418.0,9441.0,3871786.0,393.0,25.0
2021-06-23,308.0,438.0,400.0,403.0,7935.0,3275905.0,418.0,-15.0
2021-06-24,388.0,408.0,390.0,401.0,8296.0,3300697.0,403.0,-2.0
2021-06-27,705.0,427.0,400.0,420.0,24965.0,10337959.0,401.0,19.0
2021-06-28,506.0,434.0,412.0,413.0,8425.0,3538030.0,420.0,-7.0
2021-06-29,329.0,429.0,400.0,406.0,4944.0,2020242.0,413.0,-7.0
2021-06-30,358.0,406.0,392.0,399.0,12801.0,5071086.0,406.0,-7.0
2021-07-01,539.0,422.0,394.0,410.0,14215.0,5845546.0,399.0,11.0
2021-07-04,495.0,420.0,405.0,406.0,8739.0,3587254.0,410.0,-4.0
2021-07-05,365.0,410.0,398.0,404.0,4652.0,1867603.0,406.0,-2.0
2021-07-06,340.0,413.0,396.0,399.0,5470.0,2195355.0,404.0,-5.0
2021-07-07,235.0,405.0,392.0,394.0,4523.0,1787768.0,399.0,-5.0
2021-07-08,331.0,404.0,375.0,397.0,9432.0,3749118.0,394.0,3.0
2021-07-11,341.0,405.0,397.0,404.0,7190.0,2883995.0,397.0,7.0
2021-07-12,273.0,406.0,395.0,397.0,9515.0,3813550.0,404.0,-7.0
2021-07-13,223.0,404.0,390.0,400.0,4997.0,1998695.0,397.0,3.0
2021-07-14,426.0,426.0,393.0,418.0,12501.0,5126130.0,400.0,18.0
2021-07-15,652.0,435.0,399.0,433.0,26859.0,11431263.0,418.0,15.0
2021-07-18,1465.0,476.3,441.0,476.3,98402.0,45941816.0,433.0,43.3
2021-07-19,811.0,523.8,468.5,471.0,45751.0,22194010.6,476.3,-5.3
2021-07-20,947.0,497.2,461.0,488.0,45188.0,21640187.8,471.0,17.0
2021-07-22,791.0,488.0,476.0,485.0,46306.0,22251943.0,488.0,-3.0
2021-07-25,1291.0,504.0,482.0,501.0,73930.0,36798431.8,485.0,16.0
2021-07-26,1832.0,551.1,494.0,539.0,130141.0,68390926.3,501.0,38.0
2021-07-27,1439.0,575.0,522.0,562.0,79099.0,43120210.1,539.0,23.0
2021-07-28,1013.0,562.0,532.0,534.0,45672.0,24838175.5,562.0,-28.0
2021-07-29,879.0,537.0,513.0,531.0,65651.0,34621907.5,534.0,-3.0
2021-08-01,1235.0,551.0,521.0,540.0,73164.0,39652499.8,531.0,9.0
2021-08-02,716.0,556.0,529.5,529.6,38670.0,20905337.3,540.0,-10.4
2021-08-03,707.0,550.8,520.4,537.0,44582.0,23958539.7,529.6,7.4
2021-08-04,1108.0,566.0,538.0,548.0,82786.0,45684449.8,537.0,11.0
2021-08-05,656.0,581.0,535.0,536.7,28131.0,15329308.9,548.0,-11.3
2021-08-08,842.0,566.0,525.0,545.0,57893.0,31923514.5,536.7,8.3
2021-08-09,942.0,565.0,535.0,556.1,59620.0,33250638.5,545.0,11.1
2021-08-10,748.0,560.0,532.0,535.0,46120.0,25103137.0,556.1,-21.1
