Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,1.0,240.0,240.0,240.0,108.0,25920.0,236.0,4.0
2012-06-06,4.0,248.0,244.0,248.0,400.0,98500.0,240.0,8.0
2012-06-07,2.0,244.0,240.0,240.0,1563.0,375520.0,248.0,-8.0
2012-06-10,2.0,236.0,233.0,233.0,678.0,159474.0,240.0,-7.0
2012-06-11,2.0,237.0,237.0,237.0,368.0,87216.0,233.0,4.0
2012-06-12,16.0,234.0,229.0,230.0,6996.0,1611705.0,237.0,-7.0
2012-06-13,2.0,226.0,226.0,226.0,647.0,146222.0,230.0,-4.0
2012-06-18,2.0,226.0,222.0,226.0,467.0,105114.0,226.0,0.0
2012-06-27,7.0,227.0,223.0,223.0,6233.0,1400359.0,226.0,-3.0
2012-06-28,5.0,226.0,225.0,226.0,5000.0,1128000.0,223.0,3.0
2012-07-01,2.0,229.0,225.0,229.0,2000.0,454000.0,226.0,3.0
2012-07-02,3.0,234.0,230.0,230.0,1100.0,253400.0,229.0,1.0
2012-07-04,1.0,234.0,234.0,234.0,490.0,114660.0,230.0,4.0
2012-07-05,6.0,230.0,230.0,230.0,8000.0,1840000.0,234.0,-4.0
2012-07-08,2.0,230.0,230.0,230.0,512.0,117760.0,230.0,0.0
2012-07-10,1.0,234.0,234.0,234.0,304.0,71136.0,230.0,4.0
2012-07-11,2.0,230.0,230.0,230.0,5000.0,1150000.0,234.0,-4.0
2012-07-15,1.0,230.0,230.0,230.0,4000.0,920000.0,230.0,0.0
2012-07-17,1.0,230.0,230.0,230.0,500.0,115000.0,230.0,0.0
2012-07-18,2.0,230.0,230.0,230.0,5600.0,1288000.0,230.0,0.0
2012-07-22,3.0,231.0,230.0,230.0,6410.0,1474584.0,230.0,0.0
2012-07-23,2.0,230.0,230.0,230.0,1533.0,352590.0,230.0,0.0
2012-07-24,2.0,234.0,230.0,234.0,11000.0,2534000.0,230.0,4.0
2012-07-25,1.0,230.0,230.0,230.0,10155.0,2335650.0,234.0,-4.0
2012-07-31,3.0,238.0,234.0,238.0,2086.0,488524.0,230.0,8.0
2012-08-06,6.0,236.0,234.0,234.0,5142.0,1204512.0,238.0,-4.0
2012-08-07,2.0,236.0,234.0,236.0,1100.0,257600.0,234.0,2.0
2012-08-13,1.0,236.0,236.0,236.0,1000.0,236000.0,236.0,0.0
2012-08-14,1.0,236.0,236.0,236.0,859.0,202724.0,236.0,0.0
2012-08-19,1.0,236.0,236.0,236.0,1273.0,300428.0,236.0,0.0
2012-08-22,2.0,240.0,240.0,240.0,300.0,72000.0,236.0,4.0
2012-08-30,7.0,249.0,237.0,248.0,4854.0,1178146.0,240.0,8.0
2012-09-02,1.0,252.0,252.0,252.0,600.0,151200.0,248.0,4.0
2012-09-03,2.0,257.0,252.0,257.0,466.0,117937.0,252.0,5.0
2012-09-05,2.0,261.0,257.0,261.0,1100.0,283100.0,257.0,4.0
2012-09-06,4.0,266.0,260.0,261.0,2417.0,630314.0,261.0,0.0
2012-09-09,2.0,266.0,265.0,265.0,478.0,126848.0,261.0,4.0
2012-09-10,2.0,269.0,266.0,266.0,841.0,224975.0,265.0,1.0
2012-09-11,2.0,266.0,265.0,266.0,1526.0,405516.0,266.0,0.0
2012-09-12,5.0,270.0,267.0,270.0,963.0,259245.0,266.0,4.0
2012-09-13,2.0,280.0,275.0,280.0,485.0,134780.0,270.0,10.0
