Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2014-01-22,1.0,324.0,324.0,324.0,10.0,3240.0,0.0,324.0
2014-01-23,6.0,356.0,330.0,356.0,60.0,20660.0,324.0,32.0
2014-01-26,1.0,373.0,373.0,373.0,10.0,3730.0,356.0,17.0
2014-01-27,4.0,401.0,380.0,401.0,40.0,15620.0,373.0,28.0
2014-01-28,7.0,441.0,409.0,441.0,252.0,109756.0,401.0,40.0
2014-01-29,61.0,485.0,449.0,485.0,1380.0,666968.0,441.0,44.0
2014-02-02,826.0,533.0,494.0,533.0,64607.0,34314932.0,485.0,48.0
2014-02-03,1118.0,543.0,495.0,500.0,64378.0,33538028.0,533.0,-33.0
2014-02-04,515.0,499.0,452.0,494.0,19086.0,9279880.0,500.0,-6.0
2014-02-05,398.0,503.0,494.0,501.0,14465.0,7231475.0,494.0,7.0
2014-02-06,249.0,527.0,498.0,519.0,12863.0,6478886.0,501.0,18.0
2014-02-09,368.0,520.0,500.0,515.0,17399.0,8873190.0,519.0,-4.0
2014-02-10,171.0,545.0,511.0,524.0,11836.0,6169735.0,515.0,9.0
2014-02-11,195.0,523.0,510.0,516.0,21014.0,10790549.0,524.0,-8.0
2014-02-12,261.0,512.0,500.0,512.0,8511.0,4318790.0,516.0,-4.0
2014-02-13,371.0,512.0,508.0,512.0,9708.0,4952112.0,512.0,0.0
2014-02-16,202.0,511.0,502.0,505.0,6069.0,3070731.0,512.0,-7.0
2014-02-17,291.0,512.0,500.0,506.0,22549.0,11350710.0,505.0,1.0
2014-02-18,426.0,524.0,505.0,515.0,11226.0,5749845.0,506.0,9.0
2014-02-20,300.0,530.0,514.0,530.0,9012.0,4688680.0,515.0,15.0
2014-02-23,423.0,583.0,530.0,580.0,33835.0,18878495.0,530.0,50.0
2014-02-24,211.0,625.0,582.0,582.0,23880.0,14245409.0,580.0,2.0
2014-02-25,298.0,593.0,560.0,593.0,25759.0,14788833.0,582.0,11.0
2014-02-26,268.0,604.0,534.0,570.0,14762.0,8612450.0,593.0,-23.0
2014-03-03,189.0,565.0,546.0,555.0,7794.0,4329743.0,570.0,-15.0
2014-03-04,243.0,550.0,532.0,549.0,18136.0,9753163.0,555.0,-6.0
2014-03-05,176.0,582.0,535.0,560.0,12657.0,7138103.0,549.0,11.0
2014-03-06,376.0,570.0,555.0,560.0,27561.0,15482965.0,560.0,0.0
2014-03-09,232.0,560.0,540.0,550.0,15006.0,8274894.0,560.0,-10.0
2014-03-10,297.0,550.0,530.0,549.0,8932.0,4826451.0,550.0,-1.0
2014-03-11,277.0,545.0,530.0,530.0,10786.0,5831905.0,549.0,-19.0
2014-03-12,214.0,545.0,525.0,540.0,10038.0,5401923.0,530.0,10.0
2014-03-13,271.0,545.0,531.0,540.0,9115.0,4935193.0,540.0,0.0
2014-03-17,174.0,540.0,515.0,525.0,9794.0,5174799.0,540.0,-15.0
2014-03-18,166.0,530.0,511.0,515.0,5212.0,2690447.0,525.0,-10.0
2014-03-19,180.0,535.0,510.0,525.0,4212.0,2206313.0,515.0,10.0
2014-03-20,152.0,532.0,515.0,532.0,2766.0,1442475.0,525.0,7.0
2014-03-23,147.0,550.0,526.0,540.0,10299.0,5491627.0,532.0,8.0
2014-03-24,165.0,566.0,538.0,560.0,10249.0,5655906.0,540.0,20.0
2014-03-25,289.0,580.0,547.0,570.0,21974.0,12463350.0,560.0,10.0
2014-03-26,314.0,589.0,560.0,584.0,22124.0,12720203.0,570.0,14.0
2014-03-27,409.0,605.0,580.0,604.0,39017.0,23315657.0,584.0,20.0
2014-03-31,458.0,632.0,600.0,632.0,19441.0,12044508.0,604.0,28.0
2014-04-01,260.0,665.0,626.0,660.0,18629.0,12100531.0,632.0,28.0
2014-04-02,250.0,700.0,653.0,684.0,35568.0,24276582.0,660.0,24.0
2014-04-03,227.0,700.0,640.0,642.0,18448.0,12551054.0,684.0,-42.0
2014-04-06,154.0,644.0,630.0,640.0,10967.0,6987295.0,642.0,-2.0
2014-04-07,112.0,655.0,628.0,655.0,10843.0,6942479.0,640.0,15.0
2014-04-09,134.0,672.0,642.0,670.0,7401.0,4897079.0,655.0,15.0
2014-04-10,82.0,675.0,659.0,673.0,5842.0,3917115.0,670.0,3.0
2014-04-13,126.0,685.0,660.0,685.0,15886.0,10742163.0,673.0,12.0
2014-04-15,95.0,690.0,665.0,685.0,12285.0,8390821.0,685.0,0.0
2014-04-16,132.0,689.0,663.0,670.0,8958.0,6094816.0,685.0,-15.0
2014-04-17,171.0,683.0,660.0,680.0,8003.0,5422321.0,670.0,10.0
2014-04-20,152.0,686.0,673.0,673.0,9516.0,6468856.0,680.0,-7.0
2014-04-21,109.0,681.0,658.0,668.0,6649.0,4457601.0,673.0,-5.0
2014-04-22,188.0,686.0,658.0,680.0,9748.0,6606145.0,668.0,12.0
2014-04-23,157.0,685.0,671.0,677.0,13283.0,9025947.0,680.0,-3.0
2014-04-27,83.0,680.0,660.0,672.0,4486.0,3006544.0,677.0,-5.0
2014-04-28,67.0,669.0,653.0,660.0,3711.0,2457177.0,672.0,-12.0
2014-04-29,101.0,668.0,655.0,661.0,4659.0,3081404.0,660.0,1.0
2014-04-30,156.0,650.0,626.0,642.0,14040.0,8985663.0,661.0,-19.0
2014-05-04,120.0,650.0,630.0,635.0,7737.0,4959684.0,642.0,-7.0
2014-05-05,78.0,665.0,614.0,655.0,9585.0,6092533.0,635.0,20.0
2014-05-06,64.0,655.0,642.0,654.0,2437.0,1586042.0,655.0,-1.0
2014-05-07,79.0,659.0,640.0,650.0,4894.0,3205051.0,654.0,-4.0
2014-05-08,101.0,665.0,649.0,656.0,7781.0,5073083.0,650.0,6.0
2014-05-11,65.0,658.0,630.0,630.0,4525.0,2893694.0,656.0,-26.0
2014-05-12,58.0,642.0,625.0,637.0,2471.0,1573019.0,630.0,7.0
2014-05-13,92.0,640.0,624.0,640.0,2726.0,1715746.0,637.0,3.0
2014-05-15,108.0,650.0,612.0,645.0,2409.0,1538376.0,640.0,5.0
2014-05-18,72.0,654.0,640.0,640.0,3155.0,2045282.0,645.0,-5.0
2014-05-19,109.0,646.0,632.0,640.0,6262.0,4004553.0,640.0,0.0
2014-05-20,70.0,644.0,631.0,639.0,4845.0,3102240.0,640.0,-1.0
2014-05-21,137.0,648.0,635.0,640.0,4606.0,2946010.0,639.0,1.0
2014-05-22,90.0,645.0,630.0,640.0,3716.0,2379102.0,640.0,0.0
2014-05-25,137.0,673.0,645.0,650.0,8110.0,5306558.0,640.0,10.0
2014-05-26,122.0,660.0,641.0,659.0,8712.0,5685756.0,650.0,9.0
2014-05-27,79.0,672.0,650.0,660.0,6168.0,4085907.0,659.0,1.0
2014-05-28,140.0,680.0,648.0,670.0,16331.0,10945022.0,660.0,10.0
2014-06-01,154.0,689.0,652.0,675.0,14235.0,9647122.0,670.0,5.0
2014-06-02,152.0,708.0,674.0,691.0,5875.0,4054696.0,675.0,16.0
2014-06-03,109.0,693.0,670.0,671.0,4027.0,2754664.0,691.0,-20.0
2014-06-04,80.0,684.0,661.0,684.0,4150.0,2801417.0,671.0,13.0
2014-06-05,95.0,697.0,675.0,688.0,4755.0,3248382.0,684.0,4.0
2014-06-08,67.0,696.0,680.0,689.0,3198.0,2208222.0,688.0,1.0
2014-06-09,59.0,691.0,680.0,690.0,3578.0,2447688.0,689.0,1.0
2014-06-10,85.0,700.0,680.0,690.0,4805.0,3328657.0,690.0,0.0
2014-06-11,90.0,703.0,685.0,697.0,4942.0,3448119.0,690.0,7.0
2014-06-12,59.0,701.0,683.0,700.0,3155.0,2193535.0,697.0,3.0
2014-06-15,84.0,701.0,690.0,696.0,10976.0,7669019.0,700.0,-4.0
