Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,1.0,312.0,312.0,312.0,10.0,3120.0,306.0,6.0
2012-06-04,2.0,318.0,318.0,318.0,64.0,20352.0,312.0,6.0
2012-06-05,3.0,336.0,324.0,336.0,30.0,9900.0,318.0,18.0
2012-06-06,4.0,361.0,342.0,361.0,400.0,140500.0,336.0,25.0
2012-06-07,3.0,365.0,363.0,365.0,206.0,75104.0,361.0,4.0
2012-06-10,3.0,362.0,350.0,350.0,1466.0,529449.0,365.0,-15.0
2012-06-11,1.0,343.0,343.0,343.0,10.0,3430.0,350.0,-7.0
2012-06-12,1.0,340.0,340.0,340.0,93.0,31620.0,343.0,-3.0
2012-06-13,1.0,334.0,334.0,334.0,51.0,17034.0,340.0,-6.0
2012-06-17,2.0,331.0,330.0,331.0,44.0,14542.0,334.0,-3.0
2012-06-18,1.0,325.0,325.0,325.0,23.0,7475.0,331.0,-6.0
2012-06-19,4.0,337.0,331.0,337.0,178.0,59302.0,325.0,12.0
2012-06-20,1.0,343.0,343.0,343.0,60.0,20580.0,337.0,6.0
2012-06-27,4.0,337.0,337.0,337.0,80.0,26960.0,343.0,-6.0
2012-07-04,1.0,335.0,335.0,335.0,60.0,20100.0,337.0,-2.0
2012-07-08,1.0,335.0,335.0,335.0,20.0,6700.0,335.0,0.0
2012-07-09,3.0,347.0,341.0,347.0,158.0,54478.0,335.0,12.0
2012-07-19,1.0,353.0,353.0,353.0,10.0,3530.0,347.0,6.0
2012-07-26,1.0,355.0,355.0,355.0,466.0,165430.0,353.0,2.0
2012-07-30,6.0,390.0,362.0,390.0,86.0,32696.0,355.0,35.0
2012-07-31,1.0,397.0,397.0,397.0,10.0,3970.0,390.0,7.0
2012-08-07,3.0,420.0,404.0,420.0,49.0,20180.0,397.0,23.0
2012-08-12,4.0,419.0,419.0,419.0,192.0,80448.0,420.0,-1.0
2012-08-26,5.0,460.0,427.0,460.0,109.0,47937.0,419.0,41.0
2012-08-27,5.0,505.0,469.0,505.0,50.0,24350.0,460.0,45.0
2012-08-28,6.0,555.0,515.0,555.0,65.0,35075.0,505.0,50.0
2012-08-29,15.0,610.0,566.0,610.0,316.0,191143.0,555.0,55.0
2012-08-30,17.0,671.0,622.0,622.0,1233.0,800297.0,610.0,12.0
2012-09-02,8.0,610.0,595.0,605.0,426.0,256750.0,622.0,-17.0
2012-09-03,4.0,600.0,593.0,600.0,75.0,44859.0,605.0,-5.0
2012-09-04,4.0,600.0,588.0,595.0,1114.0,658321.0,600.0,-5.0
2012-09-05,1.0,584.0,584.0,584.0,200.0,116800.0,595.0,-11.0
2012-09-06,3.0,584.0,573.0,584.0,162.0,94179.0,584.0,0.0
2012-09-10,11.0,610.0,585.0,610.0,360.0,216455.0,584.0,26.0
2012-09-11,4.0,600.0,600.0,600.0,80.0,48000.0,610.0,-10.0
2012-09-12,4.0,615.0,600.0,615.0,137.0,83485.0,600.0,15.0
2012-09-13,3.0,613.0,602.0,602.0,125.0,75785.0,615.0,-13.0
2012-09-16,5.0,620.0,610.0,620.0,908.0,558278.0,602.0,18.0
2012-09-17,4.0,625.0,615.0,620.0,97.0,60182.0,620.0,0.0
2012-09-18,7.0,635.0,621.0,635.0,262.0,164798.0,620.0,15.0
2012-09-19,3.0,636.0,635.0,635.0,55.0,34940.0,635.0,0.0
2012-09-20,3.0,636.0,635.0,635.0,74.0,47005.0,635.0,0.0
2012-09-23,9.0,647.0,642.0,642.0,426.0,273992.0,635.0,7.0
2012-09-24,2.0,630.0,630.0,630.0,103.0,64890.0,642.0,-12.0
2012-09-25,1.0,625.0,625.0,625.0,126.0,78750.0,630.0,-5.0
2012-09-26,8.0,652.0,636.0,640.0,322.0,206133.0,625.0,15.0
