Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-04,7.0,256.0,242.0,242.0,450.0,112600.0,261.0,-19.0
2012-06-05,9.0,260.0,238.0,260.0,2130.0,508540.0,242.0,18.0
2012-06-06,2.0,255.0,250.0,250.0,60.0,15150.0,260.0,-10.0
2012-06-07,7.0,253.0,237.0,253.0,1570.0,374730.0,250.0,3.0
2012-06-10,4.0,252.0,244.0,252.0,480.0,117640.0,253.0,-1.0
2012-06-11,5.0,251.0,247.0,251.0,410.0,101310.0,252.0,-1.0
2012-06-12,2.0,246.0,246.0,246.0,100.0,24600.0,251.0,-5.0
2012-06-13,6.0,250.0,245.0,249.0,260.0,63970.0,246.0,3.0
2012-06-14,6.0,248.0,241.0,241.0,590.0,142950.0,249.0,-8.0
2012-06-17,1.0,237.0,237.0,237.0,10.0,2370.0,241.0,-4.0
2012-06-18,10.0,253.0,233.0,253.0,830.0,195110.0,237.0,16.0
2012-06-19,3.0,248.0,240.0,240.0,300.0,73200.0,253.0,-13.0
2012-06-20,1.0,244.0,244.0,244.0,10.0,2440.0,240.0,4.0
2012-06-21,5.0,248.0,240.0,248.0,310.0,74960.0,244.0,4.0
2012-06-25,2.0,257.0,252.0,257.0,20.0,5090.0,248.0,9.0
2012-06-26,1.0,252.0,252.0,252.0,50.0,12600.0,257.0,-5.0
2012-06-27,1.0,257.0,257.0,257.0,10.0,2570.0,252.0,5.0
2012-06-28,4.0,256.0,247.0,256.0,120.0,30020.0,257.0,-1.0
2012-07-01,1.0,251.0,251.0,251.0,30.0,7530.0,256.0,-5.0
2012-07-02,6.0,246.0,239.0,239.0,700.0,168200.0,251.0,-12.0
2012-07-03,6.0,243.0,239.0,239.0,90.0,21560.0,239.0,0.0
2012-07-04,3.0,243.0,235.0,243.0,230.0,54170.0,239.0,4.0
2012-07-05,1.0,247.0,247.0,247.0,20.0,4940.0,243.0,4.0
2012-07-08,8.0,261.0,251.0,261.0,200.0,51700.0,247.0,14.0
2012-07-09,6.0,276.0,265.0,271.0,250.0,66850.0,261.0,10.0
2012-07-10,10.0,291.0,276.0,291.0,1090.0,301480.0,271.0,20.0
2012-07-11,1.0,289.0,289.0,289.0,50.0,14450.0,291.0,-2.0
2012-07-12,1.0,284.0,284.0,284.0,500.0,142000.0,289.0,-5.0
2012-07-17,2.0,285.0,284.0,285.0,110.0,31250.0,284.0,1.0
2012-07-19,1.0,280.0,280.0,280.0,20.0,5600.0,285.0,-5.0
2012-07-23,1.0,285.0,285.0,285.0,10.0,2850.0,280.0,5.0
2012-08-08,4.0,280.0,270.0,270.0,2680.0,732100.0,285.0,-15.0
2012-08-16,10.0,265.0,243.0,243.0,1670.0,407050.0,270.0,-27.0
2012-08-19,2.0,243.0,239.0,243.0,80.0,19240.0,243.0,0.0
2012-08-21,6.0,255.0,239.0,255.0,370.0,89350.0,243.0,12.0
2012-08-22,8.0,253.0,238.0,253.0,520.0,126730.0,255.0,-2.0
2012-08-26,20.0,278.0,248.0,278.0,3720.0,996580.0,253.0,25.0
2012-08-27,11.0,295.0,283.0,290.0,2370.0,676480.0,278.0,12.0
2012-08-28,11.0,297.0,286.0,292.0,1400.0,407510.0,290.0,2.0
2012-08-29,6.0,308.0,297.0,307.0,930.0,282370.0,292.0,15.0
2012-08-30,7.0,324.0,312.0,324.0,5460.0,1704960.0,307.0,17.0
2012-09-02,4.0,334.0,322.0,322.0,240.0,77760.0,324.0,-2.0
2012-09-03,8.0,325.0,316.0,322.0,620.0,198050.0,322.0,0.0
2012-09-04,2.0,328.0,322.0,328.0,220.0,70960.0,322.0,6.0
2012-09-05,1.0,322.0,322.0,322.0,100.0,32200.0,328.0,-6.0
2012-09-06,7.0,316.0,304.0,307.0,940.0,290650.0,322.0,-15.0
2012-09-09,7.0,314.0,308.0,314.0,1170.0,365840.0,307.0,7.0
2012-09-10,7.0,324.0,319.0,324.0,500.0,161120.0,314.0,10.0
2012-09-11,5.0,336.0,324.0,336.0,1100.0,368940.0,324.0,12.0
2012-09-12,12.0,364.0,341.0,356.0,1540.0,535700.0,336.0,20.0
2012-09-13,1.0,350.0,350.0,350.0,1000.0,350000.0,356.0,-6.0
2012-09-16,6.0,370.0,357.0,370.0,990.0,365570.0,350.0,20.0
2012-09-17,3.0,377.0,377.0,377.0,80.0,30160.0,370.0,7.0
2012-09-18,3.0,384.0,370.0,370.0,230.0,85380.0,377.0,-7.0
2012-09-20,3.0,363.0,349.0,349.0,90.0,31830.0,370.0,-21.0
2012-09-24,1.0,355.0,355.0,355.0,10.0,3550.0,349.0,6.0
2012-09-25,7.0,348.0,332.0,336.0,1510.0,513740.0,355.0,-19.0
2012-09-26,3.0,340.0,330.0,340.0,570.0,193220.0,336.0,4.0
2012-09-27,2.0,346.0,346.0,346.0,200.0,69200.0,340.0,6.0
2012-09-30,7.0,373.0,350.0,366.0,2490.0,878730.0,346.0,20.0
2012-10-02,2.0,372.0,365.0,365.0,30.0,11090.0,366.0,-1.0
2012-10-03,3.0,358.0,345.0,345.0,110.0,38200.0,365.0,-20.0
2012-10-04,3.0,357.0,350.0,357.0,100.0,35210.0,345.0,12.0
2012-10-07,5.0,375.0,364.0,375.0,740.0,276700.0,357.0,18.0
2012-10-08,4.0,375.0,368.0,368.0,850.0,315740.0,375.0,-7.0
2012-10-09,2.0,362.0,361.0,361.0,1020.0,368240.0,368.0,-7.0
2012-10-10,7.0,368.0,354.0,354.0,70.0,24990.0,361.0,-7.0
2012-10-11,5.0,361.0,350.0,354.0,2300.0,808290.0,354.0,0.0
2012-10-14,6.0,352.0,350.0,350.0,350.0,123020.0,354.0,-4.0
2012-10-15,5.0,350.0,348.0,348.0,300.0,104940.0,350.0,-2.0
2012-10-17,1.0,352.0,352.0,352.0,90.0,31680.0,348.0,4.0
2012-10-18,5.0,381.0,359.0,381.0,200.0,73440.0,352.0,29.0
2012-11-01,2.0,378.0,374.0,378.0,860.0,323680.0,381.0,-3.0
2012-11-04,3.0,381.0,377.0,381.0,2750.0,1045430.0,378.0,3.0
2012-11-05,2.0,374.0,368.0,368.0,40.0,14840.0,381.0,-13.0
2012-11-07,2.0,375.0,375.0,375.0,900.0,337500.0,368.0,7.0
2012-11-08,9.0,400.0,381.0,400.0,1910.0,757470.0,375.0,25.0
2012-11-11,1.0,407.0,407.0,407.0,10.0,4070.0,400.0,7.0
2012-11-12,4.0,405.0,399.0,405.0,380.0,153240.0,407.0,-2.0
2012-11-18,1.0,397.0,397.0,397.0,20.0,7940.0,405.0,-8.0
2012-11-20,2.0,406.0,404.0,406.0,30.0,12160.0,397.0,9.0
2012-11-21,2.0,398.0,391.0,391.0,1580.0,617990.0,406.0,-15.0
2012-11-22,1.0,384.0,384.0,384.0,240.0,92160.0,391.0,-7.0
2012-11-25,1.0,384.0,384.0,384.0,70.0,26880.0,384.0,0.0
2012-11-26,1.0,380.0,380.0,380.0,500.0,190000.0,384.0,-4.0
2012-11-27,8.0,386.0,372.0,372.0,2090.0,779230.0,380.0,-8.0
2012-11-28,5.0,394.0,379.0,394.0,190.0,72510.0,372.0,22.0
2012-11-29,2.0,387.0,387.0,387.0,120.0,46440.0,394.0,-7.0
2012-12-03,1.0,380.0,380.0,380.0,100.0,38000.0,387.0,-7.0
2012-12-06,1.0,374.0,374.0,374.0,10.0,3740.0,380.0,-6.0
2012-12-12,1.0,381.0,381.0,381.0,20.0,7620.0,374.0,7.0
2012-12-13,3.0,388.0,381.0,381.0,150.0,57410.0,381.0,0.0
2012-12-16,3.0,395.0,381.0,395.0,60.0,23210.0,381.0,14.0
2012-12-17,11.0,403.0,394.0,403.0,6050.0,2420630.0,395.0,8.0
2012-12-18,1.0,400.0,400.0,400.0,70.0,28000.0,403.0,-3.0
2012-12-23,1.0,408.0,408.0,408.0,10.0,4080.0,400.0,8.0
2012-12-24,8.0,408.0,400.0,400.0,2220.0,900480.0,408.0,-8.0
2012-12-26,9.0,416.0,405.0,416.0,270.0,109550.0,400.0,16.0
2012-12-27,1.0,409.0,409.0,409.0,100.0,40900.0,416.0,-7.0
2013-01-01,6.0,418.0,409.0,410.0,2290.0,938380.0,409.0,1.0
2013-01-02,5.0,402.0,394.0,394.0,11710.0,4700140.0,410.0,-16.0
2013-01-03,1.0,387.0,387.0,387.0,20.0,7740.0,394.0,-7.0
