Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,1.0,190.0,190.0,190.0,24.0,4560.0,189.0,1.0
2012-06-05,1.0,190.0,190.0,190.0,100.0,19000.0,190.0,0.0
2012-06-07,2.0,196.0,193.0,196.0,320.0,62240.0,190.0,6.0
2012-06-10,7.0,194.0,193.0,194.0,145.0,28103.0,196.0,-2.0
2012-06-11,2.0,200.0,197.0,200.0,379.0,75143.0,194.0,6.0
2012-06-12,4.0,208.0,200.0,208.0,304.0,61392.0,200.0,8.0
2012-06-13,2.0,204.0,204.0,204.0,66.0,13464.0,208.0,-4.0
2012-06-17,2.0,200.0,200.0,200.0,420.0,84000.0,204.0,-4.0
2012-06-18,1.0,196.0,196.0,196.0,100.0,19600.0,200.0,-4.0
2012-06-19,1.0,196.0,196.0,196.0,10.0,1960.0,196.0,0.0
2012-06-20,1.0,199.0,199.0,199.0,10.0,1990.0,196.0,3.0
2012-06-26,1.0,202.0,202.0,202.0,19.0,3838.0,199.0,3.0
2012-06-27,5.0,206.0,202.0,206.0,175.0,35906.0,202.0,4.0
2012-07-02,2.0,206.0,202.0,202.0,114.0,23428.0,206.0,-4.0
2012-07-08,2.0,198.0,198.0,198.0,80.0,15840.0,202.0,-4.0
2012-07-09,1.0,195.0,195.0,195.0,80.0,15600.0,198.0,-3.0
2012-07-10,2.0,195.0,195.0,195.0,80.0,15600.0,195.0,0.0
2012-07-17,6.0,192.0,177.0,177.0,400.0,72960.0,195.0,-18.0
2012-07-30,1.0,180.0,180.0,180.0,30.0,5400.0,177.0,3.0
2012-08-05,1.0,181.0,181.0,181.0,40.0,7240.0,180.0,1.0
2012-08-27,2.0,178.0,175.0,175.0,290.0,50990.0,181.0,-6.0
2012-09-10,1.0,178.0,178.0,178.0,34.0,6052.0,175.0,3.0
2012-09-20,2.0,181.0,181.0,181.0,240.0,43440.0,178.0,3.0
2012-09-24,1.0,181.0,181.0,181.0,80.0,14480.0,181.0,0.0
2012-09-26,1.0,180.0,180.0,180.0,100.0,18000.0,181.0,-1.0
2012-09-30,1.0,183.0,183.0,183.0,4000.0,732000.0,180.0,3.0
2012-10-01,5.0,198.0,186.0,198.0,1553.0,289206.0,183.0,15.0
2012-10-02,4.0,213.0,201.0,213.0,40.0,8280.0,198.0,15.0
2012-10-03,3.0,217.0,209.0,217.0,120.0,25200.0,213.0,4.0
2012-10-11,1.0,221.0,221.0,221.0,10.0,2210.0,217.0,4.0
2012-10-15,1.0,225.0,225.0,225.0,192.0,43200.0,221.0,4.0
2012-12-13,2.0,225.0,225.0,225.0,790.0,177750.0,225.0,0.0
2012-12-17,1.0,221.0,221.0,221.0,14.0,3094.0,225.0,-4.0
2012-12-18,1.0,225.0,225.0,225.0,46.0,10350.0,221.0,4.0
2012-12-19,1.0,225.0,225.0,225.0,183.0,41175.0,225.0,0.0
2013-01-02,1.0,221.0,221.0,221.0,40.0,8840.0,225.0,-4.0
2013-01-07,1.0,217.0,217.0,217.0,100.0,21700.0,221.0,-4.0
2013-01-31,2.0,213.0,210.0,210.0,108.0,22761.0,217.0,-7.0
2013-02-10,1.0,206.0,206.0,206.0,40.0,8240.0,210.0,-4.0
2013-02-20,3.0,206.0,202.0,202.0,300.0,60800.0,206.0,-4.0
2013-03-27,1.0,198.0,198.0,198.0,40.0,7920.0,202.0,-4.0
2013-03-28,2.0,195.0,192.0,192.0,80.0,15480.0,198.0,-6.0
2013-04-11,1.0,192.0,192.0,192.0,504.0,96768.0,192.0,0.0
2013-04-16,4.0,189.0,186.0,186.0,600.0,111960.0,192.0,-6.0
2013-04-18,4.0,186.0,185.0,185.0,506.0,94010.0,186.0,-1.0
2013-04-22,1.0,182.0,182.0,182.0,11.0,2002.0,185.0,-3.0
2013-04-30,1.0,179.0,179.0,179.0,40.0,7160.0,182.0,-3.0
2013-05-02,1.0,182.0,182.0,182.0,40.0,7280.0,179.0,3.0
2013-05-12,1.0,179.0,179.0,179.0,25.0,4475.0,182.0,-3.0
2013-05-21,1.0,176.0,176.0,176.0,80.0,14080.0,179.0,-3.0
2013-05-22,2.0,173.0,173.0,173.0,160.0,27680.0,176.0,-3.0
2013-05-26,1.0,171.0,171.0,171.0,36.0,6156.0,173.0,-2.0
2013-05-27,3.0,168.0,168.0,168.0,120.0,20160.0,171.0,-3.0
2013-05-28,1.0,165.0,165.0,165.0,160.0,26400.0,168.0,-3.0
2013-06-09,2.0,165.0,162.0,162.0,280.0,45660.0,165.0,-3.0
2013-06-27,3.0,171.0,165.0,171.0,120.0,20160.0,162.0,9.0
2013-07-01,2.0,177.0,174.0,177.0,612.0,108234.0,171.0,6.0
2013-07-02,1.0,177.0,177.0,177.0,160.0,28320.0,177.0,0.0
2013-07-03,1.0,180.0,180.0,180.0,40.0,7200.0,177.0,3.0
2013-07-04,1.0,183.0,183.0,183.0,40.0,7320.0,180.0,3.0
2013-07-07,10.0,201.0,186.0,201.0,482.0,96102.0,183.0,18.0
2013-07-08,14.0,221.0,205.0,221.0,6134.0,1354786.0,201.0,20.0
2013-07-09,9.0,243.0,225.0,243.0,835.0,196405.0,221.0,22.0
2013-07-10,5.0,256.0,247.0,256.0,59.0,14782.0,243.0,13.0
2013-07-11,18.0,281.0,261.0,281.0,4913.0,1308443.0,256.0,25.0
2013-07-14,7.0,286.0,276.0,281.0,525.0,147813.0,281.0,0.0
2013-07-15,9.0,286.0,280.0,284.0,1263.0,358778.0,281.0,3.0
2013-07-16,3.0,285.0,279.0,279.0,3450.0,980760.0,284.0,-5.0
2013-07-17,1.0,279.0,279.0,279.0,40.0,11160.0,279.0,0.0
2013-07-18,5.0,280.0,275.0,275.0,813.0,226355.0,279.0,-4.0
2013-07-21,13.0,290.0,280.0,285.0,928.0,264959.0,275.0,10.0
2013-07-22,2.0,285.0,280.0,280.0,259.0,73720.0,285.0,-5.0
2013-07-23,2.0,280.0,275.0,280.0,185.0,51400.0,280.0,0.0
2013-07-24,7.0,290.0,285.0,290.0,894.0,258865.0,280.0,10.0
2013-07-25,2.0,285.0,280.0,280.0,1000.0,282500.0,290.0,-10.0
