Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-09-08,2.0,140.0,140.0,140.0,1000.0,140000.0,0.0,140.0
2013-09-10,2.0,138.0,136.0,136.0,250.0,34200.0,140.0,-4.0
2013-09-17,3.0,134.0,132.0,132.0,710.0,94020.0,136.0,-4.0
2013-09-19,3.0,130.0,130.0,130.0,2500.0,325000.0,132.0,-2.0
2013-09-30,4.0,128.0,124.0,124.0,950.0,119200.0,130.0,-6.0
2013-10-01,3.0,122.0,118.0,118.0,750.0,89900.0,124.0,-6.0
2013-10-03,3.0,116.0,112.0,112.0,1000.0,113200.0,118.0,-6.0
2013-10-17,12.0,110.0,110.0,110.0,2070.0,227700.0,112.0,-2.0
2013-12-12,2.0,108.0,106.0,106.0,400.0,42800.0,110.0,-4.0
2013-12-18,1.0,104.0,104.0,104.0,440.0,45760.0,106.0,-2.0
2013-12-26,1.0,106.0,106.0,106.0,500.0,53000.0,104.0,2.0
2013-12-29,1.0,108.0,108.0,108.0,260.0,28080.0,106.0,2.0
2014-01-02,2.0,106.0,106.0,106.0,1800.0,190800.0,108.0,-2.0
2014-01-12,2.0,110.0,108.0,110.0,600.0,65400.0,106.0,4.0
2014-01-13,6.0,112.0,108.0,108.0,4700.0,509400.0,110.0,-2.0
2014-01-16,1.0,108.0,108.0,108.0,210.0,22680.0,108.0,0.0
2014-01-22,1.0,108.0,108.0,108.0,200.0,21600.0,108.0,0.0
2014-01-23,2.0,110.0,110.0,110.0,100.0,11000.0,108.0,2.0
2014-01-26,2.0,108.0,106.0,106.0,2550.0,271300.0,110.0,-4.0
2014-02-03,1.0,108.0,108.0,108.0,200.0,21600.0,106.0,2.0
2014-02-05,5.0,118.0,110.0,118.0,300.0,34400.0,108.0,10.0
2014-02-06,6.0,126.0,120.0,126.0,970.0,117980.0,118.0,8.0
2014-02-09,3.0,124.0,124.0,124.0,1160.0,143840.0,126.0,-2.0
2014-02-18,1.0,126.0,126.0,126.0,490.0,61740.0,124.0,2.0
2014-02-20,1.0,124.0,124.0,124.0,350.0,43400.0,126.0,-2.0
2014-02-23,1.0,124.0,124.0,124.0,1000.0,124000.0,124.0,0.0
2014-02-24,5.0,130.0,126.0,130.0,2480.0,314000.0,124.0,6.0
2014-02-25,4.0,134.0,132.0,132.0,2500.0,330800.0,130.0,2.0
2014-02-26,3.0,130.0,128.0,130.0,1400.0,180000.0,132.0,-2.0
2014-03-05,3.0,136.0,132.0,136.0,1330.0,177880.0,130.0,6.0
2014-03-06,1.0,136.0,136.0,136.0,1000.0,136000.0,136.0,0.0
2014-03-09,7.0,140.0,134.0,140.0,2580.0,352200.0,136.0,4.0
2014-03-10,10.0,148.0,142.0,148.0,2620.0,382740.0,140.0,8.0
2014-03-11,4.0,159.0,150.0,159.0,1800.0,274800.0,148.0,11.0
2014-03-12,5.0,163.0,159.0,159.0,720.0,116450.0,159.0,0.0
2014-03-13,1.0,158.0,158.0,158.0,1000.0,158000.0,159.0,-1.0
2014-03-17,4.0,161.0,157.0,157.0,2380.0,380340.0,158.0,-1.0
2014-03-19,5.0,154.0,151.0,151.0,750.0,114570.0,157.0,-6.0
2014-03-20,7.0,148.0,140.0,140.0,3820.0,547640.0,151.0,-11.0
2014-03-24,2.0,138.0,136.0,136.0,810.0,111160.0,140.0,-4.0
2014-03-25,2.0,136.0,134.0,136.0,610.0,81960.0,136.0,0.0
2014-03-31,1.0,134.0,134.0,134.0,310.0,41540.0,136.0,-2.0
2014-04-01,7.0,132.0,130.0,130.0,3910.0,510780.0,134.0,-4.0
2014-04-03,1.0,128.0,128.0,128.0,500.0,64000.0,130.0,-2.0
2014-04-09,6.0,126.0,122.0,122.0,930.0,116200.0,128.0,-6.0
2014-04-13,1.0,124.0,124.0,124.0,70.0,8680.0,122.0,2.0
2014-04-15,1.0,126.0,126.0,126.0,250.0,31500.0,124.0,2.0
2014-04-16,2.0,130.0,128.0,130.0,700.0,90600.0,126.0,4.0
2014-04-17,9.0,128.0,124.0,124.0,900.0,113550.0,130.0,-6.0
2014-04-21,1.0,122.0,122.0,122.0,1050.0,128100.0,124.0,-2.0
2014-04-23,2.0,124.0,124.0,124.0,1200.0,148800.0,122.0,2.0
2014-04-28,1.0,126.0,126.0,126.0,1000.0,126000.0,124.0,2.0
2014-05-05,2.0,128.0,126.0,128.0,1110.0,141860.0,126.0,2.0
2014-05-08,1.0,126.0,126.0,126.0,210.0,26460.0,128.0,-2.0
2014-05-18,1.0,128.0,128.0,128.0,350.0,44800.0,126.0,2.0
2014-05-19,1.0,126.0,126.0,126.0,200.0,25200.0,128.0,-2.0
2014-05-22,1.0,128.0,128.0,128.0,750.0,96000.0,126.0,2.0
2014-05-25,2.0,132.0,130.0,132.0,700.0,92000.0,128.0,4.0
2014-05-28,3.0,136.0,134.0,136.0,210.0,28360.0,132.0,4.0
2014-06-02,1.0,134.0,134.0,134.0,1000.0,134000.0,136.0,-2.0
2014-06-03,4.0,136.0,132.0,136.0,1990.0,267480.0,134.0,2.0
2014-06-05,2.0,140.0,138.0,140.0,100.0,13900.0,136.0,4.0
2014-06-10,1.0,142.0,142.0,142.0,500.0,71000.0,140.0,2.0
2014-06-18,1.0,140.0,140.0,142.0,110.0,15400.0,142.0,-2.0
2014-06-26,2.0,140.0,138.0,140.0,550.0,76500.0,140.0,0.0
2014-06-29,1.0,138.0,138.0,138.0,500.0,69000.0,140.0,-2.0
2014-06-30,1.0,140.0,140.0,140.0,500.0,70000.0,138.0,2.0
2014-07-02,7.0,148.0,142.0,146.0,5060.0,734060.0,140.0,6.0
2014-07-03,1.0,148.0,148.0,148.0,60.0,8880.0,146.0,2.0
2014-07-06,1.0,148.0,148.0,148.0,1000.0,148000.0,148.0,0.0
2014-07-07,7.0,161.0,150.0,159.0,1880.0,294310.0,148.0,11.0
2014-07-08,3.0,162.0,159.0,160.0,1040.0,166910.0,159.0,1.0
2014-07-09,6.0,163.0,157.0,157.0,3660.0,583140.0,160.0,-3.0
2014-07-10,5.0,155.0,154.0,155.0,1400.0,216790.0,157.0,-2.0
2014-07-13,2.0,161.0,158.0,161.0,200.0,31900.0,155.0,6.0
2014-07-14,4.0,165.0,160.0,165.0,1870.0,302560.0,161.0,4.0
2014-07-15,3.0,165.0,162.0,162.0,1760.0,287090.0,165.0,-3.0
2014-07-16,6.0,162.0,160.0,160.0,3090.0,495550.0,162.0,-2.0
2014-07-17,3.0,163.0,162.0,163.0,2710.0,441220.0,160.0,3.0
2014-07-20,2.0,169.0,166.0,169.0,660.0,111060.0,163.0,6.0
2014-07-23,6.0,177.0,172.0,177.0,12110.0,2094470.0,169.0,8.0
2014-07-24,1.0,180.0,180.0,180.0,100.0,18000.0,177.0,3.0
2014-07-27,6.0,198.0,183.0,198.0,1000.0,191100.0,180.0,18.0
2014-07-28,5.0,217.0,201.0,217.0,500.0,104500.0,198.0,19.0
2014-07-30,11.0,238.0,221.0,238.0,6630.0,1571600.0,217.0,21.0
2014-07-31,32.0,261.0,240.0,261.0,14740.0,3766500.0,238.0,23.0
2014-08-03,5.0,260.0,255.0,260.0,1950.0,503900.0,261.0,-1.0
2014-08-04,4.0,265.0,255.0,255.0,1200.0,310000.0,260.0,-5.0
2014-08-05,4.0,253.0,247.0,247.0,400.0,100100.0,255.0,-8.0
2014-08-06,1.0,243.0,243.0,243.0,100.0,24300.0,247.0,-4.0
2014-08-13,5.0,239.0,239.0,239.0,930.0,222270.0,243.0,-4.0
2014-09-01,1.0,235.0,235.0,235.0,1000.0,235000.0,239.0,-4.0
2014-09-03,1.0,231.0,231.0,231.0,1000.0,231000.0,235.0,-4.0
2014-10-09,2.0,227.0,223.0,223.0,5100.0,1137700.0,231.0,-8.0
2014-11-23,2.0,219.0,219.0,219.0,200.0,43800.0,223.0,-4.0
2014-12-02,1.0,215.0,215.0,215.0,50.0,10750.0,219.0,-4.0
2015-01-07,2.0,211.0,207.0,207.0,260.0,54260.0,215.0,-8.0
2015-01-11,2.0,203.0,203.0,203.0,600.0,121800.0,207.0,-4.0
2015-01-12,2.0,199.0,199.0,199.0,200.0,39800.0,203.0,-4.0
2015-01-14,10.0,200.0,190.0,196.0,23550.0,4514500.0,199.0,-3.0
2015-01-26,5.0,192.0,180.0,192.0,2040.0,367500.0,182.0,10.0
2015-01-27,3.0,201.0,195.0,201.0,520.0,104430.0,192.0,9.0
2015-01-28,6.0,221.0,205.0,221.0,890.0,188450.0,201.0,20.0
2015-01-29,18.0,243.0,225.0,242.0,7080.0,1698660.0,221.0,21.0
2015-02-01,7.0,255.0,245.0,245.0,1110.0,277530.0,242.0,3.0
2015-02-02,14.0,241.0,236.0,236.0,4650.0,1104800.0,245.0,-9.0
2015-02-08,4.0,232.0,224.0,224.0,1500.0,345200.0,236.0,-12.0
2015-02-09,4.0,220.0,216.0,216.0,260.0,56500.0,224.0,-8.0
2015-02-10,4.0,216.0,212.0,212.0,1500.0,318700.0,216.0,-4.0
2015-02-11,6.0,220.0,212.0,220.0,3470.0,750940.0,212.0,8.0
2015-02-12,9.0,242.0,224.0,242.0,1330.0,321040.0,220.0,22.0
2015-02-15,39.0,266.0,242.0,266.0,17320.0,4537650.0,242.0,24.0
2015-02-16,5.0,265.0,251.0,251.0,1850.0,476000.0,266.0,-15.0
2015-02-18,7.0,248.0,245.0,245.0,2470.0,607780.0,251.0,-6.0
2015-02-22,8.0,249.0,242.0,242.0,3730.0,911370.0,245.0,-3.0
2015-02-23,7.0,242.0,238.0,242.0,3450.0,828800.0,242.0,0.0
2015-02-24,1.0,238.0,238.0,238.0,100.0,23800.0,242.0,-4.0
2015-02-25,7.0,234.0,229.0,230.0,2600.0,600200.0,238.0,-8.0
2015-02-26,6.0,238.0,234.0,234.0,4500.0,1055000.0,230.0,4.0
2015-03-01,10.0,238.0,230.0,238.0,5830.0,1354690.0,234.0,4.0
2015-03-02,5.0,257.0,240.0,257.0,4010.0,986570.0,238.0,19.0
2015-03-03,1.0,253.0,253.0,253.0,2000.0,506000.0,257.0,-4.0
2015-03-04,2.0,252.0,248.0,252.0,510.0,126520.0,253.0,-1.0
2015-03-09,6.0,252.0,245.0,245.0,3700.0,918400.0,252.0,-7.0
2015-03-10,15.0,242.0,240.0,242.0,9560.0,2297400.0,245.0,-3.0
2015-03-11,1.0,238.0,238.0,238.0,10.0,2380.0,242.0,-4.0
2015-03-12,12.0,250.0,236.0,250.0,7600.0,1851860.0,238.0,12.0
2015-03-15,1.0,246.0,246.0,246.0,1000.0,246000.0,250.0,-4.0
2015-03-17,1.0,242.0,242.0,242.0,400.0,96800.0,246.0,-4.0
2015-03-22,2.0,238.0,234.0,234.0,1800.0,424400.0,242.0,-8.0
2015-03-23,4.0,241.0,237.0,239.0,1050.0,250150.0,234.0,5.0
2015-03-25,2.0,235.0,231.0,231.0,546.0,126310.0,239.0,-8.0
2015-03-31,7.0,239.0,235.0,239.0,2274.0,538486.0,231.0,8.0
2015-04-01,3.0,236.0,235.0,235.0,610.0,143650.0,239.0,-4.0
2015-04-07,1.0,231.0,231.0,231.0,1000.0,231000.0,235.0,-4.0
