Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2019-08-06,660.0,294.0,260.1,261.0,11686.0,3183701.1,0.0,261.0
2019-08-07,129.0,248.0,235.0,235.0,2070.0,489290.0,261.0,-26.0
2019-08-08,11991.0,247.0,212.0,224.0,226165.0,51307537.0,235.0,-11.0
2019-08-11,5659.0,233.0,218.0,233.0,124216.0,27997114.0,224.0,9.0
2019-08-12,2921.0,233.0,227.0,228.0,64760.0,14853070.0,233.0,-5.0
2019-08-13,1983.0,230.0,225.0,225.0,42565.0,9667375.0,228.0,-3.0
2019-08-14,1850.0,227.0,222.0,222.0,44230.0,9913750.0,225.0,-3.0
2019-08-15,861.0,226.0,220.0,222.0,23050.0,5135680.0,222.0,0.0
2019-08-18,1271.0,225.0,217.0,217.0,42847.0,9371116.0,222.0,-5.0
2019-08-19,1662.0,228.0,213.0,222.0,37300.0,8152520.0,217.0,5.0
2019-08-20,973.0,222.0,216.0,217.0,34270.0,7458280.0,222.0,-5.0
2019-08-21,967.0,222.0,216.0,217.0,20900.0,4520780.0,217.0,0.0
2019-08-22,812.0,219.0,216.0,217.0,19505.0,4223655.0,217.0,0.0
2019-08-25,950.0,217.0,210.0,214.0,29840.0,6348040.0,217.0,-3.0
2019-08-26,994.0,213.0,206.0,206.0,32565.0,6780320.0,214.0,-8.0
2019-08-27,585.0,214.0,201.0,209.0,18681.0,3891326.0,206.0,3.0
2019-08-28,478.0,211.0,205.0,206.0,12359.0,2550695.0,209.0,-3.0
2019-08-29,586.0,208.0,203.0,203.0,16538.0,3383848.0,206.0,-3.0
2019-09-01,755.0,203.0,189.0,190.0,34280.0,6743910.0,203.0,-13.0
2019-09-02,776.0,192.0,185.0,188.0,24421.0,4592165.0,190.0,-2.0
2019-09-03,517.0,194.0,180.0,191.0,31610.0,5893474.0,188.0,3.0
2019-09-04,437.0,194.0,187.0,192.0,22253.0,4256443.0,191.0,1.0
2019-09-05,411.0,196.0,188.0,190.0,21245.0,4030325.0,192.0,-2.0
2019-09-08,318.0,191.0,184.0,184.0,10870.0,2018260.0,190.0,-6.0
2019-09-09,637.0,189.0,180.0,181.0,16670.0,3039030.0,184.0,-3.0
2019-09-10,659.0,182.0,173.0,177.0,26971.0,4776875.0,181.0,-4.0
2019-09-11,501.0,180.0,175.0,177.0,11801.0,2081248.0,177.0,0.0
2019-09-12,452.0,177.0,173.0,173.0,13435.0,2336900.0,177.0,-4.0
2019-09-15,848.0,174.0,163.0,168.0,30110.0,5062080.0,173.0,-5.0
