Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-10-08,23.0,605.0,550.0,605.0,2783.0,1681457.0,0.0,605.0
2013-10-09,359.0,665.0,617.0,665.0,16506.0,10708790.0,605.0,60.0
2013-10-10,399.0,718.0,652.0,690.0,23565.0,16050701.0,665.0,25.0
2013-10-17,60.0,693.0,677.0,686.0,2986.0,2032869.0,690.0,-4.0
2013-10-20,61.0,695.0,652.0,660.0,1943.0,1322219.0,686.0,-26.0
2013-10-21,151.0,673.0,650.0,670.0,10997.0,7288319.0,660.0,10.0
2013-10-22,231.0,674.0,660.0,674.0,6847.0,4596247.0,670.0,4.0
2013-10-23,263.0,682.0,670.0,680.0,14041.0,9469981.0,674.0,6.0
2013-10-24,206.0,700.0,676.0,699.0,11302.0,7837303.0,680.0,19.0
2013-10-27,185.0,710.0,675.0,690.0,12862.0,8775962.0,699.0,-9.0
2013-10-28,100.0,695.0,668.0,691.0,4891.0,3373032.0,690.0,1.0
2013-10-29,173.0,695.0,675.0,688.0,3268.0,2238755.0,691.0,-3.0
2013-10-30,234.0,696.0,688.0,693.0,4868.0,3369810.0,688.0,5.0
2013-10-31,215.0,698.0,688.0,691.0,11043.0,7643491.0,693.0,-2.0
2013-11-06,136.0,683.0,665.0,680.0,7253.0,4885069.0,691.0,-11.0
2013-11-07,193.0,691.0,680.0,687.0,3669.0,2513160.0,680.0,7.0
2013-11-10,101.0,701.0,689.0,695.0,4399.0,3055023.0,687.0,8.0
2013-11-11,146.0,702.0,690.0,700.0,14879.0,10410446.0,695.0,5.0
2013-11-12,100.0,725.0,703.0,716.0,10501.0,7494181.0,700.0,16.0
2013-11-13,99.0,745.0,712.0,725.0,7925.0,5802001.0,716.0,9.0
2013-11-14,171.0,735.0,718.0,724.0,7175.0,5203586.0,725.0,-1.0
2013-11-21,1.0,738.0,738.0,738.0,16.0,11808.0,724.0,14.0
2013-11-24,43.0,800.0,737.0,737.0,3633.0,2833616.0,738.0,-1.0
2013-11-25,71.0,750.0,720.0,737.0,5297.0,3901979.0,737.0,0.0
2013-11-26,128.0,760.0,716.0,750.0,3137.0,2338590.0,737.0,13.0
2013-11-27,59.0,760.0,745.0,755.0,2179.0,1637669.0,750.0,5.0
2013-11-28,61.0,769.0,740.0,768.0,2292.0,1737603.0,755.0,13.0
2013-12-01,30.0,790.0,765.0,770.0,3395.0,2619815.0,768.0,2.0
2013-12-02,35.0,824.0,770.0,824.0,7326.0,5756874.0,770.0,54.0
2013-12-03,44.0,906.0,823.0,906.0,7229.0,6068700.0,824.0,82.0
2013-12-04,39.0,996.0,924.0,990.0,4329.0,4237633.0,906.0,84.0
2013-12-05,59.0,1038.0,970.0,989.0,20168.0,20056433.0,990.0,-1.0
2013-12-08,67.0,1008.0,916.0,930.0,2766.0,2626711.0,989.0,-59.0
2013-12-09,36.0,935.0,912.0,935.0,2635.0,2436860.0,930.0,5.0
2013-12-10,42.0,934.0,902.0,905.0,1391.0,1265239.0,935.0,-30.0
2013-12-11,68.0,943.0,911.0,925.0,3154.0,2927011.0,905.0,20.0
2013-12-12,46.0,959.0,907.0,927.0,1644.0,1543080.0,925.0,2.0
2013-12-15,56.0,995.0,927.0,995.0,3430.0,3261309.0,927.0,68.0
2013-12-16,29.0,1014.0,1000.0,1014.0,467.0,472238.0,995.0,19.0
2013-12-18,27.0,1033.0,994.0,1015.0,8172.0,8274739.0,1014.0,1.0
2013-12-19,12.0,1009.0,957.0,1000.0,3787.0,3697285.0,1015.0,-15.0
2013-12-22,261.0,1020.0,990.0,1000.0,10809.0,10861633.0,1000.0,0.0
2013-12-23,168.0,1001.0,980.0,980.0,6906.0,6859240.0,1000.0,-20.0
2013-12-24,267.0,1000.0,940.0,995.0,7827.0,7626358.0,980.0,15.0
2013-12-26,566.0,1022.0,980.0,1022.0,16840.0,16808147.0,995.0,27.0
2013-12-29,9.0,916.0,906.0,912.0,135.0,123320.0,1022.0,-110.0
