Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-06-19,5.0,153.0,153.0,153.0,50.0,7650.0,0.0,153.0
2013-06-20,6.0,168.0,156.0,168.0,314.0,52452.0,153.0,15.0
2013-06-23,45.0,184.0,171.0,184.0,1886.0,346462.0,168.0,16.0
2013-06-24,41.0,202.0,187.0,202.0,1552.0,312450.0,184.0,18.0
2013-06-25,73.0,222.0,192.0,212.0,2375.0,500355.0,202.0,10.0
2013-06-26,1.0,222.0,222.0,222.0,10.0,2220.0,212.0,10.0
2013-06-27,35.0,218.0,200.0,200.0,1314.0,263636.0,222.0,-22.0
2013-06-30,26.0,196.0,182.0,182.0,438.0,83121.0,200.0,-18.0
2013-07-01,3.0,182.0,179.0,180.0,275.0,49476.0,182.0,-2.0
2013-07-02,7.0,189.0,183.0,185.0,212.0,39291.0,180.0,5.0
2013-07-03,10.0,186.0,180.0,186.0,195.0,35420.0,185.0,1.0
2013-07-04,9.0,186.0,183.0,186.0,356.0,65550.0,186.0,0.0
2013-07-07,19.0,204.0,189.0,204.0,477.0,95995.0,186.0,18.0
2013-07-08,13.0,208.0,200.0,204.0,247.0,50260.0,204.0,0.0
2013-07-09,11.0,212.0,206.0,212.0,441.0,92008.0,204.0,8.0
2013-07-10,19.0,215.0,210.0,212.0,505.0,107396.0,212.0,0.0
2013-07-11,25.0,233.0,208.0,233.0,887.0,197564.0,212.0,21.0
2013-07-14,9.0,236.0,232.0,232.0,404.0,94277.0,233.0,-1.0
2013-07-15,15.0,244.0,232.0,239.0,386.0,92124.0,232.0,7.0
2013-07-16,12.0,247.0,235.0,247.0,666.0,160519.0,239.0,8.0
2013-07-17,41.0,268.0,249.0,268.0,1245.0,324523.0,247.0,21.0
2013-07-21,11.0,280.0,250.0,280.0,188.0,50122.0,268.0,12.0
2013-07-22,45.0,285.0,270.0,285.0,743.0,204951.0,280.0,5.0
2013-07-23,10.0,300.0,285.0,300.0,192.0,55709.0,285.0,15.0
2013-07-24,5.0,294.0,290.0,290.0,118.0,34292.0,300.0,-10.0
2013-07-25,9.0,300.0,290.0,295.0,584.0,170894.0,290.0,5.0
2013-07-28,4.0,300.0,295.0,296.0,90.0,26739.0,295.0,1.0
2013-07-29,21.0,306.0,298.0,304.0,1607.0,485681.0,296.0,8.0
2013-07-30,13.0,310.0,298.0,305.0,950.0,284681.0,304.0,1.0
2013-07-31,1.0,307.0,307.0,307.0,18.0,5526.0,305.0,2.0
2013-08-01,6.0,310.0,304.0,304.0,108.0,33189.0,307.0,-3.0
2013-08-04,4.0,305.0,301.0,301.0,106.0,32258.0,304.0,-3.0
2013-08-05,16.0,307.0,301.0,301.0,170.0,51710.0,301.0,0.0
2013-08-06,5.0,300.0,295.0,300.0,530.0,158356.0,301.0,-1.0
2013-08-07,3.0,300.0,298.0,298.0,30.0,8960.0,300.0,-2.0
2013-08-08,7.0,303.0,300.0,303.0,277.0,83364.0,298.0,5.0
2013-08-11,3.0,298.0,298.0,298.0,48.0,14304.0,303.0,-5.0
2013-08-12,11.0,309.0,296.0,296.0,476.0,145531.0,298.0,-2.0
2013-08-13,12.0,310.0,300.0,305.0,236.0,71822.0,296.0,9.0
2013-08-14,7.0,313.0,301.0,313.0,554.0,168674.0,305.0,8.0
2013-08-15,9.0,344.0,308.0,344.0,319.0,105882.0,313.0,31.0
2013-08-18,26.0,378.0,346.0,366.0,932.0,342246.0,344.0,22.0
2013-08-19,6.0,382.0,368.0,368.0,331.0,123956.0,366.0,2.0
2013-08-20,13.0,376.0,355.0,360.0,1589.0,588769.0,368.0,-8.0
2013-08-25,4.0,355.0,353.0,355.0,212.0,75146.0,360.0,-5.0
2013-08-26,3.0,360.0,355.0,360.0,54.0,19290.0,355.0,5.0
2013-08-27,5.0,369.0,362.0,362.0,863.0,317635.0,360.0,2.0
2013-09-01,3.0,355.0,348.0,348.0,56.0,19754.0,362.0,-14.0
2013-09-03,2.0,357.0,350.0,357.0,475.0,166320.0,348.0,9.0
2013-09-10,2.0,357.0,350.0,357.0,60.0,21070.0,357.0,0.0
2013-09-11,4.0,357.0,350.0,357.0,40.0,14070.0,357.0,0.0
2013-09-12,2.0,350.0,343.0,343.0,79.0,27342.0,357.0,-14.0
2013-09-15,20.0,337.0,313.0,322.0,776.0,251140.0,343.0,-21.0
2013-09-16,1.0,316.0,316.0,316.0,75.0,23700.0,322.0,-6.0
2013-09-17,3.0,316.0,310.0,315.0,171.0,53846.0,316.0,-1.0
2013-09-19,10.0,321.0,315.0,315.0,456.0,145605.0,315.0,0.0
2013-09-22,1.0,309.0,309.0,309.0,44.0,13596.0,315.0,-6.0
