Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-09-02,70.0,339.9,309.0,339.9,433.0,140157.9,0.0,30.9
2021-09-05,44.0,373.8,333.9,373.8,301.0,109336.0,339.9,33.9
2021-09-06,35.0,411.1,373.8,411.1,199.0,78912.1,373.8,37.3
2021-09-07,22.0,452.2,414.9,452.2,179.0,78325.0,411.1,41.1
2021-09-08,30.0,497.4,443.2,497.4,227.0,110504.6,452.2,45.2
2021-09-09,37.0,547.1,497.4,547.1,350.0,189997.5,497.4,49.7
2021-09-12,77.0,601.8,547.1,601.8,708.0,423480.5,547.1,54.7
2021-09-13,110.0,661.9,598.6,661.9,1065.0,702836.5,601.8,60.1
2021-09-14,1332.0,728.0,675.1,728.0,13308.0,9683224.0,661.9,66.1
2021-09-15,16027.0,787.8,690.0,699.0,240404.0,170207110.1,728.0,-29.0
2021-09-16,4855.0,700.0,662.0,675.0,51516.0,34762496.0,699.0,-24.0
2021-09-20,3032.0,701.7,616.0,618.0,47368.0,30025350.5,675.0,-57.0
2021-09-21,2195.0,630.0,580.0,618.0,39957.0,24309538.0,618.0,0.0
2021-09-22,1620.0,645.0,608.0,630.0,27893.0,17446654.7,618.0,12.0
2021-09-23,1813.0,642.0,610.0,612.0,29409.0,18231243.0,630.0,-18.0
2021-09-26,1466.0,615.0,590.0,592.0,21174.0,12569677.7,612.0,-20.0
2021-09-27,1565.0,600.0,563.5,564.0,22185.0,12682941.0,592.0,-28.0
2021-09-28,1413.0,564.0,534.0,535.0,22765.0,12389938.5,564.0,-29.0
2021-09-29,1137.0,552.0,522.0,548.0,14159.0,7573694.5,535.0,13.0
2021-09-30,956.0,555.0,535.0,535.0,16819.0,9114803.0,548.0,-13.0
2021-10-03,1068.0,533.0,515.0,515.0,13889.0,7213754.5,535.0,-20.0
2021-10-04,943.0,522.0,498.0,507.0,11806.0,6013918.0,515.0,-8.0
2021-10-05,663.0,525.0,500.0,507.0,10969.0,5625642.7,507.0,0.0
2021-10-06,635.0,529.9,498.0,519.0,10042.0,5163784.5,507.0,12.0
2021-10-10,544.0,530.0,510.0,513.0,14570.0,7594265.1,519.0,-6.0
2021-10-11,637.0,555.0,510.0,553.4,13470.0,7235391.4,513.0,40.4
2021-10-17,436.0,550.0,536.0,548.0,5022.0,2724310.0,553.4,-5.4
2021-10-18,524.0,550.0,530.0,537.0,8684.0,4650993.5,548.0,-11.0
2021-10-19,632.0,526.3,510.0,516.0,11334.0,5840882.5,537.0,-21.0
2021-10-20,456.0,538.5,510.0,520.0,12141.0,6311282.0,516.0,4.0
2021-10-21,452.0,530.1,511.0,514.0,10829.0,5584919.0,520.0,-6.0
2021-10-24,805.0,515.0,510.0,510.0,10055.0,5144677.5,514.0,-4.0
2021-10-25,706.0,528.0,510.0,528.0,11378.0,5941013.2,510.0,18.0
2021-10-26,763.0,554.8,528.0,551.0,14381.0,7820721.0,528.0,23.0
2021-10-27,994.0,602.0,540.0,570.0,24056.0,13576476.0,551.0,19.0
2021-10-28,813.0,570.0,550.0,559.0,14170.0,7941178.0,570.0,-11.0
2021-10-31,984.0,575.5,554.0,575.0,14710.0,8283459.0,559.0,16.0
2021-11-01,595.0,584.0,562.0,568.0,11316.0,6466918.0,575.0,-7.0
2021-11-02,577.0,579.0,557.0,571.0,13358.0,7580482.2,568.0,3.0
2021-11-03,586.0,585.0,570.0,575.0,14706.0,8493646.5,571.0,4.0
2021-11-08,641.0,576.0,566.0,570.0,11528.0,6564844.0,575.0,-5.0
2021-11-09,873.0,565.0,537.1,543.1,17574.0,9658255.9,570.0,-26.9
2021-11-11,849.0,543.0,520.1,529.5,10660.0,5619624.0,543.1,-13.6
2021-11-14,988.0,530.0,512.0,522.0,14682.0,7635208.9,529.5,-7.5
2021-11-15,989.0,530.0,511.7,528.0,16665.0,8742282.5,522.0,6.0
2021-11-16,1309.0,560.0,522.1,555.0,25677.0,14046768.0,528.0,27.0
2021-11-17,1058.0,565.0,545.0,546.1,18903.0,10468773.0,555.0,-8.9
2021-11-18,891.0,555.0,534.9,543.0,15448.0,8330200.1,546.1,-3.1
2021-11-21,960.0,538.0,527.0,528.1,12375.0,6571597.0,543.0,-14.9
2021-11-22,1092.0,535.0,520.0,529.0,13136.0,6941127.6,528.1,0.9
2021-11-23,871.0,529.0,518.2,520.0,11153.0,5816655.0,529.0,-9.0
2021-11-24,844.0,523.0,506.2,520.0,15039.0,7766996.9,520.0,0.0
2021-11-25,622.0,520.0,510.0,519.0,9434.0,4872292.0,520.0,-1.0
2021-11-28,741.0,520.0,495.0,507.0,16345.0,8237416.0,519.0,-12.0
2021-11-29,599.0,510.0,497.0,500.0,12780.0,6413871.0,507.0,-7.0
2021-11-30,554.0,505.0,490.2,500.1,8776.0,4377601.0,500.0,0.1
2021-12-01,496.0,510.0,498.0,503.0,6502.0,3259279.0,500.1,2.9
2021-12-02,424.0,510.0,495.0,495.1,7894.0,3928085.5,503.0,-7.9
2021-12-05,533.0,500.0,472.0,475.0,13407.0,6435181.0,495.1,-20.1
2021-12-06,548.0,481.0,460.0,478.0,12284.0,5757192.5,475.0,3.0
2021-12-07,429.0,494.0,470.0,480.0,10016.0,4850337.4,478.0,2.0
2021-12-08,312.0,485.0,468.0,471.0,5877.0,2778124.3,480.0,-9.0
2021-12-09,367.0,470.0,457.0,464.9,7180.0,3311904.0,471.0,-6.1
2021-12-12,429.0,467.0,441.0,441.0,9765.0,4387903.0,464.9,-23.9
2021-12-13,392.0,434.5,424.4,428.0,10004.0,4308069.0,441.0,-13.0
2021-12-14,177.0,453.9,430.0,453.0,4255.0,1896407.0,428.0,25.0
2021-12-15,445.0,480.0,448.1,448.5,13047.0,6003567.5,453.0,-4.5
2021-12-16,292.0,442.0,433.0,441.0,7646.0,3358501.4,448.5,-7.5
2021-12-20,318.0,441.0,430.7,435.0,6260.0,2718942.3,441.0,-6.0
2021-12-21,360.0,444.0,427.0,443.0,7755.0,3406484.0,435.0,8.0
2021-12-22,407.0,468.0,441.0,465.0,14021.0,6441155.8,443.0,22.0
2021-12-23,600.0,493.0,456.1,487.0,18998.0,9121089.5,465.0,22.0
2021-12-26,1233.0,535.7,484.0,535.7,53959.0,28166311.8,487.0,48.7
2021-12-27,1294.0,575.0,516.1,518.1,57000.0,31293124.3,535.7,-17.6
2021-12-28,521.0,518.5,500.0,513.0,11579.0,5929142.0,518.1,-5.1
2021-12-29,460.0,520.0,506.0,515.0,9993.0,5137808.3,513.0,2.0
2022-01-02,862.0,528.3,504.7,525.0,16952.0,8798683.0,515.0,10.0
2022-01-03,721.0,540.0,515.0,529.0,19641.0,10395879.5,525.0,4.0
2022-01-04,729.0,539.0,519.0,531.1,15704.0,8338253.2,529.0,2.1
2022-01-05,610.0,537.9,525.1,528.0,17620.0,9334137.7,531.1,-3.1
2022-01-06,636.0,530.0,516.2,528.0,18240.0,9548304.5,528.0,0.0
2022-01-09,984.0,541.4,525.0,540.0,29322.0,15715559.4,528.0,12.0
2022-01-10,729.0,549.9,532.0,541.0,20822.0,11248713.8,540.0,1.0
2022-01-11,1265.0,581.0,535.0,569.0,71630.0,40736534.7,541.0,28.0
2022-01-12,774.0,572.0,550.1,557.0,26093.0,14629579.7,569.0,-12.0
2022-01-13,920.0,568.0,550.0,566.0,26846.0,15053533.0,557.0,9.0
2022-01-16,927.0,587.0,565.0,572.3,33327.0,19209957.3,566.0,6.3
2022-01-17,958.0,575.0,563.0,568.1,22447.0,12778465.4,572.3,-4.2
2022-01-18,1241.0,575.0,550.0,555.0,30639.0,17049119.5,568.1,-13.1
