Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-12,1.0,140.0,140.0,140.0,30.0,4200.0,140.0,0.0
2012-06-14,4.0,140.0,140.0,140.0,120.0,16800.0,140.0,0.0
2012-07-18,9.0,135.0,133.0,133.0,290.0,38870.0,140.0,-7.0
2012-08-07,43.0,131.0,120.0,120.0,2540.0,305800.0,133.0,-13.0
2012-08-08,38.0,118.0,115.0,116.0,1360.0,158390.0,120.0,-4.0
2012-08-12,56.0,118.0,112.0,115.0,2810.0,323800.0,116.0,-1.0
2012-08-13,7.0,115.0,114.0,115.0,340.0,38970.0,115.0,0.0
2012-08-14,29.0,116.0,115.0,115.0,2170.0,250410.0,115.0,0.0
2012-08-15,8.0,119.0,113.0,118.0,1300.0,149730.0,115.0,3.0
2012-08-16,31.0,120.0,115.0,120.0,1560.0,183940.0,118.0,2.0
2012-08-19,10.0,119.0,117.0,117.0,420.0,49460.0,120.0,-3.0
2012-08-21,12.0,116.0,113.0,116.0,400.0,46000.0,117.0,-1.0
2012-08-22,8.0,126.0,115.0,126.0,780.0,92230.0,116.0,10.0
2012-08-23,26.0,128.0,116.0,117.0,870.0,107930.0,126.0,-9.0
2012-08-26,10.0,120.0,115.0,120.0,600.0,71610.0,117.0,3.0
2012-08-27,13.0,121.0,118.0,119.0,390.0,46530.0,120.0,-1.0
2012-08-28,16.0,130.0,121.0,130.0,2170.0,274010.0,119.0,11.0
2012-08-29,28.0,140.0,130.0,140.0,1940.0,257370.0,130.0,10.0
2012-08-30,14.0,140.0,138.0,138.0,650.0,90390.0,140.0,-2.0
2012-09-02,29.0,137.0,133.0,133.0,2170.0,292500.0,138.0,-5.0
2012-09-03,46.0,137.0,133.0,135.0,2880.0,387580.0,133.0,2.0
2012-09-04,25.0,134.0,132.0,134.0,3100.0,410540.0,135.0,-1.0
2012-09-05,16.0,137.0,133.0,137.0,1410.0,190630.0,134.0,3.0
2012-09-06,24.0,147.0,139.0,143.0,3210.0,462300.0,137.0,6.0
