Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2019-06-17,2.0,281.0,276.0,281.0,20.0,5570.0,0.0,281.0
2019-06-24,1.0,295.0,295.0,295.0,10.0,2950.0,281.0,14.0
2019-06-26,1.0,309.0,309.0,309.0,10.0,3090.0,295.0,14.0
2019-06-30,7.0,339.0,324.0,339.0,70.0,23460.0,309.0,30.0
2019-07-01,1.0,355.0,355.0,355.0,10.0,3550.0,339.0,16.0
2019-07-03,2.0,379.0,372.0,379.0,20.0,7510.0,355.0,24.0
2019-07-04,5.0,416.0,397.0,416.0,50.0,20450.0,379.0,37.0
2019-07-07,324.0,457.0,436.0,457.0,4077.0,1847973.0,416.0,41.0
2019-07-08,676.0,490.0,450.0,465.0,9483.0,4508220.0,457.0,8.0
2019-07-09,278.0,479.0,461.0,478.0,3110.0,1462510.0,465.0,13.0
2019-07-10,114.0,475.0,464.0,465.0,1230.0,575690.0,478.0,-13.0
2019-07-11,156.0,469.0,459.0,466.0,1800.0,839360.0,465.0,1.0
2019-07-14,92.0,470.0,462.0,465.0,1400.0,651340.0,466.0,-1.0
2019-07-15,80.0,475.0,465.0,472.0,850.0,400070.0,465.0,7.0
2019-07-16,28.0,480.0,465.0,471.0,550.0,258580.0,472.0,-1.0
2019-07-17,55.0,479.0,464.0,475.0,770.0,364360.0,471.0,4.0
2019-07-18,30.0,484.0,473.0,473.0,360.0,171140.0,475.0,-2.0
2019-07-21,72.0,499.0,465.0,499.0,1668.0,803538.0,473.0,26.0
2019-07-22,45.0,520.0,484.0,493.0,895.0,440810.0,499.0,-6.0
2019-07-23,67.0,517.0,481.0,494.0,1340.0,654710.0,493.0,1.0
2019-07-24,76.0,519.0,487.0,519.0,3478.0,1764600.0,494.0,25.0
2019-07-25,87.0,531.0,494.0,516.0,8690.0,4497410.0,519.0,-3.0
2019-07-28,58.0,523.0,497.0,503.0,1200.0,607850.0,516.0,-13.0
2019-07-29,96.0,550.0,510.0,550.0,2730.0,1454200.0,503.0,47.0
2019-07-30,86.0,597.0,544.0,597.0,2292.0,1290213.0,550.0,47.0
2019-07-31,108.0,656.0,590.0,656.0,3250.0,2059485.0,597.0,59.0
2019-08-01,110.0,721.0,664.0,721.0,3670.0,2618540.0,656.0,65.0
2019-08-04,58.0,793.0,756.0,793.0,1770.0,1369470.0,721.0,72.0
2019-08-05,344.0,872.0,780.0,825.0,10582.0,8880384.0,793.0,32.0
2019-08-06,161.0,815.0,743.0,749.0,3869.0,2958205.0,825.0,-76.0
2019-08-07,110.0,810.0,690.0,805.0,2070.0,1585625.0,749.0,56.0
2019-08-08,48.0,793.0,750.0,793.0,530.0,408670.0,805.0,-12.0
2019-08-11,154.0,872.0,808.0,837.0,3870.0,3241805.0,793.0,44.0
2019-08-12,83.0,848.0,817.0,829.0,1060.0,876010.0,837.0,-8.0
2019-08-13,48.0,844.0,814.0,824.0,825.0,680625.0,829.0,-5.0
2019-08-14,54.0,824.0,808.0,824.0,1060.0,866340.0,824.0,0.0
2019-08-15,26.0,829.0,809.0,829.0,510.0,417910.0,824.0,5.0
2019-08-18,52.0,830.0,801.0,825.0,1400.0,1139030.0,829.0,-4.0
2019-08-19,50.0,847.0,810.0,834.0,940.0,775110.0,825.0,9.0
2019-08-20,47.0,835.0,818.0,835.0,470.0,386290.0,834.0,1.0
2019-08-21,35.0,820.0,806.0,811.0,670.0,544470.0,835.0,-24.0
2019-08-22,33.0,820.0,804.0,811.0,360.0,291900.0,811.0,0.0
2019-08-25,34.0,820.0,793.0,820.0,840.0,672540.0,811.0,9.0
2019-08-26,30.0,820.0,800.0,812.0,1340.0,1079760.0,820.0,-8.0
2019-08-27,35.0,821.0,800.0,818.0,510.0,414410.0,812.0,6.0
2019-08-28,20.0,818.0,800.0,814.0,790.0,634200.0,818.0,-4.0
2019-08-29,9.0,817.0,802.0,817.0,90.0,72720.0,814.0,3.0
2019-09-01,19.0,812.0,802.0,812.0,210.0,168760.0,817.0,-5.0
2019-09-02,36.0,808.0,797.0,808.0,1190.0,952310.0,812.0,-4.0
2019-09-03,25.0,840.0,792.0,840.0,451.0,363906.0,808.0,32.0
2019-09-04,20.0,833.0,801.0,813.0,370.0,299120.0,840.0,-27.0
2019-09-05,32.0,815.0,800.0,815.0,580.0,470450.0,813.0,2.0
2019-09-08,17.0,810.0,800.0,809.0,170.0,136930.0,815.0,-6.0
2019-09-09,23.0,805.0,794.0,805.0,320.0,255440.0,809.0,-4.0
2019-09-10,21.0,812.0,792.0,810.0,320.0,256620.0,805.0,5.0
2019-09-11,14.0,810.0,798.0,805.0,190.0,152200.0,810.0,-5.0
2019-09-12,9.0,800.0,791.0,798.0,249.0,197338.0,805.0,-7.0
2019-09-15,26.0,813.0,785.0,800.0,690.0,547130.0,798.0,2.0
2019-09-16,19.0,805.0,786.0,805.0,210.0,166540.0,800.0,5.0
2019-09-17,16.0,825.0,795.0,807.0,170.0,138660.0,805.0,2.0
2019-09-18,32.0,823.0,800.0,821.0,440.0,357540.0,807.0,14.0
2019-09-19,17.0,820.0,795.0,796.0,170.0,136630.0,821.0,-25.0
2019-09-22,8.0,790.0,771.0,790.0,80.0,62360.0,796.0,-6.0
2019-09-23,12.0,796.0,776.0,796.0,120.0,94060.0,790.0,6.0
2019-09-24,21.0,800.0,780.0,800.0,240.0,189220.0,796.0,4.0
2019-09-25,12.0,798.0,775.0,798.0,140.0,109930.0,800.0,-2.0
2019-09-26,17.0,801.0,786.0,795.0,340.0,267480.0,798.0,-3.0
2019-09-29,10.0,810.0,785.0,800.0,180.0,143110.0,795.0,5.0
2019-09-30,7.0,790.0,775.0,785.0,90.0,70310.0,800.0,-15.0
2019-10-01,8.0,809.0,800.0,801.0,350.0,280210.0,785.0,16.0
2019-10-02,2.0,792.0,791.0,791.0,20.0,15830.0,801.0,-10.0
2019-10-03,5.0,806.0,800.0,801.0,141.0,113410.0,791.0,10.0
2019-10-14,6.0,786.0,778.0,781.0,530.0,413508.0,801.0,-20.0
2019-10-15,7.0,780.0,770.0,780.0,70.0,54160.0,781.0,-1.0
2019-10-17,13.0,786.0,771.0,777.0,800.0,624860.0,780.0,-3.0
2019-10-20,5.0,777.0,770.0,775.0,50.0,38620.0,777.0,-2.0
2019-10-21,12.0,780.0,776.0,780.0,149.0,115990.0,775.0,5.0
2019-10-22,9.0,775.0,766.0,771.0,90.0,69380.0,780.0,-9.0
2019-10-23,3.0,764.0,760.0,760.0,30.0,22870.0,771.0,-11.0
2019-10-24,10.0,775.0,760.0,774.0,100.0,76960.0,760.0,14.0
2019-10-31,6.0,780.0,771.0,772.0,60.0,46420.0,774.0,-2.0
2019-11-03,6.0,768.0,764.0,768.0,60.0,46000.0,772.0,-4.0
2019-11-04,11.0,795.0,782.0,795.0,110.0,86870.0,768.0,27.0
2019-11-05,14.0,783.0,775.0,775.0,140.0,109410.0,795.0,-20.0
2019-11-06,6.0,778.0,770.0,778.0,100.0,77200.0,775.0,3.0
2019-11-07,17.0,790.0,771.0,780.0,170.0,133140.0,778.0,2.0
2019-11-10,18.0,785.0,774.0,775.0,843.0,659165.0,780.0,-5.0
2019-11-11,11.0,821.0,770.0,821.0,373.0,293490.0,775.0,46.0
2019-11-12,9.0,821.0,770.0,780.0,90.0,71920.0,821.0,-41.0
2019-11-13,8.0,782.0,767.0,780.0,120.0,93350.0,780.0,0.0
2019-11-14,22.0,800.0,770.0,785.0,710.0,556820.0,780.0,5.0
2019-11-17,12.0,796.0,780.0,796.0,140.0,110310.0,785.0,11.0
2019-11-18,13.0,811.0,785.0,800.0,689.0,552615.0,796.0,4.0
2019-11-19,26.0,816.0,789.0,793.0,270.0,216180.0,800.0,-7.0
2019-11-20,15.0,805.0,793.0,795.0,490.0,390250.0,793.0,2.0
2019-11-21,10.0,787.0,780.0,780.0,160.0,125750.0,795.0,-15.0
2019-11-24,7.0,783.0,768.0,783.0,240.0,184750.0,780.0,3.0
2019-11-25,16.0,800.0,774.0,800.0,170.0,132610.0,783.0,17.0
2019-11-26,5.0,790.0,775.0,785.0,70.0,54800.0,800.0,-15.0
2019-11-27,13.0,800.0,772.0,800.0,150.0,117710.0,785.0,15.0
2019-11-28,26.0,816.0,800.0,814.0,840.0,682030.0,800.0,14.0
2019-12-01,16.0,798.0,753.0,771.0,380.0,290170.0,814.0,-43.0
2019-12-02,11.0,800.0,770.0,784.0,220.0,171940.0,771.0,13.0
2019-12-03,16.0,795.0,771.0,789.0,160.0,125310.0,784.0,5.0
2019-12-04,14.0,812.0,784.0,810.0,770.0,617380.0,789.0,21.0
2019-12-05,19.0,829.0,809.0,824.0,1590.0,1304490.0,810.0,14.0
2019-12-08,17.0,840.0,822.0,839.0,510.0,421110.0,824.0,15.0
2019-12-09,25.0,916.0,848.0,885.0,630.0,549332.0,839.0,46.0
2019-12-10,22.0,920.0,851.0,920.0,1053.0,920806.0,885.0,35.0
2019-12-11,25.0,948.0,880.0,930.0,836.0,762430.0,920.0,10.0
2019-12-12,33.0,939.0,907.0,939.0,1407.0,1284125.0,930.0,9.0
2019-12-15,25.0,923.0,890.0,918.0,999.0,903160.0,939.0,-21.0
2019-12-16,30.0,928.0,893.0,909.0,2238.0,2010684.0,918.0,-9.0
2019-12-17,35.0,963.0,891.0,943.0,810.0,757000.0,909.0,34.0
2019-12-18,26.0,940.0,892.0,940.0,1230.0,1103340.0,943.0,-3.0
2019-12-19,30.0,922.0,870.0,913.0,1491.0,1311483.0,940.0,-27.0
2019-12-22,13.0,907.0,890.0,903.0,190.0,171210.0,913.0,-10.0
2019-12-23,12.0,914.0,885.0,907.0,460.0,413080.0,903.0,4.0
2019-12-24,11.0,925.0,872.0,897.0,130.0,116430.0,907.0,-10.0
2019-12-25,25.0,902.0,876.0,880.0,600.0,530580.0,897.0,-17.0
2019-12-26,9.0,897.0,878.0,895.0,220.0,194350.0,880.0,15.0
2019-12-29,19.0,912.0,881.0,894.0,510.0,453040.0,895.0,-1.0
2019-12-30,26.0,900.0,877.0,888.0,1000.0,883105.0,894.0,-6.0
2019-12-31,22.0,918.0,875.0,875.0,2170.0,1913970.0,888.0,-13.0
2020-01-01,17.0,893.0,877.0,877.0,650.0,578040.0,875.0,2.0
2020-01-02,128.0,936.0,885.0,933.0,5842.0,5325726.0,877.0,56.0
2020-01-05,60.0,992.0,925.0,992.0,2910.0,2782110.0,933.0,59.0
2020-01-06,44.0,992.0,961.0,980.0,2049.0,1992888.0,992.0,-12.0
2020-01-07,52.0,1002.0,980.0,992.0,1665.0,1656795.0,980.0,12.0
2020-01-08,84.0,1072.0,985.0,1070.0,3610.0,3742640.0,992.0,78.0
2020-01-09,211.0,1177.0,1080.0,1177.0,7037.0,8119438.0,1070.0,107.0
2020-01-12,58.0,1044.0,968.0,1044.0,3006.0,3115948.0,949.19,94.81
2020-01-13,24.0,1083.0,1025.0,1025.0,1395.0,1452205.0,1044.0,-19.0
2020-01-14,20.0,1045.0,985.0,1024.0,490.0,493580.0,1025.0,-1.0
2020-01-15,23.0,1042.0,990.0,1042.0,1235.0,1240225.0,1024.0,18.0
2020-01-16,16.0,1090.0,1022.0,1090.0,257.0,268554.0,1042.0,48.0
2020-01-19,26.0,1090.0,1015.0,1017.0,970.0,1011390.0,1090.0,-73.0
2020-01-20,18.0,1016.0,970.0,970.0,600.0,593910.0,1017.0,-47.0
2020-01-21,41.0,980.0,932.0,964.0,1487.0,1403051.0,970.0,-6.0
2020-01-22,17.0,969.0,946.0,951.0,480.0,459090.0,964.0,-13.0
2020-01-23,24.0,989.0,952.0,952.0,540.0,523970.0,951.0,1.0
2020-01-26,29.0,960.0,910.0,913.0,1300.0,1215300.0,952.0,-39.0
2020-01-27,20.0,975.0,922.0,970.0,1445.0,1366462.0,913.0,57.0
2020-01-28,35.0,1018.0,956.0,1018.0,1560.0,1536380.0,970.0,48.0
2020-01-29,17.0,1030.0,980.0,990.0,551.0,557414.0,1018.0,-28.0
2020-01-30,26.0,1035.0,1000.0,1004.0,890.0,904270.0,990.0,14.0
2020-02-02,30.0,1019.0,991.0,1010.0,974.0,980091.0,1004.0,6.0
2020-02-03,26.0,1010.0,985.0,985.0,834.0,827880.0,1010.0,-25.0
2020-02-04,26.0,1025.0,1000.0,1006.0,660.0,671140.0,985.0,21.0
2020-02-05,17.0,1025.0,994.0,1023.0,400.0,407225.0,1006.0,17.0
2020-02-06,31.0,1044.0,1004.0,1005.0,867.0,880766.0,1023.0,-18.0
2020-02-09,16.0,1044.0,989.0,1044.0,610.0,607080.0,1005.0,39.0
2020-02-10,6.0,1064.0,1003.0,1003.0,170.0,174400.0,1044.0,-41.0
2020-02-11,22.0,1042.0,1010.0,1040.0,565.0,581000.0,1003.0,37.0
2020-02-12,26.0,1058.0,1025.0,1045.0,980.0,1026090.0,1040.0,5.0
2020-02-13,51.0,1111.0,1065.0,1076.0,2302.0,2512956.0,1045.0,31.0
2020-02-16,44.0,1147.0,1082.0,1140.0,1194.0,1321642.0,1076.0,64.0
2020-02-17,22.0,1186.0,1140.0,1166.0,584.0,679310.0,1140.0,26.0
2020-02-18,35.0,1173.0,1144.0,1144.0,960.0,1106619.0,1166.0,-22.0
2020-02-19,45.0,1200.0,1143.0,1178.0,1091.0,1286885.0,1144.0,34.0
2020-02-20,53.0,1295.0,1155.0,1295.0,1460.0,1852655.0,1178.0,117.0
2020-02-23,33.0,1351.0,1280.0,1331.0,794.0,1045218.0,1295.0,36.0
2020-02-24,43.0,1384.0,1280.0,1291.0,1463.0,1915823.0,1331.0,-40.0
2020-02-25,27.0,1341.0,1245.0,1341.0,772.0,1005950.0,1291.0,50.0
2020-02-26,45.0,1326.0,1280.0,1292.0,2215.0,2881725.0,1341.0,-49.0
2020-02-27,50.0,1326.0,1227.0,1326.0,1548.0,1958614.0,1292.0,34.0
2020-03-01,17.0,1300.0,1208.0,1208.0,260.0,325030.0,1326.0,-118.0
2020-03-02,13.0,1208.0,1135.0,1135.0,350.0,408170.0,1208.0,-73.0
2020-03-03,61.0,1132.0,1025.0,1069.0,1380.0,1514765.0,1135.0,-66.0
2020-03-04,53.0,1048.0,963.0,982.0,1320.0,1313460.0,1069.0,-87.0
2020-03-05,52.0,1060.0,963.0,1019.0,1900.0,1867340.0,982.0,37.0
2020-03-10,4.0,1039.0,999.0,1000.0,40.0,40570.0,1019.0,-19.0
2020-03-11,41.0,1100.0,962.0,1100.0,1120.0,1120590.0,1000.0,100.0
2020-03-12,99.0,1120.0,990.0,990.0,4060.0,4071225.0,1100.0,-110.0
2020-03-15,87.0,990.0,891.0,913.0,3600.0,3270525.0,990.0,-77.0
2020-03-16,26.0,937.0,895.0,936.0,755.0,685945.0,913.0,23.0
2020-03-17,76.0,940.0,843.0,843.0,4038.0,3455158.0,936.0,-93.0
2020-03-18,51.0,927.0,812.0,875.0,2030.0,1747065.0,843.0,32.0
2020-03-19,13.0,894.0,850.0,890.0,422.0,371168.0,875.0,15.0
2020-05-12,1.0,873.0,873.0,873.0,10.0,8730.0,890.0,-17.0
2020-06-29,3.0,856.0,839.0,840.0,40.0,33750.0,873.0,-33.0
2020-06-30,1.0,850.0,850.0,850.0,200.0,170000.0,840.0,10.0
2020-07-01,1.0,867.0,867.0,867.0,40.0,34680.0,850.0,17.0
2020-07-02,4.0,937.0,884.0,937.0,40.0,36410.0,867.0,70.0
2020-07-05,2.0,930.0,919.0,930.0,20.0,18490.0,937.0,-7.0
2020-07-06,16.0,912.0,894.0,898.0,200.0,181630.0,930.0,-32.0
2020-07-07,26.0,951.0,900.0,950.0,800.0,744190.0,898.0,52.0
2020-07-08,20.0,931.0,913.0,930.0,270.0,249220.0,950.0,-20.0
2020-07-09,16.0,945.0,912.0,932.0,460.0,427500.0,930.0,2.0
2020-07-12,26.0,970.0,925.0,970.0,700.0,663720.0,932.0,38.0
2020-07-13,17.0,970.0,951.0,970.0,545.0,523690.0,970.0,0.0
2020-07-14,23.0,1005.0,975.0,1005.0,740.0,737220.0,970.0,35.0
2020-07-15,19.0,1000.0,980.0,980.0,370.0,366470.0,1005.0,-25.0
2020-07-16,21.0,1000.0,961.0,967.0,625.0,607050.0,980.0,-13.0
2020-07-20,22.0,1005.0,948.0,950.0,520.0,500820.0,967.0,-17.0
2020-07-21,27.0,964.0,931.0,964.0,695.0,651220.0,950.0,14.0
2020-07-22,39.0,965.0,920.0,938.0,1464.0,1371086.0,964.0,-26.0
2020-07-23,40.0,956.0,908.0,945.0,660.0,619560.0,938.0,7.0
2020-07-26,35.0,968.0,945.0,968.0,540.0,514870.0,945.0,23.0
2020-07-27,28.0,982.0,958.0,972.0,720.0,699980.0,968.0,4.0
2020-07-28,36.0,975.0,955.0,960.0,445.0,428715.0,972.0,-12.0
2020-07-29,63.0,965.0,897.0,900.0,2153.0,1982205.0,960.0,-60.0
2020-07-30,36.0,925.0,900.0,925.0,590.0,536860.0,900.0,25.0
2020-08-02,24.0,925.0,883.0,918.0,390.0,348900.0,925.0,-7.0
2020-08-03,26.0,916.0,890.0,916.0,365.0,328575.0,918.0,-2.0
2020-08-05,24.0,933.0,870.0,933.0,300.0,266500.0,916.0,17.0
2020-08-06,31.0,915.0,871.0,880.0,1320.0,1170620.0,933.0,-53.0
2020-08-09,42.0,883.0,860.0,862.0,801.0,693725.0,880.0,-18.0
2020-08-10,33.0,926.0,867.0,908.0,375.0,337045.0,862.0,46.0
2020-08-11,14.0,920.0,894.0,900.0,250.0,225390.0,908.0,-8.0
2020-08-12,19.0,918.0,885.0,900.0,350.0,317190.0,900.0,0.0
2020-08-13,22.0,900.0,879.0,890.0,470.0,418950.0,900.0,-10.0
