Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-07-18,12.0,193.0,169.0,172.0,432.0,80604.0,0.0,172.0
2012-07-19,42.0,189.0,173.0,189.0,5047.0,902535.0,172.0,17.0
2012-07-22,24.0,195.0,189.0,190.0,1072.0,204703.0,189.0,1.0
2012-07-23,12.0,194.0,189.0,190.0,2684.0,511710.0,190.0,0.0
2012-07-24,37.0,192.0,180.0,192.0,2921.0,534391.0,190.0,2.0
2012-07-25,58.0,190.0,180.0,180.0,5792.0,1052695.0,192.0,-12.0
2012-07-26,30.0,183.0,180.0,180.0,1923.0,346170.0,180.0,0.0
2012-07-29,1.0,178.0,178.0,178.0,69.0,12282.0,180.0,-2.0
2012-07-30,10.0,180.0,169.0,180.0,1278.0,220054.0,178.0,2.0
2012-07-31,4.0,180.0,177.0,180.0,413.0,74232.0,180.0,0.0
2012-08-01,4.0,180.0,177.0,180.0,734.0,130796.0,180.0,0.0
2012-08-05,10.0,183.0,178.0,179.0,532.0,95646.0,180.0,-1.0
2012-08-06,2.0,179.0,176.0,176.0,400.0,71393.0,179.0,-3.0
2012-08-07,1.0,174.0,174.0,174.0,165.0,28710.0,176.0,-2.0
2012-08-08,1.0,177.0,177.0,177.0,165.0,29205.0,174.0,3.0
2012-08-12,3.0,174.0,168.0,168.0,50.0,8580.0,177.0,-9.0
2012-08-13,14.0,174.0,165.0,174.0,2104.0,349503.0,168.0,6.0
2012-08-14,5.0,171.0,170.0,171.0,96.0,16383.0,174.0,-3.0
2012-08-15,1.0,168.0,168.0,168.0,36.0,6048.0,171.0,-3.0
2012-08-16,1.0,168.0,168.0,168.0,69.0,11592.0,168.0,0.0
2012-08-19,1.0,171.0,171.0,171.0,36.0,6156.0,168.0,3.0
2012-08-21,6.0,174.0,171.0,172.0,754.0,129409.0,171.0,1.0
2012-08-23,19.0,175.0,172.0,175.0,866.0,151289.0,172.0,3.0
2012-08-26,8.0,173.0,171.0,173.0,1045.0,179741.0,175.0,-2.0
2012-08-27,15.0,180.0,174.0,177.0,2105.0,369120.0,173.0,4.0
2012-08-28,9.0,183.0,177.0,182.0,503.0,90674.0,177.0,5.0
2012-08-29,3.0,184.0,184.0,184.0,251.0,46184.0,182.0,2.0
2012-09-02,4.0,187.0,185.0,187.0,593.0,110360.0,184.0,3.0
2012-09-03,30.0,188.0,185.0,188.0,2308.0,429845.0,187.0,1.0
2012-09-04,2.0,185.0,182.0,182.0,76.0,14030.0,188.0,-6.0
2012-09-05,1.0,179.0,179.0,179.0,50.0,8950.0,182.0,-3.0
2012-09-06,6.0,185.0,182.0,185.0,176.0,32062.0,179.0,6.0
2012-09-12,2.0,182.0,179.0,179.0,20.0,3610.0,185.0,-6.0
2012-09-13,21.0,186.0,176.0,183.0,3260.0,591854.0,179.0,4.0
2012-09-16,2.0,180.0,177.0,177.0,330.0,58905.0,183.0,-6.0
2012-09-17,18.0,187.0,177.0,187.0,1873.0,335247.0,177.0,10.0
2012-09-18,9.0,205.0,190.0,205.0,1152.0,230381.0,187.0,18.0
2012-09-19,7.0,221.0,209.0,216.0,233.0,50552.0,205.0,11.0
2012-09-20,7.0,215.0,200.0,200.0,328.0,67141.0,216.0,-16.0
2012-09-23,2.0,198.0,197.0,198.0,390.0,76995.0,200.0,-2.0
2012-09-26,4.0,195.0,189.0,189.0,71.0,13590.0,198.0,-9.0
2012-09-30,2.0,187.0,187.0,187.0,40.0,7480.0,189.0,-2.0
2012-10-01,37.0,185.0,177.0,180.0,1847.0,336911.0,187.0,-7.0
2012-10-03,2.0,183.0,183.0,183.0,79.0,14457.0,180.0,3.0
2012-10-04,8.0,189.0,186.0,189.0,1085.0,201840.0,183.0,6.0
2012-10-07,9.0,193.0,190.0,192.0,2089.0,397362.0,189.0,3.0
2012-10-08,8.0,205.0,195.0,201.0,1421.0,283284.0,192.0,9.0
2012-10-09,6.0,208.0,204.0,204.0,429.0,87815.0,201.0,3.0
2012-10-10,2.0,204.0,200.0,204.0,2039.0,407932.0,204.0,0.0
2012-10-11,6.0,208.0,204.0,207.0,1979.0,404519.0,204.0,3.0
2012-10-14,3.0,208.0,208.0,208.0,377.0,78416.0,207.0,1.0
2012-10-15,8.0,216.0,210.0,210.0,327.0,69832.0,208.0,2.0
2012-10-17,1.0,212.0,212.0,212.0,225.0,47700.0,210.0,2.0
2012-10-18,3.0,212.0,209.0,209.0,557.0,116659.0,212.0,-3.0
2012-11-12,6.0,224.0,213.0,224.0,166.0,36320.0,209.0,15.0
2012-11-18,2.0,232.0,228.0,232.0,86.0,19752.0,224.0,8.0
2012-11-20,2.0,236.0,232.0,232.0,70.0,16280.0,232.0,0.0
2012-11-22,4.0,240.0,236.0,236.0,158.0,37528.0,232.0,4.0
