Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-11-25,9.0,320.5,296.3,320.5,57.0,17539.1,0.0,24.2
2021-11-28,13.0,346.8,326.9,346.8,71.0,23677.2,320.5,26.3
2021-11-29,8.0,381.4,346.8,381.4,67.0,24651.7,346.8,34.6
2021-11-30,15.0,419.5,389.0,419.5,70.0,28476.0,381.4,38.1
2021-12-01,17.0,461.4,427.8,461.4,160.0,72941.2,419.5,41.9
2021-12-02,70.0,507.5,470.6,507.5,700.0,354345.0,461.4,46.1
2021-12-05,1810.0,558.2,471.0,500.0,33698.0,17873241.7,507.5,-7.5
2021-12-06,782.0,510.0,455.0,500.0,10801.0,5089838.0,500.0,0.0
2021-12-07,297.0,519.0,471.6,475.0,6274.0,3065806.0,500.0,-25.0
2021-12-08,246.0,467.0,427.5,441.0,8150.0,3584326.0,475.0,-34.0
2021-12-09,223.0,440.0,418.5,425.0,5381.0,2286022.4,441.0,-16.0
2021-12-12,194.0,420.0,393.0,393.0,5492.0,2210806.0,425.0,-32.0
2021-12-13,116.0,386.0,354.0,367.0,2565.0,947056.0,393.0,-26.0
2021-12-14,87.0,403.7,369.0,403.7,2640.0,1036305.0,367.0,36.7
2021-12-15,244.0,444.0,406.8,444.0,9896.0,4164791.0,403.7,40.3
2021-12-16,150.0,478.0,413.0,433.2,4185.0,1838720.0,444.0,-10.8
2021-12-20,132.0,433.0,403.0,426.8,3300.0,1362389.0,433.2,-6.4
2021-12-21,101.0,434.0,416.0,425.0,2925.0,1231881.0,426.8,-1.8
2021-12-22,137.0,458.0,425.0,458.0,2975.0,1290767.0,425.0,33.0
2021-12-23,148.0,483.9,432.0,436.0,3053.0,1358852.0,458.0,-22.0
2021-12-26,167.0,469.2,425.0,469.2,7185.0,3143846.0,436.0,33.2
2021-12-27,202.0,500.0,437.0,497.0,6118.0,2754088.6,469.2,27.8
2021-12-28,100.0,488.0,452.0,467.0,1750.0,805222.0,497.0,-30.0
2021-12-29,138.0,457.7,442.0,457.0,2218.0,996022.8,467.0,-10.0
2022-01-02,175.0,456.0,436.1,450.0,5566.0,2475728.0,457.0,-7.0
2022-01-03,138.0,452.8,431.2,444.0,2658.0,1171428.0,450.0,-6.0
2022-01-04,156.0,450.0,438.1,440.0,2795.0,1238350.0,444.0,-4.0
2022-01-05,192.0,461.0,433.0,449.0,6134.0,2746149.0,440.0,9.0
2022-01-06,157.0,460.0,433.2,460.0,4320.0,1934114.0,449.0,11.0
2022-01-09,249.0,478.0,459.0,477.0,6378.0,2989245.5,460.0,17.0
2022-01-10,189.0,487.5,460.6,482.5,5537.0,2630780.0,477.0,5.5
2022-01-11,198.0,494.0,473.0,490.0,4209.0,2044088.0,482.5,7.5
2022-01-12,365.0,529.0,481.3,516.0,15164.0,7664193.0,490.0,26.0
2022-01-13,276.0,530.0,506.0,526.0,6682.0,3462993.0,516.0,10.0
2022-01-16,326.0,560.0,526.0,554.0,12203.0,6725697.5,526.0,28.0
2022-01-17,441.0,593.0,545.0,593.0,16925.0,9566105.5,554.0,39.0
2022-01-18,663.0,649.3,584.0,649.3,18009.0,10873677.8,593.0,56.3
2022-01-19,629.0,714.0,615.0,714.0,17399.0,11071333.5,649.3,64.7
2022-01-20,662.0,745.0,672.3,732.0,20034.0,14017860.0,714.0,18.0
2022-01-23,571.0,735.0,670.0,683.0,30393.0,20919563.1,732.0,-49.0
2022-01-24,384.0,669.4,625.0,636.0,14888.0,9651623.2,683.0,-47.0
2022-01-25,263.0,661.6,613.0,661.6,6585.0,4212254.0,636.0,25.6
2022-01-26,217.0,663.0,632.3,663.0,6553.0,4243178.2,661.6,1.4
2022-01-27,287.0,703.0,640.0,660.0,10443.0,6941802.8,663.0,-3.0
2022-01-30,338.0,694.0,661.0,693.0,8330.0,5616889.7,660.0,33.0
2022-01-31,184.0,690.0,670.0,679.0,3110.0,2111231.0,693.0,-14.0
2022-02-01,279.0,684.0,665.5,679.0,5765.0,3904036.5,679.0,0.0
2022-02-03,360.0,692.0,669.0,676.0,11682.0,7921640.0,679.0,-3.0
2022-02-06,228.0,682.0,655.1,678.9,5574.0,3717191.3,676.0,2.9
2022-02-07,231.0,689.9,652.2,670.0,5667.0,3790817.8,678.9,-8.9
2022-02-08,176.0,694.0,644.1,655.0,5065.0,3356765.0,670.0,-15.0
2022-02-09,120.0,655.0,631.0,637.1,2489.0,1592647.0,655.0,-17.9
2022-02-10,156.0,687.0,613.0,630.0,3603.0,2286474.1,637.1,-7.1
2022-02-13,107.0,618.0,586.1,586.1,3636.0,2169353.0,630.0,-43.9
2022-02-14,100.0,606.0,581.0,586.1,2282.0,1353585.8,586.1,0.0
2022-02-15,89.0,624.0,575.0,617.0,2043.0,1223550.0,586.1,30.9
2022-02-16,124.0,633.4,586.9,630.0,3125.0,1901853.0,617.0,13.0
2022-02-17,267.0,672.0,601.0,656.0,15457.0,9906199.0,630.0,26.0
2022-02-20,471.0,707.9,618.4,699.0,32617.0,22398382.5,656.0,43.0
2022-02-21,562.0,757.0,672.3,728.0,23773.0,17022644.8,699.0,29.0
2022-02-22,561.0,792.0,713.5,790.0,20831.0,15907197.6,728.0,62.0
2022-02-23,512.0,845.5,759.0,844.0,17548.0,14294637.8,790.0,54.0
2022-02-24,439.0,827.2,781.0,819.9,17692.0,14293150.8,844.0,-24.1
2022-02-27,295.0,819.7,783.0,790.0,20786.0,16597878.0,819.9,-29.9
2022-02-28,251.0,790.0,711.0,711.0,27251.0,19896541.6,790.0,-79.0
2022-03-02,205.0,725.0,656.0,670.0,11831.0,7950074.3,711.0,-41.0
2022-03-06,157.0,709.5,656.6,700.0,26762.0,18150112.5,670.0,30.0
2022-03-07,124.0,728.0,670.0,680.0,7425.0,5116953.0,700.0,-20.0
2022-03-09,131.0,693.6,667.0,669.0,9385.0,6345691.5,680.0,-11.0
2022-03-10,120.0,687.0,655.8,687.0,9419.0,6299550.0,669.0,18.0
2022-03-13,270.0,719.0,680.1,719.0,18353.0,12935018.5,687.0,32.0
