Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,49.0,168.0,154.0,158.0,5560.0,875386.0,171.0,-13.0
2012-06-04,64.0,161.0,149.0,149.0,4150.0,631700.0,158.0,-9.0
2012-06-05,49.0,150.0,139.0,142.0,4170.0,592506.0,149.0,-7.0
2012-06-06,28.0,140.0,135.0,138.0,2129.0,291414.0,142.0,-4.0
2012-06-07,33.0,145.0,136.0,137.0,3137.0,438899.0,138.0,-1.0
2012-06-10,11.0,137.0,135.0,136.0,928.0,126217.0,137.0,-1.0
2012-06-11,19.0,140.0,136.0,137.0,2180.0,300491.0,136.0,1.0
2012-06-12,16.0,141.0,137.0,140.0,744.0,104079.0,137.0,3.0
2012-06-13,70.0,140.0,136.0,140.0,4286.0,594909.0,140.0,0.0
2012-06-14,14.0,142.0,136.0,137.0,913.0,125105.0,140.0,-3.0
2012-06-17,42.0,143.0,134.0,138.0,2938.0,401967.0,137.0,1.0
2012-06-18,18.0,139.0,134.0,138.0,1148.0,157695.0,138.0,0.0
2012-06-19,7.0,138.0,134.0,138.0,1016.0,137702.0,138.0,0.0
2012-06-20,23.0,140.0,136.0,138.0,1950.0,268568.0,138.0,0.0
2012-06-21,18.0,141.0,138.0,140.0,823.0,115008.0,138.0,2.0
2012-06-25,27.0,147.0,138.0,147.0,1487.0,209727.0,140.0,7.0
2012-06-26,4.0,145.0,139.0,139.0,222.0,31476.0,147.0,-8.0
2012-06-27,31.0,144.0,137.0,144.0,2765.0,387902.0,139.0,5.0
2012-06-28,14.0,148.0,140.0,142.0,986.0,142338.0,144.0,-2.0
2012-07-01,19.0,144.0,140.0,142.0,1679.0,236663.0,142.0,0.0
2012-07-02,19.0,143.0,139.0,143.0,2215.0,311712.0,142.0,1.0
2012-07-03,12.0,144.0,140.0,143.0,920.0,130154.0,143.0,0.0
2012-07-04,12.0,145.0,143.0,145.0,1688.0,243203.0,143.0,2.0
2012-07-05,12.0,146.0,145.0,145.0,863.0,125732.0,145.0,0.0
2012-07-08,16.0,146.0,143.0,145.0,1386.0,200260.0,145.0,0.0
2012-07-09,17.0,148.0,144.0,146.0,2305.0,336365.0,145.0,1.0
2012-07-10,32.0,148.0,144.0,147.0,2969.0,431986.0,146.0,1.0
2012-07-11,14.0,150.0,145.0,146.0,954.0,139864.0,147.0,-1.0
2012-07-12,26.0,146.0,142.0,143.0,1901.0,274937.0,146.0,-3.0
2012-07-15,4.0,146.0,145.0,145.0,217.0,31529.0,143.0,2.0
2012-07-16,18.0,149.0,145.0,146.0,1068.0,156144.0,145.0,1.0
2012-07-17,28.0,149.0,144.0,149.0,2199.0,319507.0,146.0,3.0
2012-07-18,15.0,149.0,145.0,149.0,4353.0,634668.0,149.0,0.0
2012-07-19,28.0,157.0,147.0,153.0,2283.0,347076.0,149.0,4.0
2012-07-22,31.0,164.0,151.0,157.0,2081.0,324911.0,153.0,4.0
2012-07-23,34.0,165.0,158.0,162.0,3709.0,598150.0,157.0,5.0
2012-07-24,24.0,164.0,151.0,158.0,2178.0,343448.0,162.0,-4.0
2012-07-25,22.0,162.0,155.0,157.0,2035.0,319844.0,158.0,-1.0
2012-07-26,19.0,158.0,150.0,152.0,1758.0,267796.0,157.0,-5.0
2012-07-29,22.0,153.0,148.0,151.0,2003.0,301146.0,152.0,-1.0
2012-07-30,48.0,155.0,149.0,151.0,4194.0,639200.0,151.0,0.0
2012-07-31,30.0,154.0,151.0,153.0,2779.0,424024.0,151.0,2.0
2012-08-01,14.0,152.0,148.0,149.0,2072.0,311763.0,153.0,-4.0
2012-08-05,16.0,152.0,147.0,150.0,1521.0,228239.0,149.0,1.0
2012-08-06,15.0,154.0,149.0,154.0,2166.0,328173.0,150.0,4.0
2012-08-07,34.0,157.0,149.0,153.0,4520.0,691094.0,154.0,-1.0
2012-08-08,34.0,154.0,150.0,152.0,3571.0,544631.0,153.0,-1.0
2012-08-12,40.0,153.0,149.0,151.0,4759.0,714389.0,152.0,-1.0
2012-08-13,24.0,150.0,148.0,149.0,1827.0,271814.0,151.0,-2.0
2012-08-14,51.0,155.0,144.0,144.0,3366.0,502250.0,149.0,-5.0
2012-08-15,9.0,143.0,140.0,141.0,1150.0,163129.0,144.0,-3.0
2012-08-16,22.0,148.0,140.0,148.0,1407.0,200632.0,141.0,7.0
2012-08-19,7.0,150.0,145.0,145.0,768.0,113785.0,148.0,-3.0
2012-08-21,27.0,144.0,141.0,144.0,2490.0,357145.0,145.0,-1.0
