Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2020-12-29,1.0,1000.0,1000.0,1000.0,10.0,10000.0,0.0,1000.0
2020-12-30,8.0,1060.0,1020.0,1060.0,300.0,313400.0,1000.0,60.0
2020-12-31,3.0,1080.0,1059.0,1059.0,68.0,72390.0,1060.0,-1.0
2021-01-03,5.0,1050.0,1050.0,1050.0,200.0,210000.0,1059.0,-9.0
2021-01-04,2.0,1050.0,1050.0,1050.0,50.0,52500.0,1050.0,0.0
2021-01-05,3.0,1056.0,1050.0,1056.0,100.0,105300.0,1050.0,6.0
2021-01-06,2.0,1061.0,1061.0,1061.0,75.0,79575.0,1056.0,5.0
2021-01-12,1.0,1065.0,1065.0,1065.0,25.0,26625.0,1061.0,4.0
2021-01-13,1.0,1044.0,1044.0,1044.0,12.0,12528.0,1065.0,-21.0
2021-01-17,2.0,1025.0,1025.0,1025.0,63.0,64575.0,1044.0,-19.0
2021-01-24,2.0,1020.0,1020.0,1020.0,50.0,51000.0,1025.0,-5.0
2021-01-25,2.0,1006.0,1005.0,1005.0,215.0,216175.0,1020.0,-15.0
2021-01-27,1.0,1005.0,1005.0,1005.0,25.0,25125.0,1005.0,0.0
2021-01-28,1.0,1005.0,1005.0,1005.0,25.0,25125.0,1005.0,0.0
2021-02-03,1.0,1015.0,1015.0,1015.0,25.0,25375.0,1005.0,10.0
2021-02-08,1.0,1015.0,1015.0,1015.0,25.0,25375.0,1015.0,0.0
2021-02-09,2.0,1031.0,1011.0,1031.0,50.0,51050.0,1015.0,16.0
2021-02-10,4.0,1021.0,1016.0,1020.0,125.0,127425.0,1031.0,-11.0
2021-02-11,1.0,1025.0,1025.0,1025.0,25.0,25625.0,1020.0,5.0
2021-02-22,1.0,1045.0,1045.0,1045.0,200.0,209000.0,1025.0,20.0
2021-02-28,1.0,1050.0,1050.0,1050.0,25.0,26250.0,1045.0,5.0
2021-03-02,1.0,1040.0,1040.0,1040.0,100.0,104000.0,1050.0,-10.0
2021-03-03,2.0,1026.0,1020.0,1026.0,75.0,76650.0,1040.0,-14.0
2021-03-04,2.0,1035.0,1035.0,1035.0,500.0,517500.0,1026.0,9.0
2021-03-07,3.0,1025.0,1025.0,1025.0,100.0,102500.0,1035.0,-10.0
2021-03-14,1.0,1045.0,1045.0,1045.0,75.0,78375.0,1025.0,20.0
2021-03-16,1.0,1050.0,1050.0,1050.0,200.0,210000.0,1045.0,5.0
2021-03-17,3.0,1055.0,1046.0,1046.0,75.0,78775.0,1050.0,-4.0
2021-03-18,1.0,1045.0,1045.0,1045.0,25.0,26125.0,1046.0,-1.0
2021-04-01,1.0,1025.0,1025.0,1025.0,25.0,25625.0,1045.0,-20.0
2021-04-05,3.0,1040.0,1026.0,1040.0,525.0,545650.0,1025.0,15.0
2021-04-13,1.0,1050.0,1050.0,1050.0,100.0,105000.0,1040.0,10.0
2021-04-20,1.0,1050.0,1050.0,1050.0,25.0,26250.0,1050.0,0.0
2021-04-29,1.0,1035.0,1035.0,1035.0,10.0,10350.0,1050.0,-15.0
2021-05-10,1.0,1045.0,1045.0,1045.0,25.0,26125.0,1035.0,10.0
2021-05-11,2.0,1045.0,1025.0,1045.0,50.0,51750.0,1045.0,0.0
2021-05-16,2.0,1045.0,1045.0,1045.0,50.0,52250.0,1045.0,0.0
2021-05-17,1.0,1030.0,1030.0,1030.0,25.0,25750.0,1045.0,-15.0
2021-05-18,1.0,1035.0,1035.0,1035.0,25.0,25875.0,1030.0,5.0
2021-05-24,2.0,1045.0,1045.0,1045.0,50.0,52250.0,1035.0,10.0
2021-05-25,4.0,1060.0,1040.0,1060.0,70.0,73700.0,1045.0,15.0
2021-05-30,3.0,1055.0,1050.0,1055.0,92.0,96975.0,1060.0,-5.0
2021-06-02,1.0,1055.0,1055.0,1040.0,200.0,208000.0,1055.0,-15.0
2021-06-03,1.0,1045.0,1045.0,1045.0,50.0,52250.0,1040.0,5.0
2021-06-07,1.0,1050.0,1050.0,1050.0,25.0,26250.0,1045.0,5.0
2021-06-09,1.0,1047.0,1047.0,1047.0,50.0,52350.0,1050.0,-3.0
2021-06-10,2.0,1060.0,1060.0,1060.0,50.0,53000.0,1047.0,13.0
2021-06-13,2.0,1065.0,1065.0,1065.0,100.0,106500.0,1060.0,5.0
2021-06-15,2.0,1086.0,1086.0,1086.0,1250.0,1357500.0,1065.0,21.0
2021-06-21,1.0,1080.0,1080.0,1080.0,25.0,27000.0,1086.0,-6.0
2021-06-24,3.0,1059.0,1047.0,1047.0,50.0,52650.0,1080.0,-33.0
2021-06-27,4.0,1045.0,1041.0,1045.0,300.0,313100.0,1047.0,-2.0
2021-06-28,17.0,1051.0,1040.0,1051.0,1725.0,1808575.0,1045.0,6.0
2021-06-30,1.0,1043.0,1043.0,1043.0,25.0,26075.0,1051.0,-8.0
2021-07-01,1.0,1045.0,1045.0,1045.0,50.0,52250.0,1043.0,2.0
2021-07-04,1.0,1065.0,1065.0,1065.0,25.0,26625.0,1045.0,20.0
2021-07-12,1.0,1047.0,1047.0,1047.0,10.0,10470.0,1065.0,-18.0
2021-07-15,3.0,1067.0,1048.0,1048.0,150.0,159100.0,1047.0,1.0
2021-07-18,1.0,1028.0,1028.0,1028.0,50.0,51400.0,1048.0,-20.0
2021-08-01,2.0,1030.0,1025.0,1025.0,75.0,77000.0,1028.0,-3.0
2021-08-02,1.0,1021.2,1021.2,1021.2,25.0,25530.0,1025.0,-3.8
2021-08-03,2.0,1035.0,1030.0,1035.0,75.0,77375.0,1021.2,13.8
2021-08-04,1.0,1025.0,1025.0,1025.0,100.0,102500.0,1035.0,-10.0
2021-08-05,1.0,1006.0,1006.0,1006.0,25.0,25150.0,1025.0,-19.0
2021-08-08,2.0,1040.0,1020.0,1040.0,125.0,129500.0,1006.0,34.0
2021-08-09,1.0,1040.0,1040.0,1040.0,175.0,182000.0,1040.0,0.0
2021-08-10,1.0,1040.1,1040.1,1040.1,25.0,26002.5,1040.0,0.1
2021-08-11,2.0,1040.1,1040.1,1040.1,50.0,52005.0,1040.1,0.0
2021-08-12,1.0,1040.0,1040.0,1040.0,25.0,26000.0,1040.1,-0.1
2021-08-16,2.0,1055.0,1046.0,1046.0,500.0,527275.0,1040.0,6.0
2021-08-18,1.0,1050.0,1050.0,1050.0,25.0,26250.0,1046.0,4.0
2021-08-25,1.0,1040.0,1040.0,1040.0,25.0,26000.0,1050.0,-10.0
2021-08-26,1.0,1030.0,1030.0,1030.0,25.0,25750.0,1040.0,-10.0
2021-09-02,2.0,1016.1,1016.0,1016.0,825.0,838220.0,1030.0,-14.0
2021-09-07,1.0,1019.0,1019.0,1019.0,100.0,101900.0,1016.0,3.0
2021-09-08,1.0,1019.0,1019.0,1019.0,25.0,25475.0,1019.0,0.0
2021-09-09,1.0,1016.0,1016.0,1016.0,50.0,50800.0,1019.0,-3.0
2021-09-13,1.0,1015.0,1015.0,1015.0,25.0,25375.0,1016.0,-1.0
2021-09-21,4.0,1003.0,1002.0,1002.0,400.0,400930.0,1015.0,-13.0
2021-09-28,1.0,1015.0,1015.0,1015.0,25.0,25375.0,1002.0,13.0
2021-09-29,1.0,1034.9,1034.9,1034.9,20.0,20698.0,1015.0,19.9
2021-09-30,1.0,1014.3,1014.3,1014.3,50.0,50715.0,1034.9,-20.6
2021-10-03,4.0,1002.0,990.0,1000.0,500.0,498550.0,1014.3,-14.3
2021-10-24,2.0,1018.0,1005.0,1018.0,177.0,178236.0,1000.0,18.0
2021-10-25,1.0,1018.0,1018.0,1018.0,11.0,11198.0,1018.0,0.0
2021-10-28,3.0,1017.0,1014.0,1017.0,175.0,177800.0,1018.0,-1.0
2021-11-08,1.0,1000.0,1000.0,1000.0,50.0,50000.0,1017.0,-17.0
2021-11-09,1.0,1000.0,1000.0,1000.0,25.0,25000.0,1000.0,0.0
2021-11-25,1.0,1001.0,1001.0,1001.0,25.0,25025.0,1000.0,1.0
2021-11-28,2.0,1005.0,1000.0,1000.0,25.0,25060.0,1001.0,-1.0
2021-12-02,2.0,1000.0,1000.0,1000.0,125.0,125000.0,1000.0,0.0
2021-12-05,5.0,1000.1,1000.0,1000.0,1150.0,1150010.0,1000.0,0.0
2021-12-06,3.0,1000.0,1000.0,1000.0,100.0,100000.0,1000.0,0.0
2021-12-08,1.0,1000.0,1000.0,1000.0,50.0,50000.0,1000.0,0.0
2021-12-09,2.0,1000.0,1000.0,1000.0,96.0,96000.0,1000.0,0.0
2021-12-22,3.0,1000.0,1000.0,1000.0,72.0,72000.0,1000.0,0.0
2021-12-23,1.0,1000.0,1000.0,1000.0,25.0,25000.0,1000.0,0.0
