Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2016-09-18,8.0,100.0,100.0,100.0,455000.0,45500000.0,100.0,0.0
2016-09-25,2.0,100.0,100.0,100.0,71250.0,7125000.0,100.0,0.0
2016-10-19,1.0,100.0,100.0,100.0,42500.0,4250000.0,100.0,0.0
2017-01-01,2.0,100.0,100.0,100.0,2000.0,200000.0,100.0,0.0
2017-01-10,5.0,104.0,102.0,102.0,2200.0,224600.0,100.0,2.0
2017-01-17,1.0,104.0,104.0,104.0,1001.0,104104.0,102.0,2.0
2017-01-31,5.0,114.0,106.0,114.0,101000.0,11063992.0,104.0,10.0
2017-03-23,2.0,118.0,116.0,118.0,20.0,2340.0,114.0,4.0
2017-06-21,1.0,120.0,120.0,120.0,53250.0,6390000.0,118.0,2.0
2018-02-04,1.0,122.0,122.0,122.0,10.0,1220.0,120.0,2.0
2018-04-01,1.0,124.0,124.0,124.0,10.0,1240.0,122.0,2.0
2018-09-09,2.0,128.0,126.0,128.0,20.0,2540.0,124.0,4.0
2018-09-17,2.0,132.0,130.0,132.0,20.0,2620.0,128.0,4.0
2019-01-13,2.0,136.0,132.0,136.0,40.0,5400.0,132.0,4.0
2019-01-16,1.0,142.0,136.0,142.0,20.0,2840.0,136.0,6.0
2019-01-20,1.0,149.0,142.0,149.0,40.0,5960.0,142.0,7.0
2019-02-20,4.0,163.0,149.0,163.0,60.0,9590.0,149.0,14.0
2019-03-17,3.0,177.0,171.0,177.0,30.0,5220.0,163.0,14.0
2019-03-18,1.0,185.0,185.0,185.0,100.0,18500.0,177.0,8.0
2019-03-19,1.0,194.0,194.0,194.0,20.0,3880.0,185.0,9.0
2019-04-16,1.0,203.0,203.0,203.0,10.0,2030.0,194.0,9.0
2019-04-28,2.0,217.0,213.0,217.0,60.0,12980.0,203.0,14.0
2019-07-25,1.0,227.0,227.0,227.0,10.0,2270.0,217.0,10.0
2019-09-25,1.0,231.0,231.0,231.0,10.0,2310.0,227.0,4.0
2019-11-05,6.0,235.0,235.0,235.0,1001.0,235235.0,231.0,4.0
2019-11-17,1.0,239.0,239.0,239.0,200.0,47800.0,235.0,4.0
2020-01-01,2.0,247.0,243.0,247.0,80.0,19600.0,239.0,8.0
2020-01-05,4.0,266.0,251.0,266.0,40.0,10340.0,247.0,19.0
2020-07-20,8.0,276.0,271.0,276.0,1000.0,273500.0,266.0,10.0
2020-07-21,9.0,303.0,281.0,303.0,1040.0,295410.0,276.0,27.0
2020-07-22,3.0,322.0,310.0,322.0,120.0,38340.0,303.0,19.0
2020-07-27,3.0,338.0,338.0,338.0,710.0,239980.0,322.0,16.0
