Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-04,1.0,232.0,232.0,232.0,171.0,39672.0,232.0,0.0
2012-06-05,5.0,239.0,236.0,239.0,1192.0,281492.0,232.0,7.0
2012-06-06,1.0,243.0,243.0,243.0,200.0,48600.0,239.0,4.0
2012-06-07,1.0,243.0,243.0,243.0,461.0,112023.0,243.0,0.0
2012-06-10,1.0,240.0,240.0,240.0,10.0,2400.0,243.0,-3.0
2012-06-13,2.0,248.0,244.0,248.0,112.0,27616.0,240.0,8.0
2012-06-14,1.0,244.0,244.0,244.0,10.0,2440.0,248.0,-4.0
2012-06-17,3.0,248.0,240.0,248.0,68.0,16648.0,244.0,4.0
2012-06-19,13.0,248.0,240.0,248.0,4325.0,1044550.0,248.0,0.0
2012-06-21,1.0,244.0,244.0,244.0,194.0,47336.0,248.0,-4.0
2012-06-25,1.0,248.0,248.0,248.0,10.0,2480.0,244.0,4.0
2012-06-26,4.0,248.0,244.0,248.0,270.0,66020.0,248.0,0.0
2012-06-27,7.0,249.0,245.0,249.0,730.0,178970.0,248.0,1.0
2012-06-28,3.0,253.0,245.0,253.0,69.0,17065.0,249.0,4.0
2012-07-01,2.0,252.0,248.0,252.0,30.0,7480.0,253.0,-1.0
2012-07-02,4.0,257.0,250.0,257.0,360.0,90766.0,252.0,5.0
2012-07-03,9.0,246.0,241.0,241.0,7320.0,1787500.0,257.0,-16.0
2012-07-04,2.0,241.0,241.0,241.0,600.0,144600.0,241.0,0.0
2012-07-05,4.0,245.0,241.0,241.0,920.0,222640.0,241.0,0.0
2012-07-08,8.0,240.0,232.0,232.0,970.0,227290.0,241.0,-9.0
2012-07-09,9.0,237.0,228.0,235.0,1049.0,243587.0,232.0,3.0
2012-07-11,1.0,239.0,239.0,239.0,14.0,3346.0,235.0,4.0
2012-07-17,1.0,235.0,235.0,235.0,596.0,140060.0,239.0,-4.0
2012-07-18,1.0,235.0,235.0,235.0,64.0,15040.0,235.0,0.0
2012-07-25,1.0,239.0,239.0,239.0,55.0,13145.0,235.0,4.0
2012-08-08,1.0,238.0,238.0,238.0,137.0,32606.0,239.0,-1.0
