Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-09-19,1.0,80.0,80.0,80.0,590.0,47200.0,0.0,80.0
2013-09-26,2.0,79.0,78.0,78.0,3328.0,259594.0,80.0,-2.0
2013-09-29,1.0,77.0,77.0,77.0,100.0,7700.0,78.0,-1.0
2013-10-31,1.0,79.0,79.0,79.0,50.0,3950.0,77.0,2.0
2013-12-22,2.0,81.0,80.0,81.0,510.0,41300.0,79.0,2.0
2013-12-23,3.0,82.0,82.0,82.0,96.0,7872.0,81.0,1.0
2013-12-24,1.0,83.0,83.0,83.0,10.0,830.0,82.0,1.0
2013-12-26,2.0,82.0,81.0,81.0,1618.0,131886.0,83.0,-2.0
2013-12-29,3.0,82.0,82.0,82.0,86.0,7052.0,81.0,1.0
2014-01-05,6.0,82.0,80.0,80.0,2786.0,225999.0,82.0,-2.0
2014-01-06,3.0,81.0,81.0,81.0,463.0,37503.0,80.0,1.0
2014-01-08,1.0,82.0,82.0,82.0,68.0,5576.0,81.0,1.0
2014-01-13,1.0,81.0,81.0,81.0,20.0,1620.0,82.0,-1.0
2014-01-23,4.0,84.0,82.0,84.0,142.0,11707.0,81.0,3.0
2014-01-27,5.0,84.0,83.0,84.0,257.0,21381.0,84.0,0.0
2014-02-02,1.0,85.0,85.0,85.0,10.0,850.0,84.0,1.0
2014-02-03,1.0,86.0,86.0,86.0,217.0,18662.0,85.0,1.0
2014-02-05,9.0,94.0,87.0,94.0,806.0,75124.0,86.0,8.0
2014-02-06,13.0,103.0,95.0,103.0,758.0,76782.0,94.0,9.0
2014-02-09,7.0,109.0,105.0,109.0,2099.0,221572.0,103.0,6.0
2014-02-10,4.0,113.0,111.0,113.0,390.0,43470.0,109.0,4.0
2014-02-11,4.0,113.0,111.0,111.0,656.0,73816.0,113.0,-2.0
2014-02-12,3.0,109.0,107.0,107.0,171.0,18519.0,111.0,-4.0
2014-02-13,2.0,109.0,107.0,107.0,600.0,64400.0,107.0,0.0
2014-02-16,4.0,105.0,101.0,101.0,2456.0,250528.0,107.0,-6.0
2014-02-17,7.0,104.0,100.0,100.0,2050.0,209280.0,101.0,-1.0
2014-02-18,1.0,102.0,102.0,102.0,60.0,6120.0,100.0,2.0
2014-02-26,1.0,100.0,100.0,100.0,611.0,61100.0,102.0,-2.0
2014-03-03,1.0,101.0,101.0,101.0,20.0,2020.0,100.0,1.0
2014-03-05,5.0,100.0,97.0,97.0,715.0,70116.0,101.0,-4.0
2014-03-06,1.0,96.0,96.0,96.0,41.0,3936.0,97.0,-1.0
2014-03-09,3.0,96.0,95.0,96.0,307.0,29255.0,96.0,0.0
2014-03-24,4.0,95.0,95.0,95.0,920.0,87400.0,96.0,-1.0
2014-03-26,1.0,96.0,96.0,96.0,21.0,2016.0,95.0,1.0
2014-04-06,2.0,96.0,95.0,96.0,355.0,34020.0,96.0,0.0
2014-04-10,1.0,97.0,97.0,97.0,30.0,2910.0,96.0,1.0
2014-04-20,6.0,96.0,96.0,96.0,180.0,17280.0,97.0,-1.0
2014-04-21,5.0,97.0,94.0,94.0,2378.0,225686.0,96.0,-2.0
2014-04-22,2.0,95.0,95.0,95.0,104.0,9880.0,94.0,1.0
2014-04-28,2.0,96.0,96.0,96.0,42.0,4032.0,95.0,1.0
2014-05-12,9.0,95.0,89.0,90.0,2267.0,207121.0,96.0,-6.0
2014-05-13,3.0,89.0,87.0,87.0,1112.0,97621.0,90.0,-3.0
2014-05-15,3.0,87.0,85.0,85.0,247.0,21255.0,87.0,-2.0
2014-05-18,20.0,92.0,86.0,88.0,2643.0,235306.0,85.0,3.0
2014-05-19,4.0,90.0,89.0,90.0,1009.0,90459.0,88.0,2.0
2014-05-20,3.0,89.0,88.0,88.0,140.0,12420.0,90.0,-2.0
2014-05-21,3.0,91.0,89.0,91.0,572.0,51441.0,88.0,3.0
2014-05-22,22.0,100.0,92.0,100.0,10486.0,1030137.0,91.0,9.0
2014-05-25,25.0,103.0,100.0,102.0,12368.0,1252407.0,100.0,2.0
2014-05-26,13.0,102.0,99.0,99.0,6319.0,632259.0,102.0,-3.0
2014-05-27,12.0,102.0,98.0,99.0,2404.0,239435.0,99.0,0.0
2014-05-28,5.0,100.0,100.0,100.0,1458.0,145800.0,99.0,1.0
2014-06-01,1.0,98.0,98.0,98.0,41.0,4018.0,100.0,-2.0
2014-06-02,3.0,97.0,96.0,96.0,983.0,94833.0,98.0,-2.0
2014-06-03,13.0,98.0,96.0,96.0,1886.0,182989.0,96.0,0.0
2014-06-04,6.0,98.0,96.0,98.0,2015.0,195315.0,96.0,2.0
2014-06-09,6.0,97.0,94.0,95.0,2890.0,275024.0,98.0,-3.0
2014-06-10,5.0,96.0,95.0,95.0,731.0,69524.0,95.0,0.0
2014-06-12,4.0,94.0,93.0,94.0,1619.0,151186.0,95.0,-1.0
2014-06-15,2.0,95.0,95.0,95.0,619.0,58805.0,94.0,1.0
2014-06-16,1.0,94.0,94.0,94.0,40.0,3760.0,95.0,-1.0
2014-06-17,4.0,97.0,95.0,0.0,627.0,60655.0,94.0,3.0
2014-06-18,6.0,98.0,96.0,97.0,1146.0,111246.0,97.0,-1.0
2014-06-19,10.0,98.0,96.0,96.0,4528.0,439010.0,96.0,0.0
2014-06-23,10.0,95.0,90.0,90.0,2660.0,248066.0,96.0,-6.0
2014-06-24,15.0,89.0,87.0,88.0,4057.0,358076.0,90.0,-2.0
2014-06-25,4.0,87.0,86.0,87.0,579.0,49954.0,88.0,-1.0
2014-06-26,3.0,88.0,86.0,88.0,893.0,77342.0,87.0,1.0
2014-06-29,14.0,91.0,89.0,90.0,8560.0,769460.0,88.0,2.0
2014-06-30,2.0,92.0,91.0,92.0,362.0,33214.0,90.0,2.0
2014-07-01,16.0,92.0,90.0,91.0,9943.0,903402.0,92.0,-1.0
2014-07-02,21.0,91.0,89.0,90.0,19513.0,1751050.0,91.0,-1.0
2014-07-03,29.0,99.0,90.0,99.0,51980.0,4837612.0,90.0,9.0
2014-07-06,40.0,108.0,98.0,108.0,62745.0,6517440.0,99.0,9.0
2014-07-07,110.0,117.0,108.0,115.0,84731.0,9460730.0,108.0,7.0
2014-07-08,52.0,115.0,107.0,113.0,38215.0,4265510.0,115.0,-2.0
2014-07-09,13.0,112.0,109.0,112.0,5167.0,568101.0,113.0,-1.0
2014-07-10,21.0,111.0,105.0,107.0,15721.0,1667131.0,112.0,-5.0
