Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2016-04-26,2.0,251.0,247.0,251.0,354.0,88798.0,0.0,251.0
2016-04-27,3.0,266.0,256.0,266.0,40.0,10490.0,251.0,15.0
2016-04-28,4.0,286.0,271.0,286.0,40.0,11140.0,266.0,20.0
2016-05-02,5.0,313.0,291.0,313.0,55.0,16560.0,286.0,27.0
2016-05-03,20.0,344.0,319.0,344.0,468.0,157815.0,313.0,31.0
2016-05-04,79.0,378.0,350.0,378.0,10923.0,4127494.0,344.0,34.0
2016-05-05,354.0,415.0,376.0,406.0,21715.0,8633510.0,378.0,28.0
2016-05-08,129.0,405.0,381.0,385.0,4858.0,1903707.0,406.0,-21.0
2016-05-09,105.0,392.0,360.0,366.0,4990.0,1859354.0,385.0,-19.0
2016-05-10,31.0,380.0,359.0,380.0,1701.0,626948.0,366.0,14.0
2016-05-11,14.0,374.0,368.0,371.0,1374.0,508140.0,380.0,-9.0
2016-05-12,15.0,367.0,355.0,365.0,354.0,127783.0,371.0,-6.0
2016-05-15,39.0,359.0,344.0,348.0,1105.0,386195.0,365.0,-17.0
2016-05-16,19.0,348.0,330.0,342.0,1229.0,414236.0,348.0,-6.0
2016-05-17,62.0,336.0,316.0,316.0,5646.0,1833974.0,342.0,-26.0
2016-05-18,53.0,310.0,289.0,294.0,1990.0,595920.0,316.0,-22.0
2016-05-19,54.0,289.0,269.0,270.0,2190.0,596836.0,294.0,-24.0
2016-05-22,42.0,270.0,246.0,260.0,4186.0,1060051.0,270.0,-10.0
2016-05-23,34.0,280.0,261.0,280.0,1543.0,419871.0,260.0,20.0
2016-05-24,29.0,290.0,275.0,279.0,4151.0,1156090.0,280.0,-1.0
2016-05-25,12.0,291.0,280.0,286.0,632.0,179584.0,279.0,7.0
2016-05-26,8.0,286.0,276.0,286.0,741.0,209501.0,286.0,0.0
2016-05-29,8.0,282.0,268.0,272.0,1570.0,426050.0,286.0,-14.0
2016-05-30,8.0,267.0,260.0,261.0,1644.0,428305.0,272.0,-11.0
2016-05-31,25.0,281.0,251.0,281.0,914.0,237330.0,261.0,20.0
2016-06-01,8.0,276.0,270.0,271.0,308.0,83947.0,281.0,-10.0
2016-06-02,19.0,275.0,266.0,275.0,603.0,164360.0,271.0,4.0
2016-06-05,22.0,270.0,261.0,265.0,620.0,164780.0,275.0,-10.0
2016-06-06,23.0,275.0,260.0,260.0,892.0,235313.0,265.0,-5.0
2016-06-07,35.0,274.0,256.0,274.0,1110.0,291333.0,260.0,14.0
2016-06-08,25.0,274.0,247.0,267.0,737.0,194061.0,274.0,-7.0
2016-06-09,6.0,271.0,261.0,266.0,275.0,73370.0,267.0,-1.0
2016-06-12,7.0,270.0,260.0,262.0,572.0,149490.0,266.0,-4.0
2016-06-13,15.0,267.0,260.0,261.0,2425.0,637859.0,262.0,-1.0
2016-06-14,27.0,266.0,260.0,260.0,1043.0,275818.0,261.0,-1.0
2016-06-15,54.0,269.0,259.0,269.0,2374.0,621638.0,260.0,9.0
2016-06-16,22.0,278.0,269.0,273.0,2214.0,604049.0,269.0,4.0
2016-06-19,17.0,283.0,273.0,280.0,650.0,182480.0,273.0,7.0
2016-06-20,68.0,308.0,280.0,300.0,7446.0,2198883.0,280.0,20.0
2016-06-21,14.0,300.0,284.0,287.0,1204.0,347716.0,300.0,-13.0
2016-06-22,17.0,294.0,280.0,294.0,1645.0,478184.0,287.0,7.0
2016-06-23,23.0,295.0,285.0,287.0,3544.0,1029970.0,294.0,-7.0
2016-06-26,36.0,315.0,292.0,315.0,7367.0,2311039.0,287.0,28.0
2016-06-27,65.0,325.0,310.0,310.0,5562.0,1777570.0,315.0,-5.0
2016-06-28,25.0,316.0,306.0,306.0,4550.0,1403986.0,310.0,-4.0
2016-06-29,34.0,314.0,300.0,310.0,1845.0,571450.0,306.0,4.0
2016-06-30,30.0,312.0,304.0,312.0,2390.0,730193.0,310.0,2.0
2016-07-03,15.0,312.0,296.0,296.0,568.0,173103.0,312.0,-16.0
