Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2020-11-22,1.0,102.0,102.0,102.0,26406.0,2693412.0,100.0,2.0
2020-12-13,1.0,102.0,102.0,102.0,4372.0,445944.0,102.0,0.0
2020-12-15,2.0,102.0,102.0,102.0,15346.0,1565292.0,102.0,0.0
2020-12-29,1.0,102.0,102.0,102.0,11914.0,1215228.0,102.0,0.0
2021-02-14,2.0,104.0,104.0,104.0,6588.0,685152.0,102.0,2.0
2021-02-21,1.0,104.0,104.0,104.0,5088.0,529152.0,104.0,0.0
2021-05-02,1.0,104.0,104.0,104.0,5028.0,522912.0,104.0,0.0
2021-06-28,1.0,207.0,207.0,207.0,10659.0,2206413.0,207.0,0.0
2021-07-27,1.0,207.0,207.0,207.0,12856.0,2661192.0,207.0,0.0
2021-08-01,1.0,207.0,207.0,207.0,12630.0,2614410.0,207.0,0.0
2021-08-11,1.0,207.0,207.0,207.0,17680.0,3659760.0,207.0,0.0
2021-10-24,4.0,198.0,198.0,198.0,6830.0,1352340.0,198.0,0.0
2022-02-23,1.0,194.0,194.0,194.0,10246.0,1987724.0,194.0,0.0
2022-02-28,6.0,194.0,194.0,194.0,10658.0,2067652.0,194.0,0.0
