Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-04,30.0,70.0,67.0,68.0,600.0,41480.0,71.0,-3.0
2012-06-05,15.0,68.0,67.0,68.0,320.0,21740.0,68.0,0.0
2012-06-10,6.0,67.0,66.0,66.0,120.0,7940.0,68.0,-2.0
2012-06-12,15.0,67.0,67.0,67.0,600.0,40200.0,66.0,1.0
2012-06-13,1.0,66.0,66.0,66.0,30.0,1980.0,67.0,-1.0
2012-06-14,2.0,65.0,64.0,64.0,70.0,4500.0,66.0,-2.0
2012-06-17,16.0,63.0,62.0,62.0,320.0,19860.0,64.0,-2.0
2012-06-19,42.0,61.0,56.0,56.0,880.0,51120.0,62.0,-6.0
2012-06-21,72.0,55.0,51.0,51.0,1540.0,82940.0,56.0,-5.0
2012-06-25,48.0,51.0,49.0,49.98,1140.0,56640.0,51.0,-1.02
2012-06-26,12.0,51.0,50.0,51.0,260.0,13240.0,49.98,1.02
2012-06-27,4.0,51.0,51.0,51.0,80.0,4080.0,51.0,0.0
2012-06-28,3.0,50.0,50.0,50.0,60.0,3000.0,51.0,-1.0
2012-07-01,24.0,55.0,50.0,55.0,730.0,38150.0,50.0,5.0
2012-07-02,11.0,55.0,54.0,55.0,380.0,20680.0,55.0,0.0
2012-07-03,3.0,54.0,54.0,54.0,60.0,3240.0,55.0,-1.0
2012-07-04,35.0,59.0,54.0,59.0,840.0,47100.0,54.0,5.0
2012-07-05,24.0,62.0,59.0,62.0,560.0,33480.0,59.0,3.0
2012-07-08,15.0,67.0,63.0,67.0,430.0,28150.0,62.0,5.0
2012-07-09,28.0,68.0,67.0,68.0,850.0,57250.0,67.0,1.0
2012-07-10,10.0,69.0,69.0,69.0,300.0,20700.0,68.0,1.0
2012-07-11,9.0,71.0,69.0,70.0,500.0,35000.0,69.0,1.0
2012-07-12,28.0,70.0,69.0,69.0,840.0,58740.0,70.0,-1.0
2012-07-15,33.0,71.0,70.0,70.0,710.0,49900.0,69.0,1.0
2012-07-16,16.0,70.0,69.0,69.0,420.0,29060.0,70.0,-1.0
2012-07-17,1.0,68.0,68.0,68.0,20.0,1360.0,69.0,-1.0
2012-07-18,3.0,70.0,69.0,70.0,140.0,9780.0,68.0,2.0
2012-07-19,11.0,70.0,70.0,70.0,260.0,18200.0,70.0,0.0
2012-07-22,8.0,72.0,70.0,72.0,200.0,14100.0,70.0,2.0
2012-07-23,4.0,71.0,71.0,71.0,80.0,5680.0,72.0,-1.0
2012-07-24,11.0,71.0,70.0,71.0,570.0,40430.0,71.0,0.0
2012-07-25,7.0,71.0,70.0,71.0,150.0,10630.0,71.0,0.0
2012-07-26,3.0,72.0,72.0,72.0,60.0,4320.0,71.0,1.0
2012-07-29,5.0,74.0,72.0,74.0,4790.0,345060.0,72.0,2.0
2012-07-30,20.0,75.0,72.0,72.0,400.0,29300.0,74.0,-2.0
2012-07-31,39.0,78.0,73.0,78.0,860.0,64980.0,72.0,6.0
2012-08-01,17.0,78.0,74.0,75.0,340.0,25740.0,78.0,-3.0
2012-08-05,7.0,75.0,75.0,75.0,200.0,15000.0,75.0,0.0
2012-08-06,1.0,74.0,74.0,74.0,20.0,1480.0,75.0,-1.0
2012-08-08,2.0,73.0,73.0,73.0,80.0,5840.0,74.0,-1.0
2012-08-12,19.0,80.0,74.0,80.0,600.0,47160.0,73.0,7.0
2012-08-13,37.0,79.0,78.0,79.0,860.0,67860.0,80.0,-1.0
2012-08-14,30.0,83.0,79.0,82.0,660.0,53490.0,79.0,3.0
2012-08-15,1.0,83.0,83.0,83.0,40.0,3320.0,82.0,1.0
2012-08-16,29.0,85.0,84.0,85.0,1210.0,102720.0,83.0,2.0
2012-08-19,15.0,89.0,85.0,88.0,2220.0,191180.0,85.0,3.0
2012-08-21,40.0,88.0,86.0,86.0,800.0,70340.0,88.0,-2.0
2012-08-22,25.0,86.0,85.0,85.0,540.0,46400.0,86.0,-1.0
2012-08-23,5.0,84.0,81.0,81.0,240.0,19740.0,85.0,-4.0
2012-08-26,13.0,80.0,80.0,80.0,380.0,30400.0,81.0,-1.0
2012-08-27,30.0,82.0,80.0,82.0,1370.0,110690.0,80.0,2.0
2012-08-28,13.0,83.0,83.0,83.0,260.0,21580.0,82.0,1.0
2012-08-29,29.0,84.0,83.0,84.0,590.0,49050.0,83.0,1.0
2012-08-30,22.0,86.0,85.0,86.0,500.0,42920.0,84.0,2.0
2012-09-02,10.0,88.0,87.0,88.0,240.0,21010.0,86.0,2.0
2012-09-03,17.0,92.0,89.0,92.0,430.0,38680.0,88.0,4.0
2012-09-04,13.0,96.0,93.0,96.0,850.0,80110.0,92.0,4.0
2012-09-05,9.0,97.0,96.0,97.0,340.0,32660.0,96.0,1.0
2012-09-16,2.0,96.0,95.0,95.0,2390.0,227070.0,97.0,-2.0
2012-09-18,13.0,94.0,94.0,94.0,260.0,24440.0,95.0,-1.0
2012-10-03,3.0,93.0,93.0,93.0,160.0,14880.0,94.0,-1.0
2012-10-10,87.0,93.0,93.0,93.0,3400.0,316200.0,93.0,0.0
2012-10-14,76.0,102.0,90.0,102.0,4460.0,445210.0,93.0,9.0
2012-10-15,114.0,112.0,98.0,98.0,2650.0,276490.0,102.0,-4.0
2012-10-17,15.0,102.0,98.0,102.0,360.0,35800.0,98.0,4.0
2012-10-18,9.0,103.0,100.0,101.0,200.0,20310.0,102.0,-1.0
2012-10-30,5.0,103.0,100.0,103.0,320.0,32540.0,101.0,2.0
2012-10-31,8.0,105.0,100.0,100.0,560.0,56760.0,103.0,-3.0
2012-11-05,10.0,100.0,99.0,100.0,200.0,19900.0,100.0,0.0
2012-11-06,3.0,102.0,100.0,100.0,80.0,8120.0,100.0,0.0
2012-11-07,22.0,102.0,100.0,102.0,440.0,44360.0,100.0,2.0
2012-11-08,5.0,105.0,104.0,105.0,100.0,10460.0,102.0,3.0
2012-11-11,6.0,105.0,103.0,103.0,120.0,12460.0,105.0,-2.0
2012-11-12,1.0,105.0,105.0,105.0,60.0,6300.0,103.0,2.0
2012-11-22,3.0,105.0,103.0,105.0,210.0,21950.0,105.0,0.0
2012-11-28,3.0,104.0,104.0,104.0,80.0,8320.0,105.0,-1.0
2012-12-06,18.0,102.0,100.0,102.0,420.0,42700.0,104.0,-2.0
2012-12-09,4.0,100.0,98.0,98.0,760.0,75040.0,102.0,-4.0
2012-12-13,2.0,97.0,96.0,96.0,40.0,3860.0,98.0,-2.0
2012-12-17,14.0,96.0,96.0,96.0,350.0,33600.0,96.0,0.0
2012-12-18,9.0,97.0,96.0,97.0,660.0,63520.0,96.0,1.0
2012-12-19,11.0,96.0,96.0,96.0,360.0,34560.0,97.0,-1.0
2012-12-20,28.0,97.0,96.0,97.0,830.0,80320.0,96.0,1.0
2012-12-23,5.0,98.0,97.0,97.0,100.0,9780.0,97.0,0.0
2012-12-31,1.0,96.0,96.0,96.0,30.0,2880.0,97.0,-1.0
2013-01-01,13.0,96.0,96.0,96.0,260.0,24960.0,96.0,0.0
2013-01-02,37.0,97.0,96.0,97.0,740.0,71340.0,96.0,1.0
2013-01-03,8.0,96.0,96.0,96.0,160.0,15360.0,97.0,-1.0
2013-01-07,4.0,98.0,98.0,98.0,80.0,7840.0,97.0,1.0
2013-01-10,5.0,99.0,99.0,99.0,100.0,9900.0,98.0,1.0
2013-01-13,28.0,99.0,97.0,98.0,670.0,65800.0,99.0,-1.0
2013-01-15,15.0,97.0,97.0,97.0,380.0,36860.0,98.0,-1.0
2013-01-16,4.0,98.0,98.0,98.0,80.0,7840.0,97.0,1.0
2013-01-17,2.0,98.0,98.0,98.0,2000.0,196000.0,98.0,0.0
2013-01-20,3.0,97.0,97.0,97.0,60.0,5820.0,98.0,-1.0
2013-01-21,1.0,97.0,97.0,97.0,20.0,1940.0,97.0,0.0
2013-01-22,1.0,97.0,97.0,97.0,20.0,1940.0,97.0,0.0
2013-01-24,7.0,96.0,95.0,95.0,210.0,19980.0,97.0,-2.0
2013-01-27,3.0,94.0,94.0,94.0,90.0,8460.0,95.0,-1.0
2013-01-28,4.0,93.0,93.0,93.0,90.0,8370.0,94.0,-1.0
2013-01-31,12.0,92.0,91.0,91.0,350.0,31870.0,93.0,-2.0
2013-02-03,6.0,91.0,91.0,91.0,150.0,13650.0,91.0,0.0
2013-02-04,2.0,90.0,90.0,90.0,80.0,7200.0,91.0,-1.0
2013-02-06,1.0,91.0,91.0,91.0,90.0,8190.0,90.0,1.0
2013-02-27,1.0,91.0,91.0,91.0,20.0,1820.0,91.0,0.0
2013-03-18,1.0,92.0,92.0,92.0,1130.0,103960.0,91.0,1.0
2013-03-21,48.0,101.0,93.0,101.0,1590.0,156070.0,92.0,9.0
2013-03-25,28.0,102.0,101.0,102.0,600.0,60740.0,101.0,1.0
2013-03-27,13.0,102.0,100.0,100.0,550.0,55320.0,102.0,-2.0
2013-03-28,8.0,99.0,97.0,98.0,650.0,63620.0,100.0,-2.0
2013-04-03,1.0,98.0,98.0,98.0,20.0,1960.0,98.0,0.0
2013-05-06,2.0,98.0,98.0,98.0,40.0,3920.0,98.0,0.0
2013-05-23,6.0,98.0,97.0,98.0,120.0,11740.0,98.0,0.0
2013-05-28,1.0,97.0,97.0,97.0,30.0,2910.0,98.0,-1.0
2013-06-12,7.0,96.0,96.0,96.0,140.0,13440.0,97.0,-1.0
2013-06-16,2.0,96.0,96.0,96.0,60.0,5760.0,96.0,0.0
2013-06-18,15.0,96.0,96.0,96.0,300.0,28800.0,96.0,0.0
2013-06-19,16.0,96.0,96.0,96.0,320.0,30720.0,96.0,0.0
2013-07-10,6.0,95.0,94.0,94.0,120.0,11340.0,96.0,-2.0
2013-07-22,3.0,94.0,94.0,94.0,140.0,13160.0,94.0,0.0
2013-08-15,1.0,93.0,93.0,93.0,20.0,1860.0,94.0,-1.0
2013-08-20,1.0,92.0,92.0,92.0,20.0,1840.0,93.0,-1.0
2013-08-26,3.0,93.0,91.0,93.0,419.0,38250.0,92.0,1.0
2013-08-27,9.0,92.0,91.0,91.0,248.0,22766.0,93.0,-2.0
2013-08-29,2.0,93.0,92.0,93.0,44.0,4070.0,91.0,2.0
2013-09-01,2.0,94.0,93.0,93.0,62.0,5788.0,93.0,0.0
2013-09-02,2.0,94.0,94.0,94.0,66.0,6204.0,93.0,1.0
2013-09-04,4.0,96.0,94.0,96.0,474.0,45408.0,94.0,2.0
2013-09-05,9.0,95.0,95.0,95.0,194.0,18430.0,96.0,-1.0
2013-09-10,1.0,95.0,95.0,95.0,110.0,10450.0,95.0,0.0
2013-09-11,1.0,96.0,96.0,96.0,26.0,2496.0,95.0,1.0
2013-09-12,3.0,95.0,94.0,94.0,88.0,8294.0,96.0,-2.0
2013-09-15,3.0,93.0,92.0,92.0,132.0,12232.0,94.0,-2.0
2013-09-16,1.0,91.0,91.0,91.0,22.0,2002.0,92.0,-1.0
2013-09-22,1.0,90.0,90.0,90.0,5000.0,450000.0,91.0,-1.0
2013-09-23,1.0,89.0,89.0,89.0,2150.0,191350.0,90.0,-1.0
2013-09-24,10.0,97.0,88.0,97.0,264.0,24387.0,89.0,8.0
2013-09-29,14.0,106.0,98.0,106.0,772.0,81100.0,97.0,9.0
2013-09-30,34.0,116.0,108.0,109.0,2120.0,236450.0,106.0,3.0
2013-10-01,8.0,110.0,108.0,109.0,240.0,26202.0,109.0,0.0
2013-10-02,14.0,111.0,109.0,111.0,838.0,91638.0,109.0,2.0
2013-10-03,6.0,110.0,108.0,108.0,196.0,21398.0,111.0,-3.0
2013-10-06,17.0,110.0,107.0,107.0,352.0,38374.0,108.0,-1.0
2013-10-07,3.0,109.0,109.0,109.0,66.0,7194.0,107.0,2.0
2013-10-09,1.0,108.0,108.0,108.0,154.0,16632.0,109.0,-1.0
2013-10-20,3.0,112.0,110.0,112.0,218.0,24332.0,108.0,4.0
2013-10-21,1.0,112.0,112.0,112.0,100.0,11200.0,112.0,0.0
2013-10-22,6.0,112.0,110.0,110.0,334.0,37120.0,112.0,-2.0
2013-10-23,21.0,114.0,110.0,114.0,616.0,68940.0,110.0,4.0
