Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-08-15,2.0,100.0,100.0,100.0,25300.0,2530000.0,0.0,100.0
2013-08-19,3.0,100.0,100.0,100.0,12100.0,1210000.0,100.0,0.0
2013-08-25,4.0,100.0,100.0,100.0,14245.0,1424500.0,100.0,0.0
2013-09-08,1.0,100.0,100.0,100.0,1100.0,110000.0,100.0,0.0
2013-11-14,2.0,100.0,100.0,100.0,6600.0,660000.0,100.0,0.0
2013-12-03,3.0,100.0,100.0,100.0,2200.0,220000.0,100.0,0.0
2013-12-05,2.0,100.0,100.0,100.0,1650.0,165000.0,100.0,0.0
2013-12-10,4.0,100.0,100.0,100.0,4950.0,495000.0,100.0,0.0
2013-12-12,3.0,100.0,100.0,100.0,6050.0,605000.0,100.0,0.0
2013-12-18,6.0,100.0,100.0,100.0,18150.0,1815000.0,100.0,0.0
2013-12-29,2.0,100.0,100.0,100.0,1300.0,130000.0,100.0,0.0
2014-12-08,12.0,100.0,100.0,100.0,6005.0,600500.0,100.0,0.0
2014-12-11,1.0,100.0,100.0,100.0,948.0,94800.0,100.0,0.0
2015-09-22,2.0,102.0,100.0,100.0,3478.0,349190.0,100.0,0.0
