Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2019-03-17,10.0,130.0,130.0,130.0,343088.0,44601440.0,132.0,-2.0
2019-04-03,1.0,130.0,130.0,130.0,23523.0,3057990.0,130.0,0.0
2019-04-10,1.0,130.0,130.0,130.0,52205.0,6786650.0,130.0,0.0
2019-04-30,1.0,130.0,130.0,130.0,27488.0,3573440.0,130.0,0.0
2019-08-26,1.0,137.0,137.0,137.0,16491.0,2259267.0,137.0,0.0
2019-12-05,2.0,137.0,137.0,137.0,48000.0,6576000.0,137.0,0.0
2020-03-03,1.0,177.0,177.0,177.0,50000.0,8850000.0,177.0,0.0
2020-10-18,1.0,177.0,177.0,177.0,31609.0,5594793.0,177.0,0.0
2021-01-10,2.0,146.0,146.0,146.0,36300.0,5299800.0,146.0,0.0
2021-03-17,1.0,140.0,140.0,140.0,23000.0,3220000.0,140.0,0.0
2021-04-04,1.0,140.0,140.0,140.0,2750.0,385000.0,140.0,0.0
2021-04-05,1.0,140.0,140.0,140.0,14912.0,2087680.0,140.0,0.0
2021-04-21,4.0,140.0,140.0,140.0,111163.0,15562820.0,140.0,0.0
2021-04-22,1.0,140.0,140.0,140.0,28574.0,4000360.0,140.0,0.0
2021-04-27,2.0,140.0,140.0,140.0,36348.0,5088720.0,140.0,0.0
2021-05-02,1.0,140.0,140.0,140.0,6000.0,840000.0,140.0,0.0
2021-09-01,2.0,140.0,140.0,140.0,6276.0,878640.0,140.0,0.0
2021-09-02,2.0,142.0,140.0,140.0,122698.0,17294200.0,140.0,0.0
2021-10-11,5.0,140.0,140.0,140.0,16215.0,2270100.0,140.0,0.0
2021-11-30,1.0,140.0,140.0,140.0,28574.0,4000360.0,140.0,0.0
2021-12-02,8.0,140.0,140.0,140.0,25504.0,3570560.0,140.0,0.0
2022-01-13,2.0,140.0,140.0,140.0,796.0,111440.0,140.0,0.0
2022-06-14,3.0,140.0,140.0,140.0,6000.0,1110000.0,140.0,0.0
