Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-08-05,51.0,101.0,101.0,101.0,14710.0,1485710.0,100.0,1.0
2014-08-20,1.0,100.0,100.0,100.0,5020.0,502000.0,100.0,0.0
2014-09-04,4.0,100.0,100.0,100.0,3330.0,333000.0,100.0,0.0
2014-12-18,1.0,100.0,100.0,100.0,5000.0,500000.0,100.0,0.0
2015-10-15,212.0,100.0,100.0,100.0,7040.0,704000.0,100.0,0.0
2016-12-01,3.0,392.0,392.0,392.0,16800.0,6585600.0,400.0,-8.0
2017-12-11,1.0,250.0,250.0,250.0,10000.0,2500000.0,250.0,0.0
2018-09-10,1.0,145.0,145.0,145.0,47700.0,6916500.0,145.0,0.0
2018-10-09,2.0,145.0,145.0,145.0,10000.0,1450000.0,145.0,0.0
2019-09-11,1.0,138.0,138.0,138.0,30000.0,4140000.0,138.0,0.0
2019-09-18,1.0,138.0,138.0,138.0,3047.0,420486.0,138.0,0.0
