Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2014-06-01,6.0,0.0,0.0,60.3,250000.0,15388750.0,100.0,0.0
2014-06-25,4.0,0.0,0.0,55.0,229670.0,12645327.5,100.0,0.0
2014-09-21,5.0,112.0,104.0,104.0,100000.0,10420000.0,114.0,-10.0
2014-09-28,1.0,0.0,0.0,72.0,100000.0,7200000.0,104.0,0.0
2014-12-04,2.0,0.0,0.0,65.5,69100.0,4526050.0,104.0,0.0
2014-12-09,1.0,0.0,0.0,65.5,120250.0,7876375.0,104.0,0.0
2015-03-11,1.0,102.0,102.0,102.0,50000.0,5100000.0,104.0,-2.0
2015-03-29,1.0,0.0,0.0,70.0,50000.0,3500000.0,102.0,0.0
2015-11-29,1.0,0.0,0.0,0.0,200.0,15402.0,102.0,0.0
2016-08-15,6.0,150.0,150.0,150.0,99634.0,14945100.0,150.0,0.0
2016-10-02,1.0,150.0,150.0,150.0,11322.0,1698300.0,150.0,0.0
2016-11-17,5.0,150.0,150.0,150.0,294000.0,44100000.0,150.0,0.0
2016-11-23,1.0,150.0,150.0,150.0,50000.0,7500000.0,150.0,0.0
