Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-01-21,5.0,11.0,10.2,11.0,500.0,5303.0,0.0,11.0
2013-01-22,6.0,12.1,11.22,12.1,31400.0,370131.0,11.0,1.1
2013-01-23,130.0,13.31,12.34,13.31,727200.0,9630995.0,12.1,1.21
2013-01-24,91.0,13.3,12.3,12.31,278700.0,3523024.0,13.31,-1.0
2013-01-27,9.0,12.56,12.0,12.24,18700.0,229570.0,12.31,-0.07
2013-01-28,12.0,12.48,11.9,12.14,14800.0,177651.0,12.24,-0.1
2013-01-30,4.0,12.63,11.9,12.63,2300.0,27515.0,12.14,0.49
2013-01-31,2.0,12.38,12.38,12.38,410.0,5076.0,12.63,-0.25
2013-02-03,9.0,12.63,11.7,11.71,23200.0,275956.0,12.38,-0.67
2013-02-04,14.0,12.26,11.5,12.26,36830.0,425818.0,11.71,0.55
2013-02-05,2.0,12.76,12.51,12.76,200.0,2527.0,12.26,0.5
2013-02-06,9.0,12.5,11.5,11.7,8710.0,103066.0,12.76,-1.06
2013-02-07,13.0,11.77,11.49,11.77,41400.0,476822.0,11.7,0.07
2013-02-10,9.0,11.83,11.6,11.83,1910.0,22202.0,11.77,0.06
2013-02-12,16.0,12.39,11.75,12.09,41000.0,489777.0,11.83,0.26
2013-02-13,11.0,12.1,11.63,11.8,21000.0,245050.0,12.09,-0.29
2013-02-14,3.0,12.44,12.04,12.44,2100.0,25484.0,11.8,0.64
2013-02-17,1.0,12.69,12.69,12.69,100.0,1269.0,12.44,0.25
2013-02-19,4.0,13.73,12.94,13.73,400.0,5333.0,12.69,1.04
2013-02-20,5.0,13.46,12.93,13.45,900.0,11794.0,13.73,-0.28
2013-02-21,13.0,13.18,12.16,13.16,17400.0,220951.0,13.45,-0.29
2013-02-24,18.0,12.9,11.86,11.91,30500.0,367380.0,13.16,-1.25
2013-02-25,13.0,12.73,11.9,12.73,32600.0,390769.0,11.91,0.82
2013-02-26,9.0,13.23,12.23,13.23,12700.0,158511.0,12.73,0.5
2013-02-27,2.0,13.23,12.97,13.23,600.0,7808.0,13.23,0.0
2013-02-28,27.0,12.97,11.91,11.91,47100.0,563217.0,13.23,-1.32
2013-03-03,12.0,12.17,11.66,12.17,44900.0,526439.0,11.91,0.26
2013-03-04,17.0,12.05,11.53,12.05,51700.0,599217.0,12.17,-0.12
2013-03-05,8.0,12.53,11.69,12.53,19600.0,230584.0,12.05,0.48
2013-03-07,2.0,13.3,13.03,13.03,300.0,3936.0,13.04,-0.01
2013-03-11,1.0,13.29,13.29,13.29,100.0,1329.0,13.03,0.26
