Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2016-10-19,6.0,250.0,250.0,250.0,26271.0,6567750.0,250.0,0.0
2016-11-24,3.0,250.0,250.0,250.0,1500.0,375000.0,250.0,0.0
2017-02-22,2.0,250.0,250.0,250.0,10000.0,2500000.0,250.0,0.0
2017-06-20,3.0,190.0,190.0,190.0,21580.0,4100200.0,190.0,0.0
2017-06-25,2.0,190.0,190.0,190.0,20974.0,3985060.0,190.0,0.0
2017-12-19,5.0,107.0,107.0,107.0,11554.0,1236278.0,107.0,0.0
2018-07-04,1.0,111.0,111.0,111.0,12713.0,1411143.0,110.0,1.0
2018-12-30,1.0,111.0,111.0,111.0,4979.0,552669.0,111.0,0.0
2019-07-17,1.0,111.0,111.0,111.0,100.0,11100.0,111.0,0.0
2019-08-15,1.0,111.0,111.0,111.0,32314.0,3586854.0,111.0,0.0
2019-08-26,1.0,111.0,111.0,111.0,7693.0,853923.0,111.0,0.0
2019-09-11,2.0,111.0,111.0,111.0,31328.0,3477408.0,111.0,0.0
2020-01-01,1.0,111.0,111.0,111.0,9535.0,1058385.0,111.0,0.0
2020-03-01,1.0,111.0,111.0,111.0,6616.0,588824.0,111.0,0.0
2020-03-11,1.0,111.0,111.0,111.0,1077.0,95853.0,111.0,0.0
2021-02-21,1.0,111.0,111.0,111.0,90950.0,10095450.0,111.0,0.0
2021-04-12,4.0,111.0,111.0,111.0,251479.0,27914169.0,111.0,0.0
2021-04-20,1.0,111.0,111.0,111.0,26828.0,2977908.0,111.0,0.0
2021-04-25,1.0,111.0,111.0,111.0,883.0,78587.0,111.0,0.0
2021-10-10,1.0,225.0,225.0,225.0,34926.0,7858350.0,225.0,0.0
