Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-03-21,1.0,101.0,101.0,101.0,20150.0,2035150.0,101.0,0.0
2013-06-06,2.0,101.0,101.0,101.0,4030.0,407030.0,101.0,0.0
2013-10-02,1.0,101.0,101.0,101.0,9375.0,946875.0,101.0,0.0
2013-12-01,1.0,100.0,100.0,100.0,150150.0,15015000.0,101.0,-1.0
2015-03-29,8.0,194.0,176.0,176.0,160.0,29600.0,194.0,-18.0
2015-03-30,6.0,173.0,159.0,159.0,120.0,19880.0,176.0,-17.0
2015-03-31,6.0,156.0,144.0,144.0,127193.0,18316412.0,159.0,-15.0
2016-07-04,1.0,158.0,158.0,158.0,20092.0,3174536.0,358.0,0.0
2016-07-05,1.0,362.0,362.0,362.0,20092.0,7273304.0,362.0,0.0
2016-11-30,5.0,362.0,362.0,362.0,4670.0,1690540.0,362.0,0.0
2016-12-22,1.0,362.0,362.0,362.0,122337.0,44285994.0,362.0,0.0
2017-03-05,1.0,369.0,369.0,369.0,65000.0,23985000.0,362.0,7.0
2017-07-24,1.0,370.0,370.0,370.0,28861.0,10678570.0,370.0,0.0
2017-07-31,2.0,364.0,362.0,362.0,45922.0,16626208.0,370.0,-8.0
2017-10-29,1.0,362.0,362.0,362.0,7869.0,2848578.0,362.0,0.0
2017-10-31,1.0,362.0,362.0,362.0,9514.0,3444068.0,362.0,0.0
2018-01-22,2.0,365.0,365.0,365.0,44737.0,16329005.0,362.0,3.0
2018-07-04,2.0,0.0,0.0,0.0,49687.0,8994286.0,365.0,0.0
2018-12-23,6.0,165.0,165.0,165.0,495443.0,81748095.0,165.0,0.0
2019-05-08,1.0,165.0,165.0,165.0,19666.0,3244890.0,165.0,0.0
2019-08-15,2.0,165.0,165.0,165.0,292635.0,48284775.0,165.0,0.0
2019-11-11,1.0,162.0,162.0,162.0,17748.0,2875176.0,165.0,-3.0
2019-11-14,1.0,162.0,162.0,162.0,29316.0,4749192.0,162.0,0.0
2021-03-03,2.0,161.0,161.0,161.0,260000.0,41860000.0,162.0,-1.0
2021-05-06,2.0,161.0,161.0,161.0,130122.0,20949642.0,161.0,0.0
2021-08-16,1.0,215.0,215.0,215.0,283786.0,61013990.0,215.0,0.0
2021-09-21,2.0,211.0,211.0,211.0,48864.0,10310304.0,215.0,-4.0
2021-12-28,3.0,162.0,162.0,187.0,9000.0,1678000.0,162.0,0.0
2022-05-08,1.0,132.0,132.0,132.0,1895.0,250140.0,132.0,0.0
2022-06-27,1.0,130.0,130.0,130.0,195756.0,25448280.0,132.0,-2.0
2022-07-07,1.0,128.0,128.0,128.0,200000.0,25600000.0,130.0,-2.0
