Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2015-12-01,6.0,975.0,883.0,883.0,60.0,55710.0,980.0,-97.0
2015-12-02,5.0,866.0,805.0,805.0,5940.0,4783150.0,883.0,-78.0
2016-03-17,1.0,1165.0,1165.0,1165.0,15000.0,17475000.0,1165.0,0.0
2016-08-29,1.0,1300.0,1300.0,1300.0,2000.0,2600000.0,1300.0,0.0
2018-12-24,4.0,1300.0,1300.0,728.0,450.0,328000.0,1300.0,-572.0
2019-12-12,1.0,582.0,582.0,582.0,188729.0,82852031.0,582.0,0.0
2019-12-15,22.0,582.0,582.0,582.0,88727.0,38561939.0,582.0,0.0
2021-01-19,1.0,930.0,930.0,930.0,378.0,351540.0,930.0,0.0
2021-02-24,19.0,930.0,930.0,930.0,126000.0,64513370.0,930.0,0.0
2021-12-07,1.0,781.45,781.45,781.45,297.0,200475.0,781.45,0.0
2021-12-15,7.0,781.45,781.45,781.45,60100.0,42526100.0,781.45,0.0
2021-12-20,2.0,782.0,782.0,782.0,1190.0,915190.0,781.45,0.55
2021-12-27,1.0,782.0,782.0,782.0,4000.0,3200000.0,782.0,0.0
2022-06-28,3.0,782.0,782.0,782.0,3810.0,2484620.0,782.0,0.0
