Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-10-31,2.0,259.2,254.2,259.2,20.0,5134.0,0.0,5.0
2021-11-01,4.0,269.5,259.2,269.5,22.0,5854.2,259.2,10.3
2021-11-02,5.0,285.8,274.8,285.8,38.0,10647.2,269.5,16.3
2021-11-03,5.0,300.2,288.7,300.2,40.0,11705.1,285.8,14.4
2021-11-08,18.0,330.2,300.2,330.2,130.0,41305.8,300.2,30.0
2021-11-09,17.0,363.2,336.8,363.2,170.0,61095.0,330.2,33.0
2021-11-11,31.0,399.5,370.4,399.5,309.0,122727.8,363.2,36.3
2021-11-14,53.0,439.4,407.4,439.4,530.0,232095.0,399.5,39.9
2021-11-15,76.0,483.3,448.1,483.3,3302.0,1594638.6,439.4,43.9
2021-11-16,209.0,531.6,492.9,531.6,2260.0,1200368.0,483.3,48.3
2021-11-17,177.0,584.7,542.2,584.7,1840.0,1074379.0,531.6,53.1
2021-11-18,2311.0,643.1,596.3,643.1,40896.0,26029588.2,584.7,58.4
2021-11-21,2021.0,655.9,602.0,616.0,25206.0,15762591.0,643.1,-27.1
2021-11-22,1217.0,616.0,590.0,600.0,14200.0,8460547.0,616.0,-16.0
2021-11-23,531.0,595.0,585.0,588.0,6265.0,3688080.8,600.0,-12.0
2021-11-24,433.0,599.7,554.4,575.0,8705.0,4972471.5,588.0,-13.0
2021-11-25,367.0,587.0,569.2,570.0,7276.0,4183681.6,575.0,-5.0
2021-11-28,322.0,591.6,526.0,548.1,9850.0,5420410.0,570.0,-21.9
2021-11-29,273.0,565.0,538.0,546.3,5680.0,3132511.0,548.1,-1.8
2021-11-30,349.0,590.9,538.0,585.0,5912.0,3314131.0,546.3,38.7
2021-12-01,173.0,595.0,556.0,570.0,3338.0,1902363.0,585.0,-15.0
2021-12-02,259.0,570.0,544.0,565.0,8735.0,4858539.0,570.0,-5.0
2021-12-05,238.0,570.0,529.2,549.9,5217.0,2840928.9,565.0,-15.1
2021-12-06,233.0,560.0,507.0,539.9,6515.0,3419928.0,549.9,-10.0
2021-12-07,177.0,550.0,515.0,524.9,6517.0,3419647.1,539.9,-15.0
2021-12-08,147.0,518.0,499.0,509.0,4730.0,2395931.5,524.9,-15.9
2021-12-09,114.0,527.0,500.0,507.0,3765.0,1898855.0,509.0,-2.0
2021-12-12,103.0,507.0,461.3,489.9,5500.0,2627234.0,507.0,-17.1
2021-12-13,115.0,489.8,445.0,445.0,3131.0,1419992.5,489.9,-44.9
2021-12-14,79.0,489.5,437.0,489.5,2824.0,1354829.9,445.0,44.5
2021-12-15,139.0,510.0,451.5,480.5,6477.0,3123590.0,489.5,-9.0
2021-12-16,84.0,490.0,453.9,454.1,3080.0,1420685.0,480.5,-26.4
2021-12-20,93.0,453.9,420.0,430.0,3160.0,1377966.0,454.1,-24.1
2021-12-21,120.0,438.6,415.1,416.0,7301.0,3096587.6,430.0,-14.0
2021-12-22,109.0,452.0,424.0,443.0,6721.0,2910865.9,416.0,27.0
2021-12-23,109.0,459.0,425.4,430.0,4101.0,1794864.7,443.0,-13.0
2021-12-26,109.0,445.0,425.1,434.4,2611.0,1124244.1,430.0,4.4
2021-12-27,84.0,434.0,414.0,415.0,3090.0,1301527.0,434.4,-19.4
2021-12-28,92.0,431.0,404.0,419.0,3243.0,1351425.2,415.0,4.0
2021-12-29,89.0,422.0,405.0,415.0,2891.0,1187995.0,419.0,-4.0
2022-01-02,106.0,428.9,408.0,428.0,2170.0,909541.0,415.0,13.0
2022-01-03,83.0,430.0,415.5,427.3,2585.0,1091430.5,428.0,-0.7
2022-01-04,74.0,430.0,408.1,426.0,1800.0,755491.0,427.3,-1.3
2022-01-05,220.0,460.0,425.0,449.0,11440.0,5125003.0,426.0,23.0
2022-01-06,265.0,493.9,432.0,493.9,15247.0,7350514.2,449.0,44.9
2022-01-09,239.0,530.0,487.1,522.0,15407.0,7826020.0,493.9,28.1
2022-01-10,184.0,550.8,501.0,517.0,7729.0,4037607.0,522.0,-5.0
2022-01-11,163.0,525.0,505.0,519.0,6316.0,3257915.0,517.0,2.0
2022-01-12,214.0,518.0,495.0,496.0,15279.0,7722370.0,519.0,-23.0
2022-01-13,148.0,515.0,486.1,513.0,3810.0,1905556.9,496.0,17.0
2022-01-16,356.0,543.0,502.8,537.0,24382.0,12936090.4,513.0,24.0
2022-01-17,298.0,547.7,519.4,547.0,16720.0,8819934.6,537.0,10.0
2022-01-18,394.0,572.3,531.3,569.0,16461.0,9150812.6,547.0,22.0
2022-01-19,319.0,585.0,542.0,578.0,11092.0,6169083.0,569.0,9.0
2022-01-20,673.0,635.8,557.0,635.8,39442.0,24227909.1,578.0,57.8
2022-01-23,532.0,652.0,615.0,635.0,24095.0,15177206.3,635.8,-0.8
2022-01-24,357.0,645.0,573.3,599.0,25768.0,15329076.1,635.0,-36.0
2022-01-25,212.0,610.9,570.0,589.9,11375.0,6738175.1,599.0,-9.1
2022-01-26,198.0,600.0,550.0,582.0,10531.0,5955045.5,589.9,-7.9
2022-01-27,209.0,598.0,566.5,598.0,6338.0,3688129.6,582.0,16.0
2022-01-30,410.0,617.0,595.2,609.1,15837.0,9621629.6,598.0,11.1
2022-01-31,248.0,627.0,588.0,607.0,11061.0,6730080.2,609.1,-2.1
2022-02-01,326.0,620.0,596.0,611.0,10548.0,6455138.0,607.0,4.0
2022-02-03,546.0,663.0,613.0,635.0,26223.0,16538315.7,611.0,24.0
2022-02-06,234.0,635.0,605.0,607.0,13698.0,8464703.0,635.0,-28.0
2022-02-07,215.0,637.6,594.9,612.0,7990.0,4872429.0,607.0,5.0
2022-02-08,219.0,636.0,589.0,592.1,10431.0,6360125.5,612.0,-19.9
2022-02-09,123.0,603.2,576.2,594.0,3959.0,2308706.0,592.1,1.9
2022-02-10,138.0,591.6,570.0,584.6,7840.0,4533021.5,594.0,-9.4
2022-02-13,158.0,573.0,546.0,547.0,8366.0,4650119.5,584.6,-37.6
2022-02-14,91.0,560.0,536.1,552.0,2717.0,1495213.9,547.0,5.0
2022-02-15,115.0,600.0,541.1,600.0,5415.0,3152916.2,552.0,48.0
2022-02-16,136.0,600.0,570.0,587.0,7512.0,4375624.0,600.0,-13.0
2022-02-17,541.0,642.6,576.3,625.0,32814.0,20446951.1,587.0,38.0
2022-02-20,681.0,687.5,590.0,679.0,49835.0,33049189.7,625.0,54.0
2022-02-21,560.0,728.0,670.0,710.0,27533.0,19303037.6,679.0,31.0
2022-02-22,540.0,780.3,696.0,758.0,24134.0,17807026.3,710.0,48.0
