Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,1.0,98.0,98.0,98.0,20.0,1960.0,97.0,1.0
2012-06-04,41.0,99.0,99.0,99.0,1180.0,116820.0,98.0,1.0
2012-06-05,12.0,99.0,97.0,99.0,1990.0,194850.0,99.0,0.0
2012-06-06,4.0,100.0,99.0,99.0,290.0,28920.0,99.0,0.0
2012-06-10,1.0,99.0,99.0,99.0,30.0,2970.0,99.0,0.0
2012-06-11,2.0,98.0,98.0,98.0,20.0,1960.0,99.0,-1.0
2012-06-12,4.0,99.0,99.0,99.0,120.0,11880.0,98.0,1.0
2012-06-13,11.0,100.0,100.0,100.0,210.0,21000.0,99.0,1.0
2012-06-14,3.0,102.0,100.0,100.0,220.0,22340.0,100.0,0.0
2012-06-17,2.0,99.0,99.0,99.0,20.0,1980.0,100.0,-1.0
2012-06-18,21.0,100.0,99.0,100.0,530.0,52740.0,99.0,1.0
2012-06-19,8.0,100.0,99.0,99.0,390.0,38790.0,100.0,-1.0
2012-06-20,4.0,99.0,98.0,99.0,560.0,54900.0,99.0,0.0
2012-06-21,5.0,100.0,100.0,100.0,160.0,16000.0,99.0,1.0
2012-06-25,2.0,100.0,100.0,100.0,70.0,7000.0,100.0,0.0
2012-06-26,6.0,102.0,101.0,101.0,230.0,23270.0,100.0,1.0
2012-06-27,3.0,101.0,100.0,100.0,70.0,7060.0,101.0,-1.0
2012-06-28,2.0,100.0,100.0,100.0,20.0,2000.0,100.0,0.0
2012-07-01,4.0,102.0,102.0,102.0,40.0,4080.0,100.0,2.0
2012-07-02,1.0,102.0,102.0,102.0,30.0,3060.0,102.0,0.0
2012-07-03,5.0,103.0,101.0,103.0,230.0,23430.0,102.0,1.0
2012-07-04,24.0,104.0,102.0,104.0,3520.0,360450.0,103.0,1.0
2012-07-08,3.0,104.0,104.0,104.0,40.0,4160.0,104.0,0.0
2012-07-09,34.0,105.0,103.0,105.0,430.0,44820.0,104.0,1.0
2012-07-10,3.0,103.0,103.0,103.0,120.0,12360.0,105.0,-2.0
2012-07-11,38.0,104.0,103.0,104.0,1150.0,119500.0,103.0,1.0
2012-07-12,98.0,110.0,103.0,103.0,1200.0,127320.0,104.0,-1.0
2012-07-17,11.0,103.0,103.0,103.0,160.0,16480.0,103.0,0.0
2012-07-22,2.0,106.0,104.0,106.0,140.0,14600.0,103.0,3.0
2012-07-23,4.0,106.0,106.0,106.0,50.0,5300.0,106.0,0.0
2012-07-25,9.0,107.0,106.0,106.0,140.0,14940.0,106.0,0.0
2012-07-29,19.0,106.0,104.0,106.0,550.0,57260.0,106.0,0.0
2012-08-01,3.0,104.0,104.0,104.0,60.0,6240.0,106.0,-2.0
2012-08-05,35.0,105.0,104.0,105.0,460.0,48150.0,104.0,1.0
2012-08-07,8.0,106.0,105.0,105.0,520.0,54620.0,105.0,0.0
2012-08-08,35.0,102.0,102.0,102.0,350.0,35700.0,105.0,-3.0
2012-08-12,2.0,104.0,104.0,104.0,20.0,2080.0,102.0,2.0
2012-08-13,19.0,106.0,106.0,106.0,200.0,21200.0,104.0,2.0
2012-08-16,1.0,104.0,104.0,104.0,10.0,1040.0,106.0,-2.0
2012-08-19,8.0,104.0,102.0,104.0,90.0,9220.0,104.0,0.0
2012-08-21,4.0,104.0,104.0,104.0,80.0,8320.0,104.0,0.0
2012-08-22,3.0,106.0,104.0,106.0,200.0,20840.0,104.0,2.0
2012-08-23,2.0,104.0,104.0,104.0,50.0,5200.0,106.0,-2.0
2012-08-26,4.0,105.0,104.0,105.0,50.0,5220.0,104.0,1.0
2012-08-28,6.0,106.0,105.0,106.0,70.0,7410.0,105.0,1.0
2012-08-29,2.0,106.0,106.0,106.0,40.0,4240.0,106.0,0.0
2012-08-30,3.0,107.0,106.0,107.0,40.0,4260.0,106.0,1.0
2012-09-02,25.0,107.0,105.0,107.0,260.0,27520.0,107.0,0.0
2012-09-06,14.0,107.0,105.0,105.0,190.0,20080.0,107.0,-2.0
2012-09-09,18.0,107.0,105.0,106.0,500.0,53260.0,105.0,1.0
2012-09-10,4.0,105.0,105.0,105.0,90.0,9450.0,106.0,-1.0
2012-09-11,4.0,105.0,105.0,105.0,80.0,8400.0,105.0,0.0
2012-09-12,4.0,107.0,105.0,106.0,80.0,8490.0,105.0,1.0
2012-09-13,3.0,106.0,106.0,106.0,60.0,6360.0,106.0,0.0
2012-09-16,2.0,106.0,106.0,106.0,380.0,40280.0,106.0,0.0
2012-09-17,33.0,109.0,106.0,107.0,370.0,39990.0,106.0,1.0
2012-09-19,3.0,108.0,107.0,108.0,80.0,8580.0,107.0,1.0
2012-09-20,11.0,111.0,108.0,110.0,560.0,61550.0,108.0,2.0
2012-09-23,1.0,109.0,109.0,109.0,30.0,3270.0,110.0,-1.0
2012-09-24,3.0,108.0,108.0,108.0,50.0,5400.0,109.0,-1.0
2012-09-25,2.0,109.0,109.0,109.0,20.0,2180.0,108.0,1.0
2012-09-27,1.0,107.0,107.0,107.0,90.0,9630.0,109.0,-2.0
2012-09-30,6.0,108.0,106.0,107.0,310.0,32940.0,107.0,0.0
2012-10-01,4.0,107.0,105.0,107.0,90.0,9510.0,107.0,0.0
2012-10-02,2.0,108.0,108.0,108.0,40.0,4320.0,107.0,1.0
2012-10-03,5.0,108.0,108.0,108.0,60.0,6480.0,108.0,0.0
2012-10-04,2.0,108.0,108.0,108.0,30.0,3240.0,108.0,0.0
2012-10-07,1.0,106.0,106.0,106.0,110.0,11660.0,108.0,-2.0
2012-10-08,4.0,108.0,108.0,108.0,100.0,10800.0,106.0,2.0
2012-10-09,25.0,108.0,108.0,108.0,350.0,37800.0,108.0,0.0
2012-10-11,4.0,110.0,108.0,108.0,170.0,18580.0,108.0,0.0
2012-10-15,4.0,108.0,108.0,108.0,80.0,8640.0,108.0,0.0
2012-10-17,3.0,108.0,108.0,108.0,30.0,3240.0,108.0,0.0
2012-10-30,1.0,108.0,108.0,108.0,20.0,2160.0,108.0,0.0
2012-10-31,9.0,110.0,109.0,110.0,300.0,32980.0,108.0,2.0
2012-11-01,4.0,110.0,110.0,110.0,80.0,8800.0,110.0,0.0
2012-11-04,1.0,110.0,110.0,110.0,30.0,3300.0,110.0,0.0
2012-11-08,8.0,118.0,112.0,118.0,160.0,18160.0,110.0,8.0
2012-11-20,5.0,116.0,114.0,114.0,290.0,33260.0,118.0,-4.0
2012-11-22,3.0,112.0,112.0,112.0,60.0,6720.0,114.0,-2.0
2012-11-26,1.0,112.0,112.0,112.0,30.0,3360.0,112.0,0.0
2012-11-27,7.0,111.0,110.0,111.0,70.0,7720.0,112.0,-1.0
2012-11-28,11.0,115.0,113.0,115.0,150.0,17050.0,111.0,4.0
2012-12-02,3.0,115.0,115.0,115.0,90.0,10350.0,115.0,0.0
2012-12-03,33.0,125.0,117.0,120.0,600.0,72790.0,115.0,5.0
2012-12-04,16.0,122.0,118.0,119.0,860.0,103110.0,120.0,-1.0
