Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-08-22,3.0,180.0,177.0,179.0,140.0,25040.0,0.0,179.0
2012-10-31,3.0,171.0,165.0,165.0,40.0,6690.0,179.0,-14.0
2012-11-01,4.0,162.0,153.0,153.0,80.0,12570.0,165.0,-12.0
2012-11-04,4.0,150.0,143.0,143.0,80.0,11700.0,153.0,-10.0
2012-11-25,2.0,136.0,134.0,134.0,40.0,5400.0,143.0,-9.0
2012-11-28,3.0,128.0,124.0,124.0,60.0,7560.0,134.0,-10.0
2012-12-02,1.0,122.0,122.0,122.0,10.0,1220.0,124.0,-2.0
2012-12-04,1.0,120.0,120.0,120.0,20.0,2400.0,122.0,-2.0
2012-12-05,9.0,118.0,110.0,110.0,2000.0,226160.0,120.0,-10.0
2012-12-06,33.0,111.0,102.0,108.0,9975.0,1053972.0,110.0,-2.0
2012-12-09,18.0,109.0,102.0,108.0,4489.0,475723.0,108.0,0.0
2012-12-10,15.0,106.0,103.0,104.0,5930.0,618450.0,108.0,-4.0
2012-12-11,8.0,106.0,104.0,106.0,4650.0,490200.0,104.0,2.0
2012-12-12,6.0,106.0,104.0,106.0,2279.0,239146.0,106.0,0.0
2012-12-13,5.0,106.0,104.0,104.0,1520.0,159620.0,106.0,-2.0
2012-12-16,4.0,108.0,106.0,108.0,1600.0,169800.0,104.0,4.0
2012-12-17,19.0,110.0,107.0,110.0,5392.0,587118.0,108.0,2.0
2012-12-18,49.0,110.0,106.0,108.0,11140.0,1196920.0,110.0,-2.0
2012-12-19,43.0,106.0,98.0,100.0,13398.0,1360698.0,108.0,-8.0
2012-12-20,14.0,104.0,101.0,103.0,4789.0,491749.0,100.0,3.0
2012-12-23,3.0,102.0,101.0,101.0,1050.0,106600.0,103.0,-2.0
2012-12-24,2.0,101.0,100.0,101.0,700.0,70350.0,101.0,0.0
2012-12-26,9.0,105.0,102.0,103.0,2056.0,212810.0,101.0,2.0
2012-12-27,4.0,105.0,103.0,103.0,850.0,88150.0,103.0,0.0
2012-12-31,7.0,103.0,101.0,103.0,2370.0,239970.0,103.0,0.0
2013-01-01,20.0,101.0,99.0,100.0,3630.0,363320.0,103.0,-3.0
2013-01-02,4.0,100.0,99.0,99.0,1590.0,157500.0,100.0,-1.0
2013-01-03,25.0,99.0,98.0,98.0,3450.0,339530.0,99.0,-1.0
2013-01-07,8.0,98.0,96.0,97.0,1460.0,140730.0,96.0,1.0
2013-01-09,1.0,96.0,96.0,96.0,120.0,11520.0,97.0,-1.0
2013-01-10,10.0,96.0,96.0,96.0,1200.0,115200.0,96.0,0.0
2013-01-13,5.0,95.0,94.0,95.0,1958.0,185010.0,96.0,-1.0
2013-01-15,14.0,94.0,93.0,94.0,3840.0,358490.0,95.0,-1.0
2013-01-16,13.0,93.0,91.0,92.0,3606.0,329896.0,94.0,-2.0
2013-01-17,3.0,92.0,92.0,92.0,600.0,55200.0,92.0,0.0
2013-01-20,8.0,92.0,91.0,91.0,890.0,81060.0,92.0,-1.0
2013-01-22,2.0,92.0,91.0,91.0,710.0,65110.0,91.0,0.0
2013-01-23,6.0,90.0,90.0,90.0,570.0,51300.0,91.0,-1.0
2013-01-24,2.0,92.0,91.0,92.0,320.0,29340.0,90.0,2.0
2013-01-27,6.0,91.0,91.0,91.0,1378.0,125398.0,92.0,-1.0
2013-01-28,5.0,91.0,90.0,91.0,1590.0,143590.0,91.0,0.0
2013-01-30,7.0,92.0,91.0,91.0,1969.0,179559.0,91.0,0.0
