Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-07-01,1.0,228.0,228.0,228.0,50.0,11400.0,232.0,-4.0
2012-07-17,1.0,228.0,228.0,228.0,1095.0,249660.0,228.0,0.0
2012-07-19,2.0,224.0,224.0,224.0,1030.0,230720.0,228.0,-4.0
2012-08-12,7.0,224.0,220.0,224.0,351.0,77620.0,224.0,0.0
2012-08-13,4.0,220.0,208.0,208.0,40.0,8560.0,224.0,-16.0
2012-08-27,2.0,204.0,200.0,200.0,73.0,14640.0,208.0,-8.0
2012-08-28,11.0,196.0,180.0,180.0,1256.0,228371.0,200.0,-20.0
2012-08-29,31.0,186.0,162.0,177.0,1747.0,300988.0,180.0,-3.0
2012-08-30,16.0,177.0,160.0,160.0,941.0,157704.0,177.0,-17.0
2012-09-02,4.0,169.0,163.0,166.0,613.0,101689.0,160.0,6.0
2012-09-03,1.0,169.0,169.0,169.0,100.0,16900.0,166.0,3.0
2012-09-04,9.0,168.0,160.0,161.0,643.0,105091.0,169.0,-8.0
2012-09-05,13.0,162.0,155.0,158.0,9355.0,1459991.0,161.0,-3.0
2012-09-06,9.0,162.0,156.0,157.0,441.0,69825.0,158.0,-1.0
2012-09-09,11.0,155.0,145.0,151.0,227.0,33795.0,157.0,-6.0
2012-09-10,9.0,157.0,150.0,151.0,388.0,58765.0,151.0,0.0
2012-09-11,1.0,152.0,152.0,152.0,31.0,4712.0,151.0,1.0
2012-09-12,8.0,157.0,153.0,156.0,718.0,111742.0,152.0,4.0
2012-09-13,13.0,160.0,156.0,157.0,3840.0,613095.0,156.0,1.0
2012-09-16,16.0,170.0,160.0,170.0,1000.0,167425.0,157.0,13.0
2012-09-17,4.0,174.0,171.0,174.0,85.0,14677.0,170.0,4.0
2012-09-20,2.0,171.0,168.0,168.0,10027.0,1684617.0,174.0,-6.0
2012-09-23,10.0,180.0,171.0,177.0,621.0,108642.0,168.0,9.0
2012-09-24,1.0,180.0,180.0,180.0,68.0,12240.0,177.0,3.0
2012-09-26,2.0,177.0,174.0,174.0,66.0,11589.0,180.0,-6.0
2012-10-03,22.0,171.0,163.0,165.0,2146.0,351867.0,174.0,-9.0
2012-10-04,21.0,180.0,165.0,177.0,12694.0,2131909.0,165.0,12.0
2012-10-07,17.0,178.0,166.0,166.0,2850.0,481391.0,177.0,-11.0
2012-10-08,23.0,168.0,162.0,162.0,3049.0,502626.0,166.0,-4.0
2012-11-18,4.0,171.0,162.0,171.0,240.0,40860.0,162.0,9.0
2012-11-22,2.0,177.0,174.0,177.0,245.0,42819.0,171.0,6.0
2012-11-25,1.0,180.0,180.0,180.0,50.0,9000.0,177.0,3.0
2012-12-04,1.0,178.0,178.0,178.0,63.0,11214.0,180.0,-2.0
2012-12-12,4.0,177.0,168.0,168.0,297.0,51516.0,178.0,-10.0
2012-12-13,1.0,168.0,168.0,168.0,31.0,5208.0,168.0,0.0
2012-12-17,1.0,165.0,165.0,165.0,170.0,28050.0,168.0,-3.0
2012-12-20,1.0,165.0,165.0,165.0,90.0,14850.0,165.0,0.0
2012-12-31,1.0,165.0,165.0,165.0,168.0,27720.0,165.0,0.0
2013-01-15,1.0,168.0,168.0,168.0,24.0,4032.0,165.0,3.0
2013-01-24,1.0,165.0,165.0,165.0,195.0,32175.0,168.0,-3.0
2013-01-31,3.0,162.0,162.0,162.0,43.0,6966.0,165.0,-3.0
2013-02-03,1.0,159.0,159.0,159.0,46.0,7314.0,162.0,-3.0
2013-02-04,1.0,160.0,160.0,160.0,45.0,7200.0,159.0,1.0
2013-02-05,4.0,159.0,159.0,159.0,180.0,28620.0,160.0,-1.0
2013-02-07,1.0,156.0,156.0,156.0,41.0,6396.0,159.0,-3.0
2013-02-14,4.0,153.0,150.0,150.0,300.0,45582.0,156.0,-6.0
2013-02-19,1.0,150.0,150.0,150.0,30.0,4500.0,150.0,0.0
2013-02-24,1.0,148.0,148.0,148.0,100.0,14800.0,150.0,-2.0
2013-02-26,1.0,146.0,146.0,146.0,300.0,43800.0,148.0,-2.0
2013-02-27,11.0,144.0,142.0,142.0,1423.0,203122.0,146.0,-4.0
2013-02-28,7.0,140.0,136.0,138.0,527.0,72518.0,142.0,-4.0
2013-03-03,2.0,138.0,138.0,138.0,362.0,49956.0,138.0,0.0
2013-03-04,4.0,141.0,140.0,141.0,173.0,24289.0,138.0,3.0
2013-03-07,3.0,143.0,140.0,143.0,248.0,35044.0,141.0,2.0
2013-03-11,7.0,146.0,143.0,146.0,423.0,60899.0,143.0,3.0
2013-03-17,1.0,148.0,148.0,148.0,100.0,14800.0,146.0,2.0
2013-03-18,6.0,155.0,150.0,152.0,1322.0,200865.0,148.0,4.0
2013-03-19,5.0,156.0,150.0,154.0,478.0,73040.0,152.0,2.0
2013-03-21,6.0,157.0,154.0,157.0,417.0,64778.0,154.0,3.0
2013-03-24,4.0,157.0,154.0,157.0,451.0,70444.0,157.0,0.0
2013-03-25,4.0,157.0,154.0,154.0,956.0,149948.0,157.0,-3.0
2013-03-27,1.0,151.0,151.0,151.0,161.0,24311.0,154.0,-3.0
2013-04-01,1.0,148.0,148.0,148.0,158.0,23384.0,151.0,-3.0
2013-04-03,2.0,146.0,146.0,146.0,180.0,26280.0,148.0,-2.0
2013-04-04,2.0,148.0,148.0,148.0,50.0,7400.0,146.0,2.0
2013-04-16,1.0,144.0,144.0,144.0,21.0,3024.0,146.0,-2.0
2013-04-18,5.0,145.0,142.0,145.0,104.0,14863.0,144.0,1.0
2013-04-21,1.0,143.0,143.0,143.0,95.0,13585.0,145.0,-2.0
2013-04-23,2.0,145.0,144.0,145.0,125.0,18095.0,143.0,2.0
2013-04-25,3.0,143.0,139.0,139.0,251.0,35239.0,145.0,-6.0
2013-04-28,2.0,137.0,135.0,135.0,222.0,30160.0,139.0,-4.0
2013-04-30,5.0,139.0,135.0,139.0,974.0,132030.0,135.0,4.0
2013-05-02,10.0,147.0,141.0,147.0,592.0,85168.0,139.0,8.0
2013-05-05,1.0,146.0,146.0,146.0,83.0,12118.0,147.0,-1.0
2013-05-07,6.0,144.0,142.0,142.0,210.0,30170.0,146.0,-4.0
2013-05-08,1.0,143.0,143.0,143.0,140.0,20020.0,142.0,1.0
2013-05-09,1.0,143.0,143.0,143.0,250.0,35750.0,143.0,0.0
2013-05-12,5.0,141.0,134.0,134.0,220.0,30260.0,143.0,-9.0
2013-05-13,7.0,139.0,134.0,139.0,351.0,47327.0,134.0,5.0
2013-05-14,6.0,141.0,135.0,141.0,191.0,26311.0,139.0,2.0
2013-05-15,1.0,141.0,141.0,141.0,24.0,3384.0,141.0,0.0
2013-05-16,4.0,141.0,141.0,141.0,400.0,56400.0,141.0,0.0
2013-05-19,7.0,139.0,134.0,136.0,488.0,66387.0,141.0,-5.0
2013-05-20,16.0,136.0,133.0,135.0,795.0,107223.0,136.0,-1.0
2013-05-21,4.0,139.0,137.0,139.0,140.0,19320.0,135.0,4.0
2013-05-22,4.0,141.0,135.0,135.0,114.0,15694.0,139.0,-4.0
2013-05-23,3.0,139.0,137.0,137.0,197.0,27021.0,135.0,2.0
2013-05-26,1.0,135.0,135.0,135.0,127.0,17145.0,137.0,-2.0
2013-05-27,2.0,133.0,133.0,133.0,70.0,9310.0,135.0,-2.0
2013-05-30,1.0,135.0,135.0,135.0,126.0,17010.0,133.0,2.0
2013-06-02,1.0,135.0,135.0,135.0,35.0,4725.0,135.0,0.0
2013-06-03,3.0,141.0,137.0,141.0,113.0,15827.0,135.0,6.0
2013-06-04,5.0,146.0,143.0,145.0,249.0,36045.0,141.0,4.0
2013-06-05,1.0,146.0,146.0,146.0,32.0,4672.0,145.0,1.0
2013-06-10,1.0,144.0,144.0,144.0,70.0,10080.0,146.0,-2.0
2013-06-11,1.0,144.0,144.0,144.0,35.0,5040.0,144.0,0.0
2013-06-12,3.0,142.0,140.0,140.0,233.0,32946.0,144.0,-4.0
2013-06-13,1.0,141.0,141.0,141.0,51.0,7191.0,140.0,1.0
2013-06-16,2.0,145.0,143.0,145.0,96.0,13830.0,141.0,4.0
2013-06-17,1.0,143.0,143.0,143.0,27.0,3861.0,145.0,-2.0
2013-06-20,42.0,145.0,138.0,143.0,8925.0,1244369.0,143.0,0.0
2013-06-23,4.0,141.0,139.0,140.0,123.0,17184.0,143.0,-3.0
2013-06-24,1.0,142.0,142.0,142.0,20.0,2840.0,140.0,2.0
2013-06-25,1.0,140.0,140.0,140.0,100.0,14000.0,142.0,-2.0
2013-07-01,5.0,138.0,133.0,133.0,279.0,37654.0,140.0,-7.0
2013-07-02,3.0,134.0,132.0,134.0,198.0,26238.0,133.0,1.0
2013-07-03,3.0,134.0,132.0,132.0,320.0,42810.0,134.0,-2.0
