Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-12-16,2.0,165.0,162.0,162.0,7894.0,1290669.0,120.0,42.0
2012-12-19,1.0,159.0,159.0,159.0,6856.0,1090104.0,162.0,-3.0
2012-12-24,2.0,156.0,156.0,156.0,7894.0,1231464.0,159.0,-3.0
2012-12-26,3.0,153.0,153.0,153.0,19520.0,2986560.0,156.0,-3.0
2012-12-27,4.0,150.0,147.0,147.0,58851.0,8761650.0,153.0,-6.0
2015-12-22,5.0,147.0,147.0,147.0,23794.0,3497718.0,147.0,0.0
2015-12-24,1.0,149.0,149.0,149.0,17100.0,2547900.0,147.0,2.0
2015-12-27,1.0,147.0,147.0,147.0,22475.0,3303825.0,149.0,-2.0
2016-04-12,21.0,158.0,151.0,158.0,17113.0,2676464.0,158.0,0.0
2016-06-05,1.0,158.0,158.0,158.0,47025.0,7429950.0,158.0,0.0
2016-06-28,3.0,158.0,158.0,158.0,44938.0,7100204.0,158.0,0.0
2016-06-30,1.0,158.0,158.0,158.0,28175.0,4451650.0,158.0,0.0
2016-07-04,7.0,158.0,158.0,158.0,110943.0,17528994.0,158.0,0.0
2016-07-05,2.0,160.0,158.0,158.0,6333.0,1013244.0,158.0,0.0
2016-07-06,2.0,158.0,158.0,158.0,12630.0,1995540.0,158.0,0.0
2016-07-11,3.0,158.0,158.0,158.0,51918.0,8203044.0,158.0,0.0
2016-07-13,1.0,158.0,158.0,158.0,6337.0,1001246.0,158.0,0.0
2016-07-17,1.0,158.0,158.0,158.0,6925.0,1094150.0,158.0,0.0
2016-08-31,1.0,158.0,158.0,158.0,130167.0,20566386.0,158.0,0.0
2016-09-14,5.0,173.0,161.0,173.0,19498.0,3287831.0,158.0,15.0
