Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-07-16,1.0,270.0,270.0,270.0,34.0,9180.0,275.0,-5.0
2012-11-04,1.0,265.0,265.0,265.0,101.0,26765.0,270.0,-5.0
2013-07-30,5.0,260.0,241.0,241.0,50.0,12510.0,265.0,-24.0
2013-07-31,7.0,237.0,217.0,217.0,80.0,17960.0,241.0,-24.0
2013-08-01,3.0,213.0,205.0,205.0,30.0,6270.0,217.0,-12.0
2013-08-08,1.0,201.0,201.0,201.0,50.0,10050.0,205.0,-4.0
2013-08-11,1.0,197.0,197.0,197.0,10.0,1970.0,201.0,-4.0
2013-08-12,3.0,194.0,188.0,188.0,30.0,5730.0,197.0,-9.0
2013-08-14,3.0,185.0,179.0,179.0,30.0,5460.0,188.0,-9.0
2013-08-15,6.0,176.0,170.0,170.0,150.0,26160.0,179.0,-9.0
2013-08-18,14.0,173.0,159.0,159.0,838.0,141012.0,170.0,-11.0
2013-08-19,35.0,170.0,144.0,170.0,3482.0,529151.0,159.0,11.0
2013-08-20,41.0,178.0,165.0,170.0,7395.0,1265666.0,170.0,0.0
2013-08-25,41.0,187.0,170.0,187.0,11610.0,2155065.0,170.0,17.0
2013-08-26,19.0,205.0,190.0,205.0,6344.0,1299980.0,187.0,18.0
2013-08-27,54.0,225.0,201.0,201.0,10745.0,2283397.0,205.0,-4.0
2013-08-29,26.0,198.0,185.0,185.0,2720.0,524406.0,201.0,-16.0
2013-09-01,24.0,183.0,167.0,170.0,7793.0,1347511.0,185.0,-15.0
2013-09-02,4.0,176.0,173.0,173.0,350.0,61000.0,170.0,3.0
2013-09-03,12.0,176.0,167.0,170.0,1883.0,320685.0,173.0,-3.0
2013-09-04,11.0,173.0,167.0,173.0,1434.0,244038.0,170.0,3.0
2013-09-05,5.0,176.0,170.0,170.0,2136.0,366876.0,173.0,-3.0
2013-09-08,2.0,167.0,167.0,167.0,364.0,60788.0,170.0,-3.0
2013-09-09,1.0,164.0,164.0,164.0,34.0,5576.0,167.0,-3.0
2013-09-10,4.0,164.0,161.0,164.0,1500.0,242800.0,164.0,0.0
2013-09-11,4.0,163.0,161.0,163.0,908.0,146936.0,164.0,-1.0
2013-09-12,3.0,160.0,160.0,160.0,824.0,131840.0,163.0,-3.0
