Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2022-05-27,4.0,1259.9,1211.0,1259.9,40.0,49171.0,0.0,48.9
2022-05-30,8.0,1363.6,1257.7,1363.6,70.0,90771.0,1259.9,103.7
2022-05-31,8.0,1475.8,1363.6,1475.8,50.0,71263.6,1363.6,112.2
2022-06-01,4.0,1535.4,1505.3,1535.4,30.0,45524.0,1475.8,59.6
2022-06-02,2.0,1597.4,1566.1,1597.4,20.0,31635.0,1535.4,62.0
2022-06-03,6.0,1757.1,1603.3,1757.1,60.0,101003.0,1597.4,159.7
2022-06-06,13.0,1932.8,1792.2,1932.8,130.0,247816.0,1757.1,175.7
2022-06-07,19.0,2126.0,1971.4,2126.0,190.0,400152.0,1932.8,193.2
2022-06-08,9.0,2338.6,2168.5,2338.6,90.0,206304.0,2126.0,212.6
2022-06-09,16.0,2572.4,2385.3,2572.4,160.0,406999.0,2338.6,233.8
2022-06-10,155.0,2829.6,2572.0,2829.6,1857.0,5223049.2,2572.4,257.2
2022-06-13,1819.0,3112.5,2700.0,2702.0,20060.0,56364035.0,2829.6,-127.6
2022-06-14,973.0,2740.0,2560.0,2564.0,11051.0,28760198.2,2702.0,-138.0
2022-06-15,501.0,2565.0,2425.0,2508.2,5667.0,14031019.5,2564.0,-55.8
2022-06-16,274.0,2550.0,2460.0,2550.0,3304.0,8256605.6,2508.2,41.8
2022-06-17,74.0,2601.0,2526.3,2545.0,1720.0,4391421.2,2550.0,-5.0
2022-06-19,163.0,2550.0,2490.1,2502.0,2230.0,5591690.0,2545.0,-43.0
2022-06-20,188.0,2500.0,2405.1,2415.0,3197.0,7799295.6,2502.0,-87.0
2022-06-21,128.0,2510.0,2400.0,2499.0,2325.0,5742481.5,2415.0,84.0
2022-06-22,92.0,2476.0,2420.1,2465.0,1530.0,3742084.2,2499.0,-34.0
2022-06-23,131.0,2430.0,2380.0,2386.0,2552.0,6123800.0,2465.0,-79.0
2022-06-24,64.0,2478.6,2343.0,2428.0,855.0,2055319.0,2386.0,42.0
2022-06-26,153.0,2574.0,2445.0,2540.0,2977.0,7511151.5,2428.0,112.0
2022-06-27,122.0,2590.0,2470.0,2496.1,2608.0,6555563.9,2540.0,-43.9
2022-06-28,76.0,2499.9,2447.0,2485.0,1137.0,2802359.0,2496.1,-11.1
2022-06-30,131.0,2697.0,2525.0,2645.0,3160.0,8366140.0,2525.0,120.0
2022-07-01,67.0,2697.0,2598.0,2656.0,1478.0,3922518.5,2645.0,11.0
2022-07-03,145.0,2799.0,2601.9,2799.0,2651.0,7148651.0,2656.0,143.0
2022-07-04,230.0,2998.8,2742.0,2750.0,4905.0,14040845.0,2799.0,-49.0
2022-07-05,135.0,2906.7,2645.0,2710.0,2558.0,6988640.0,2750.0,-40.0
2022-07-06,130.0,2758.9,2663.0,2730.0,1991.0,5411855.4,2710.0,20.0
2022-07-07,88.0,2849.9,2702.0,2716.0,1485.0,4086079.0,2730.0,-14.0
2022-07-08,54.0,2770.0,2670.7,2675.0,945.0,2541877.0,2716.0,-41.0
