Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-05,2.0,6300.0,6300.0,6300.0,20.0,126000.0,6306.0,-6.0
2012-06-12,1.0,6300.0,6300.0,6300.0,10.0,63000.0,6300.0,0.0
2012-06-13,1.0,6300.0,6300.0,6300.0,20.0,126000.0,6300.0,0.0
2012-06-25,1.0,6300.0,6300.0,6300.0,40.0,252000.0,6300.0,0.0
2012-07-03,1.0,6300.0,6300.0,6300.0,20.0,126000.0,6300.0,0.0
2012-07-16,1.0,6426.0,6426.0,6426.0,10.0,64260.0,6300.0,126.0
2012-07-17,2.0,6685.0,6554.0,6685.0,20.0,132390.0,6426.0,259.0
2012-07-24,1.0,6600.0,6600.0,6600.0,30.0,198000.0,6685.0,-85.0
2012-08-06,2.0,6733.0,6732.0,6733.0,120.0,807940.0,6600.0,133.0
2012-08-07,1.0,6810.0,6810.0,6810.0,10.0,68100.0,6733.0,77.0
2012-08-13,2.0,7084.0,6946.0,7084.0,20.0,140300.0,6810.0,274.0
2012-08-16,2.0,7369.0,7225.0,7369.0,20.0,145940.0,7084.0,285.0
2012-08-19,1.0,7500.0,7500.0,7500.0,10.0,75000.0,7369.0,131.0
2012-08-23,1.0,7650.0,7650.0,7650.0,180.0,1377000.0,7500.0,150.0
2012-08-27,2.0,7854.0,7700.0,7854.0,30.0,232540.0,7650.0,204.0
2012-09-03,1.0,7995.0,7995.0,7995.0,10.0,79950.0,7854.0,141.0
2012-09-04,2.0,8200.0,8154.0,8200.0,20.0,163540.0,7995.0,205.0
2012-09-09,2.0,8280.0,8200.0,8280.0,20.0,164800.0,8200.0,80.0
2012-09-10,2.0,8150.0,8150.0,8150.0,130.0,1059500.0,8280.0,-130.0
2012-09-16,2.0,7987.0,7828.0,7828.0,20.0,158150.0,8150.0,-322.0
2012-09-18,1.0,7672.0,7672.0,7672.0,10.0,76720.0,7828.0,-156.0
2012-09-20,1.0,7519.0,7519.0,7519.0,10.0,75190.0,7672.0,-153.0
2012-10-02,2.0,7500.0,7369.0,7500.0,20.0,148690.0,7519.0,-19.0
2012-10-10,1.0,7350.0,7350.0,7350.0,30.0,220500.0,7500.0,-150.0
2012-11-25,1.0,7497.0,7497.0,7497.0,20.0,149940.0,7350.0,147.0
2012-12-03,1.0,7646.0,7646.0,7646.0,10.0,76460.0,7497.0,149.0
2012-12-06,3.0,8112.0,7798.0,8112.0,30.0,238630.0,7646.0,466.0
2012-12-18,6.0,8923.0,8274.0,8923.0,70.0,608680.0,8112.0,811.0
2012-12-19,10.0,9815.0,9101.0,9815.0,160.0,1544370.0,8923.0,892.0
2012-12-20,4.0,10080.0,9500.0,10080.0,40.0,391530.0,9815.0,265.0
2012-12-23,2.0,9879.0,9682.0,9682.0,20.0,195610.0,10080.0,-398.0
