Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2019-01-13,1193.0,224.0,224.0,224.0,51875.0,11620000.0,224.0,0.0
2019-01-14,2.0,235.0,235.0,235.0,40.0,9400.0,224.0,11.0
2019-01-15,87.0,258.0,235.0,258.0,3685.0,949980.0,235.0,23.0
2019-01-16,87.0,283.0,258.0,283.0,3690.0,1044030.0,258.0,25.0
2019-01-17,1250.0,311.0,283.0,311.0,57490.0,17879130.0,283.0,28.0
2019-01-20,13485.0,342.0,280.0,292.0,771098.0,246529674.0,311.0,-19.0
2019-01-21,7801.0,292.0,263.0,263.0,403800.0,109118418.0,292.0,-29.0
2019-01-22,3691.0,266.0,237.0,260.0,217311.0,54768950.0,263.0,-3.0
2019-01-23,1996.0,286.0,255.0,278.0,138867.0,37722402.0,260.0,18.0
2019-01-24,1904.0,285.0,270.0,274.0,122167.0,33758245.0,278.0,-4.0
2019-01-27,1943.0,279.0,261.0,267.0,121117.0,32463556.0,274.0,-7.0
2019-01-28,1223.0,270.0,266.0,267.0,64493.0,17282256.0,267.0,0.0
2019-01-29,1287.0,267.0,258.0,260.0,95372.0,24964966.0,267.0,-7.0
2019-01-30,1091.0,260.0,256.0,256.0,53226.0,13679435.0,260.0,-4.0
2019-01-31,1124.0,260.0,253.0,258.0,57691.0,14843925.0,256.0,2.0
2019-02-03,1377.0,258.0,251.0,253.0,99156.0,25089666.0,258.0,-5.0
2019-02-04,1379.0,253.0,245.0,246.0,95240.0,23533289.0,253.0,-7.0
2019-02-05,1049.0,248.0,240.0,243.0,104687.0,25502668.0,246.0,-3.0
2019-02-06,1277.0,243.0,237.0,238.0,67848.0,16240286.0,243.0,-5.0
2019-02-07,891.0,238.0,233.0,238.0,59830.0,14111779.0,238.0,0.0
2019-02-10,1026.0,238.0,229.0,231.0,59960.0,13938900.0,238.0,-7.0
2019-02-11,917.0,237.0,227.0,232.0,61013.0,14065694.0,231.0,1.0
2019-02-12,732.0,232.0,230.0,231.0,38083.0,8790743.0,232.0,-1.0
2019-02-13,728.0,232.0,229.0,230.0,41724.0,9613300.0,231.0,-1.0
2019-02-14,1103.0,230.0,224.0,228.0,69628.0,15711303.0,230.0,-2.0
