Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-04,9.0,100.0,95.0,100.0,260.0,25160.0,97.0,3.0
2012-06-05,4.0,102.0,99.0,100.0,50.0,5030.0,100.0,0.0
2012-06-10,5.0,102.0,98.0,102.0,180.0,17870.0,100.0,2.0
2012-06-11,13.0,108.0,100.0,104.0,220.0,22920.0,102.0,2.0
2012-06-12,1.0,102.0,102.0,102.0,70.0,7140.0,104.0,-2.0
2012-06-17,4.0,102.0,102.0,102.0,40.0,4080.0,102.0,0.0
2012-06-18,3.0,100.0,100.0,100.0,40.0,4000.0,102.0,-2.0
2012-06-20,2.0,98.0,98.0,98.0,20.0,1960.0,100.0,-2.0
2012-07-03,33.0,97.0,90.0,90.0,680.0,63820.0,98.0,-8.0
2012-07-04,12.0,92.0,89.0,89.0,790.0,71560.0,90.0,-1.0
2012-07-05,7.0,89.0,88.0,88.0,140.0,12400.0,89.0,-1.0
2012-07-08,20.0,87.0,85.0,86.0,230.0,19830.0,88.0,-2.0
2012-07-09,39.0,86.0,85.0,85.0,520.0,44570.0,86.0,-1.0
2012-07-10,6.0,85.0,84.0,85.0,90.0,7610.0,85.0,0.0
2012-07-11,12.0,85.0,83.0,83.0,320.0,26980.0,85.0,-2.0
2012-07-12,13.0,91.0,82.0,91.0,350.0,30550.0,83.0,8.0
2012-07-15,14.0,100.0,92.0,100.0,170.0,16530.0,91.0,9.0
2012-07-23,4.0,98.0,98.0,98.0,90.0,8820.0,100.0,-2.0
2012-07-24,2.0,97.0,96.0,96.0,50.0,4820.0,98.0,-2.0
2012-07-25,10.0,96.0,96.0,96.0,100.0,9600.0,96.0,0.0
2012-07-26,14.0,95.0,91.0,91.0,550.0,51370.0,96.0,-5.0
2012-07-29,3.0,90.0,90.0,90.0,30.0,2700.0,91.0,-1.0
2012-07-30,17.0,90.0,89.0,89.0,210.0,18810.0,90.0,-1.0
2012-07-31,33.0,89.0,86.0,86.0,710.0,62010.0,89.0,-3.0
2012-08-01,19.0,89.0,86.0,87.0,550.0,48180.0,86.0,1.0
2012-08-05,10.0,88.0,87.0,87.0,170.0,14940.0,87.0,0.0
2012-08-06,5.0,88.0,87.0,87.0,120.0,10510.0,87.0,0.0
2012-08-07,18.0,90.0,87.0,89.0,290.0,25390.0,87.0,2.0
2012-08-08,6.0,88.0,87.0,88.0,180.0,15830.0,89.0,-1.0
2012-08-14,10.0,89.0,89.0,89.0,100.0,8900.0,88.0,1.0
2012-08-15,16.0,90.0,90.0,90.0,160.0,14400.0,89.0,1.0
2012-08-19,16.0,91.0,91.0,91.0,160.0,14560.0,90.0,1.0
