Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2015-11-09,1.0,312.0,312.0,312.0,10.0,3120.0,0.0,312.0
2015-11-10,14.0,343.0,318.0,343.0,168.0,56974.0,312.0,31.0
2015-11-29,5.0,376.0,349.0,376.0,50.0,18110.0,343.0,33.0
2015-11-30,1.0,383.0,383.0,383.0,10.0,3830.0,376.0,7.0
2015-12-01,3.0,404.0,390.0,404.0,30.0,11910.0,383.0,21.0
2015-12-02,2.0,420.0,412.0,420.0,20.0,8320.0,404.0,16.0
2015-12-03,2.0,436.0,428.0,436.0,28.0,12128.0,420.0,16.0
2015-12-07,5.0,479.0,444.0,479.0,76.0,35397.0,436.0,43.0
2015-12-08,29.0,526.0,502.0,526.0,319.0,167374.0,479.0,47.0
2015-12-09,13.0,578.0,536.0,578.0,130.0,74070.0,526.0,52.0
2015-12-10,5.0,635.0,589.0,635.0,92.0,56723.0,578.0,57.0
2015-12-13,5.0,698.0,647.0,698.0,50.0,33610.0,635.0,63.0
2015-12-14,6.0,767.0,711.0,767.0,85.0,62913.0,698.0,69.0
2015-12-15,38.0,843.0,782.0,843.0,648.0,544734.0,767.0,76.0
2015-12-16,296.0,927.0,859.0,927.0,4082.0,3758702.0,843.0,84.0
2015-12-17,730.0,1019.0,945.0,1019.0,11089.0,11244886.0,927.0,92.0
2015-12-20,1156.0,1044.0,967.0,980.0,16297.0,16358504.0,1019.0,-39.0
2015-12-21,620.0,985.0,900.0,951.0,7937.0,7457761.0,980.0,-29.0
2015-12-22,511.0,1020.0,953.0,1020.0,6941.0,6883939.0,951.0,69.0
2015-12-23,571.0,1075.0,1000.0,1050.0,9042.0,9389896.0,1020.0,30.0
2015-12-24,473.0,1155.0,1029.0,1155.0,7798.0,8682538.0,1050.0,105.0
2015-12-27,315.0,1178.0,1110.0,1161.0,8188.0,9417372.0,1155.0,6.0
2015-12-28,363.0,1175.0,1141.0,1153.0,7129.0,8220929.0,1161.0,-8.0
2015-12-29,469.0,1170.0,1108.0,1170.0,7982.0,9238237.0,1153.0,17.0
2015-12-31,298.0,1203.0,1084.0,1200.0,5459.0,6434808.0,1170.0,30.0
2016-01-03,325.0,1225.0,1180.0,1225.0,6898.0,8332539.0,1200.0,25.0
2016-01-04,162.0,1235.0,1172.0,1195.0,3188.0,3853176.0,1225.0,-30.0
2016-01-05,314.0,1200.0,1170.0,1184.0,4100.0,4824598.0,1195.0,-11.0
2016-01-06,289.0,1190.0,1105.0,1136.0,3875.0,4451058.0,1184.0,-48.0
2016-01-07,128.0,1155.0,1120.0,1136.0,1902.0,2159761.0,1136.0,0.0
2016-01-10,277.0,1175.0,1130.0,1175.0,6088.0,7061038.0,1136.0,39.0
2016-01-11,338.0,1175.0,1130.0,1161.0,5645.0,6537069.0,1175.0,-14.0
2016-01-12,572.0,1208.0,1100.0,1201.0,7670.0,8902409.0,1161.0,40.0
2016-01-13,293.0,1250.0,1195.0,1228.0,10301.0,12567083.0,1201.0,27.0
2016-01-14,422.0,1275.0,1200.0,1249.0,7928.0,9768681.0,1228.0,21.0
2016-01-31,5.0,1373.0,1273.0,1373.0,100.0,132320.0,1249.0,124.0
2016-02-01,14.0,1505.0,1400.0,1503.0,1240.0,1851800.0,1373.0,130.0
2016-02-02,8.0,1500.0,1475.0,1475.0,753.0,1121125.0,1503.0,-28.0
2016-02-03,5.0,1479.0,1450.0,1470.0,332.0,486240.0,1475.0,-5.0
2016-02-04,8.0,1442.0,1415.0,1440.0,810.0,1161140.0,1470.0,-30.0
2016-02-07,6.0,1468.0,1412.0,1412.0,550.0,795650.0,1440.0,-28.0
2016-02-14,1.0,1439.0,1439.0,1439.0,400.0,575600.0,1412.0,27.0
2016-02-15,19.0,1411.0,1330.0,1370.0,2349.0,3233035.0,1439.0,-69.0
2016-02-16,7.0,1380.0,1360.0,1360.0,745.0,1019800.0,1370.0,-10.0
2016-02-18,1.0,1387.0,1387.0,1387.0,10.0,13870.0,1360.0,27.0
2016-02-21,4.0,1360.0,1333.0,1335.0,48.0,64356.0,1387.0,-52.0
2016-02-22,11.0,1330.0,1315.0,1330.0,350.0,462950.0,1335.0,-5.0
2016-02-23,5.0,1305.0,1279.0,1279.0,103.0,133385.0,1330.0,-51.0
2016-02-24,3.0,1255.0,1230.0,1254.0,386.0,477760.0,1279.0,-25.0
2016-02-25,6.0,1240.0,1220.0,1240.0,112.0,137546.0,1254.0,-14.0
2016-02-28,6.0,1260.0,1230.0,1250.0,90.0,111930.0,1240.0,10.0
2016-02-29,14.0,1375.0,1275.0,1335.0,3061.0,4028785.0,1250.0,85.0
2016-03-01,12.0,1371.0,1340.0,1340.0,952.0,1282262.0,1335.0,5.0
2016-03-02,13.0,1393.0,1320.0,1393.0,1604.0,2187260.0,1340.0,53.0
2016-03-06,11.0,1420.0,1388.0,1420.0,570.0,800290.0,1393.0,27.0
2016-03-10,37.0,1560.0,1448.0,1559.0,4791.0,7153242.0,1420.0,139.0
2016-03-13,27.0,1621.0,1549.0,1605.0,2631.0,4131610.0,1559.0,46.0
2016-03-14,10.0,1600.0,1559.0,1559.0,2140.0,3372220.0,1605.0,-46.0
2016-03-15,11.0,1570.0,1501.0,1501.0,3596.0,5626100.0,1559.0,-58.0
2016-03-16,2.0,1500.0,1472.0,1500.0,125.0,184644.0,1501.0,-1.0
2016-03-17,3.0,1505.0,1475.0,1475.0,472.0,703860.0,1500.0,-25.0
2016-03-20,10.0,1490.0,1450.0,1461.0,1332.0,1967578.0,1475.0,-14.0
2016-03-21,4.0,1468.0,1440.0,1465.0,314.0,455220.0,1461.0,4.0
2016-03-23,6.0,1440.0,1440.0,1440.0,110.0,158400.0,1465.0,-25.0
2016-03-24,2.0,1412.0,1385.0,1385.0,112.0,157820.0,1440.0,-55.0
2016-03-27,6.0,1361.0,1346.0,1346.0,172.0,233554.0,1385.0,-39.0
2016-03-28,16.0,1385.0,1320.0,1385.0,1004.0,1347276.0,1346.0,39.0
2016-03-29,20.0,1485.0,1400.0,1450.0,999.0,1450150.0,1385.0,65.0
2016-03-30,12.0,1450.0,1421.0,1421.0,1248.0,1782440.0,1450.0,-29.0
2016-03-31,5.0,1400.0,1393.0,1400.0,916.0,1277770.0,1421.0,-21.0
2016-04-03,6.0,1415.0,1375.0,1415.0,420.0,592790.0,1400.0,15.0
2016-04-04,10.0,1387.0,1370.0,1385.0,1383.0,1897660.0,1415.0,-30.0
2016-04-05,2.0,1370.0,1370.0,1370.0,32.0,43840.0,1385.0,-15.0
2016-04-06,4.0,1380.0,1370.0,1370.0,223.0,306533.0,1370.0,0.0
2016-04-10,11.0,1351.0,1342.0,1342.0,496.0,669543.0,1370.0,-28.0
2016-04-11,7.0,1350.0,1320.0,1350.0,681.0,914385.0,1342.0,8.0
2016-04-12,8.0,1350.0,1345.0,1345.0,267.0,360187.0,1350.0,-5.0
2016-04-14,9.0,1405.0,1371.0,1405.0,403.0,556205.0,1345.0,60.0
2016-04-17,8.0,1415.0,1390.0,1390.0,350.0,487230.0,1405.0,-15.0
2016-04-18,7.0,1399.0,1385.0,1385.0,298.0,413677.0,1390.0,-5.0
2016-04-19,11.0,1400.0,1360.0,1376.0,180.0,247910.0,1385.0,-9.0
2016-04-20,11.0,1380.0,1349.0,1376.0,377.0,514974.0,1376.0,0.0
2016-04-21,14.0,1400.0,1353.0,1372.0,292.0,401905.0,1376.0,-4.0
2016-04-24,8.0,1380.0,1355.0,1370.0,245.0,334450.0,1372.0,-2.0
2016-04-25,14.0,1380.0,1360.0,1380.0,243.0,333065.0,1370.0,10.0
2016-04-26,28.0,1410.0,1368.0,1388.0,2050.0,2834609.0,1380.0,8.0
2016-04-27,40.0,1450.0,1380.0,1450.0,1619.0,2305038.0,1388.0,62.0
2016-04-28,30.0,1479.0,1425.0,1443.0,1192.0,1730484.0,1450.0,-7.0
2016-05-02,8.0,1445.0,1430.0,1430.0,170.0,245050.0,1443.0,-13.0
2016-05-03,20.0,1435.0,1387.0,1400.0,700.0,982208.0,1430.0,-30.0
2016-05-04,5.0,1395.0,1373.0,1373.0,50.0,69230.0,1400.0,-27.0
2016-05-05,32.0,1401.0,1360.0,1380.0,1400.0,1941164.0,1373.0,7.0
2016-05-08,32.0,1400.0,1350.0,1400.0,1326.0,1803730.0,1380.0,20.0
2016-05-09,16.0,1420.0,1376.0,1400.0,644.0,902062.0,1400.0,0.0
2016-05-10,25.0,1405.0,1371.0,1375.0,1415.0,1970540.0,1400.0,-25.0
2016-05-11,29.0,1448.0,1360.0,1400.0,750.0,1034171.0,1375.0,25.0
2016-05-12,50.0,1445.0,1375.0,1433.0,1968.0,2790275.0,1400.0,33.0
2016-05-15,19.0,1430.0,1405.0,1415.0,1808.0,2551825.0,1433.0,-18.0
2016-05-16,28.0,1420.0,1390.0,1415.0,759.0,1069329.0,1415.0,0.0
2016-05-17,47.0,1465.0,1414.0,1450.0,1496.0,2154820.0,1415.0,35.0
2016-05-18,72.0,1485.0,1422.0,1457.0,6656.0,9751705.0,1450.0,7.0
2016-05-19,100.0,1539.0,1415.0,1512.0,8515.0,12450863.0,1457.0,55.0
2016-05-22,69.0,1581.0,1490.0,1579.0,4885.0,7638927.0,1512.0,67.0
2016-05-23,54.0,1591.0,1545.0,1568.0,1262.0,1990758.0,1579.0,-11.0
2016-05-24,31.0,1653.0,1560.0,1585.0,2403.0,3811087.0,1568.0,17.0
2016-05-25,37.0,1616.0,1520.0,1521.0,2637.0,4189918.0,1585.0,-64.0
2016-05-26,33.0,1595.0,1487.0,1582.0,2382.0,3741639.0,1521.0,61.0
2016-05-29,31.0,1565.0,1540.0,1565.0,1145.0,1782142.0,1582.0,-17.0
2016-05-30,19.0,1565.0,1534.0,1535.0,387.0,597673.0,1565.0,-30.0
2016-05-31,11.0,1565.0,1506.0,1511.0,648.0,993682.0,1535.0,-24.0
2016-06-01,29.0,1541.0,1511.0,1525.0,1253.0,1909389.0,1511.0,14.0
2016-06-02,24.0,1527.0,1500.0,1517.0,775.0,1178340.0,1525.0,-8.0
2016-06-05,10.0,1495.0,1470.0,1470.0,242.0,357962.0,1517.0,-47.0
2016-06-06,27.0,1500.0,1440.0,1500.0,1503.0,2227169.0,1470.0,30.0
2016-06-07,21.0,1530.0,1478.0,1501.0,486.0,734329.0,1500.0,1.0
2016-06-08,14.0,1531.0,1492.0,1500.0,511.0,768586.0,1501.0,-1.0
2016-06-09,30.0,1540.0,1502.0,1516.0,3425.0,5218352.0,1500.0,16.0
2016-06-12,26.0,1570.0,1500.0,1560.0,874.0,1355235.0,1516.0,44.0
2016-06-13,69.0,1685.0,1551.0,1660.0,5967.0,9599180.0,1560.0,100.0
2016-06-14,114.0,1826.0,1693.0,1826.0,12710.0,22324404.0,1660.0,166.0
2016-06-15,55.0,1850.0,1750.0,1800.0,7066.0,12583377.0,1826.0,-26.0
2016-06-16,71.0,1856.0,1765.0,1856.0,7324.0,13230844.0,1800.0,56.0
2016-06-19,24.0,1893.0,1790.0,1790.0,2241.0,4103049.0,1856.0,-66.0
2016-06-20,41.0,1790.0,1690.0,1790.0,2331.0,4127030.0,1790.0,0.0
2016-06-21,67.0,1830.0,1760.0,1830.0,4818.0,8675242.0,1790.0,40.0
2016-06-22,45.0,1940.0,1794.0,1876.0,2821.0,5311928.0,1830.0,46.0
2016-06-23,37.0,1920.0,1860.0,1910.0,2023.0,3845119.0,1876.0,34.0
2016-06-26,20.0,1900.0,1850.0,1870.0,746.0,1396400.0,1910.0,-40.0
2016-06-27,14.0,1869.0,1833.0,1833.0,640.0,1186354.0,1870.0,-37.0
2016-06-28,35.0,1820.0,1790.0,1820.0,707.0,1269694.0,1833.0,-13.0
2016-06-29,69.0,1907.0,1830.0,1907.0,6731.0,12542279.0,1820.0,87.0
2016-06-30,38.0,1958.0,1863.0,1958.0,2195.0,4231702.0,1907.0,51.0
2016-07-03,81.0,2153.0,1958.0,2100.0,8517.0,17685871.0,1958.0,142.0
2016-07-04,59.0,2150.0,1970.0,1985.0,3077.0,6280090.0,2100.0,-115.0
2016-07-05,40.0,2064.0,1910.0,1950.0,2863.0,5607564.0,1985.0,-35.0
2016-07-06,34.0,1960.0,1900.0,1920.0,1825.0,3538016.0,1950.0,-30.0
2016-07-10,30.0,1958.0,1870.0,1930.0,2110.0,4036620.0,1920.0,10.0
2016-07-11,19.0,1920.0,1867.0,1920.0,623.0,1179746.0,1930.0,-10.0
2016-07-12,5.0,1958.0,1920.0,1958.0,50.0,97360.0,1920.0,38.0
2016-07-13,39.0,1919.0,1800.0,1800.0,1121.0,2041677.0,1958.0,-158.0
2016-07-14,61.0,1905.0,1750.0,1750.0,5301.0,9655315.0,1800.0,-50.0
2016-07-17,5.0,1715.0,1584.0,1584.0,50.0,82440.0,1750.0,-166.0
2016-07-18,78.0,1615.0,1426.0,1500.0,4673.0,7179303.0,1584.0,-84.0
2016-07-19,49.0,1560.0,1450.0,1451.0,1319.0,1982885.0,1500.0,-49.0
2016-07-20,45.0,1450.0,1380.0,1405.0,2555.0,3631866.0,1451.0,-46.0
2016-07-21,27.0,1500.0,1377.0,1470.0,405.0,586565.0,1405.0,65.0
2016-07-25,38.0,1580.0,1470.0,1560.0,1631.0,2497043.0,1470.0,90.0
2016-07-26,21.0,1600.0,1550.0,1600.0,1077.0,1685690.0,1560.0,40.0
2016-07-27,16.0,1648.0,1605.0,1630.0,693.0,1126623.0,1600.0,30.0
2016-07-28,22.0,1630.0,1540.0,1540.0,753.0,1171886.0,1630.0,-90.0
2016-07-31,32.0,1570.0,1530.0,1570.0,913.0,1423213.0,1540.0,30.0
2016-08-01,22.0,1570.0,1475.0,1539.0,938.0,1446735.0,1570.0,-31.0
2016-08-02,6.0,1509.0,1460.0,1471.0,99.0,146050.0,1539.0,-68.0
2016-08-03,12.0,1500.0,1430.0,1490.0,788.0,1155510.0,1471.0,19.0
2016-08-04,11.0,1485.0,1450.0,1450.0,423.0,620516.0,1490.0,-40.0
2016-08-07,15.0,1510.0,1435.0,1435.0,1380.0,2023100.0,1450.0,-15.0
2016-08-08,6.0,1450.0,1393.0,1393.0,160.0,226250.0,1435.0,-42.0
2016-08-10,24.0,1445.0,1420.0,1422.0,700.0,1001910.0,1393.0,29.0
2016-08-11,22.0,1431.0,1385.0,1400.0,477.0,673396.0,1422.0,-22.0
2016-08-14,15.0,1372.0,1301.0,1325.0,616.0,811018.0,1400.0,-75.0
2016-08-15,25.0,1360.0,1300.0,1330.0,627.0,832255.0,1325.0,5.0
2016-08-16,23.0,1330.0,1279.0,1295.0,1477.0,1917520.0,1330.0,-35.0
2016-08-17,45.0,1363.0,1300.0,1355.0,2669.0,3604096.0,1295.0,60.0
2016-08-21,5.0,1390.0,1350.0,1350.0,76.0,104210.0,1355.0,-5.0
2016-08-22,26.0,1350.0,1283.0,1283.0,916.0,1185703.0,1350.0,-67.0
2016-08-23,17.0,1300.0,1235.0,1240.0,692.0,876597.0,1283.0,-43.0
2016-08-24,9.0,1324.0,1236.0,1324.0,296.0,378682.0,1240.0,84.0
2016-08-28,9.0,1366.0,1339.0,1366.0,320.0,431727.0,1324.0,42.0
2016-08-29,11.0,1393.0,1350.0,1393.0,712.0,964375.0,1366.0,27.0
2016-08-30,11.0,1397.0,1370.0,1378.0,843.0,1172864.0,1393.0,-15.0
2016-08-31,28.0,1461.0,1380.0,1404.0,680.0,960112.0,1378.0,26.0
2016-09-01,3.0,1432.0,1405.0,1432.0,40.0,57010.0,1404.0,28.0
2016-09-04,9.0,1410.0,1355.0,1358.0,595.0,821830.0,1432.0,-74.0
2016-09-05,35.0,1415.0,1345.0,1400.0,636.0,891560.0,1358.0,42.0
2016-09-06,27.0,1450.0,1400.0,1400.0,969.0,1383506.0,1400.0,0.0
2016-09-07,13.0,1428.0,1373.0,1428.0,163.0,229520.0,1400.0,28.0
2016-09-08,17.0,1427.0,1390.0,1406.0,682.0,958869.0,1428.0,-22.0
2016-09-11,12.0,1456.0,1395.0,1396.0,176.0,250729.0,1406.0,-10.0
2016-09-12,3.0,1380.0,1380.0,1380.0,30.0,41400.0,1396.0,-16.0
2016-09-14,17.0,1405.0,1353.0,1377.0,528.0,735967.0,1380.0,-3.0
2016-09-18,15.0,1430.0,1400.0,1430.0,695.0,980390.0,1377.0,53.0
2016-09-20,3.0,1435.0,1405.0,1435.0,102.0,144185.0,1430.0,5.0
2016-09-21,28.0,1455.0,1400.0,1410.0,1012.0,1438645.0,1435.0,-25.0
2016-09-22,16.0,1415.0,1400.0,1401.0,1035.0,1453920.0,1410.0,-9.0
2016-09-25,12.0,1400.0,1300.0,1325.0,407.0,546565.0,1401.0,-76.0
2016-09-26,16.0,1346.0,1314.0,1340.0,261.0,345631.0,1325.0,15.0
2016-09-27,8.0,1366.0,1315.0,1325.0,148.0,199807.0,1340.0,-15.0
2016-09-28,10.0,1360.0,1330.0,1330.0,206.0,277200.0,1325.0,5.0
2016-09-29,12.0,1366.0,1286.0,1290.0,242.0,321535.0,1330.0,-40.0
2016-10-02,19.0,1300.0,1231.0,1300.0,1125.0,1420156.0,1290.0,10.0
2016-10-03,7.0,1300.0,1275.0,1280.0,196.0,251075.0,1300.0,-20.0
2016-10-04,8.0,1280.0,1250.0,1250.0,546.0,684800.0,1280.0,-30.0
2016-10-05,4.0,1235.0,1225.0,1228.0,350.0,430050.0,1250.0,-22.0
2016-10-06,11.0,1285.0,1212.0,1285.0,809.0,1006571.0,1228.0,57.0
2016-10-16,4.0,1290.0,1280.0,1280.0,40.0,51400.0,1285.0,-5.0
2016-10-17,1.0,1290.0,1290.0,1290.0,42.0,54180.0,1280.0,10.0
2016-10-18,8.0,1300.0,1275.0,1299.0,357.0,459130.0,1290.0,9.0
2016-10-19,16.0,1297.0,1211.0,1241.0,514.0,638127.0,1299.0,-58.0
2016-10-20,3.0,1227.0,1221.0,1226.0,57.0,69850.0,1241.0,-15.0
2016-10-23,8.0,1254.0,1226.0,1235.0,535.0,660189.0,1226.0,9.0
2016-10-24,30.0,1257.0,1222.0,1230.0,847.0,1039917.0,1235.0,-5.0
2016-10-25,5.0,1250.0,1206.0,1206.0,182.0,223380.0,1230.0,-24.0
2016-10-26,23.0,1244.0,1185.0,1191.0,973.0,1178269.0,1206.0,-15.0
2016-10-27,13.0,1224.0,1185.0,1200.0,863.0,1043648.0,1191.0,9.0
2016-11-03,13.0,1220.0,1200.0,1205.0,313.0,378087.0,1200.0,5.0
2016-11-07,9.0,1298.0,1191.0,1298.0,152.0,187154.0,1205.0,93.0
2016-11-08,18.0,1336.0,1285.0,1285.0,847.0,1116176.0,1298.0,-13.0
2016-11-09,8.0,1260.0,1210.0,1210.0,437.0,533045.0,1285.0,-75.0
2016-11-10,15.0,1210.0,1186.0,1210.0,1586.0,1907684.0,1210.0,0.0
2016-11-13,15.0,1220.0,1190.0,1210.0,358.0,434000.0,1210.0,0.0
2016-11-14,19.0,1226.0,1193.0,1195.0,1097.0,1324384.0,1210.0,-15.0
2016-11-15,14.0,1210.0,1174.0,1174.0,1350.0,1599620.0,1195.0,-21.0
2016-11-16,16.0,1174.0,1151.0,1170.0,554.0,644905.0,1174.0,-4.0
2016-11-17,10.0,1170.0,1140.0,1150.0,442.0,508752.0,1170.0,-20.0
2016-11-20,29.0,1172.0,1100.0,1121.0,594.0,666470.0,1150.0,-29.0
2016-11-21,32.0,1120.0,1070.0,1075.0,730.0,793097.0,1121.0,-46.0
2016-11-22,1.0,917.0,917.0,917.0,10.0,9170.0,935.0,-18.0
2016-11-23,3.0,900.0,880.0,880.0,120.0,106800.0,917.0,-37.0
2016-11-24,10.0,890.0,857.0,875.0,562.0,489795.0,880.0,-5.0
2016-11-27,2.0,860.0,843.0,843.0,200.0,170300.0,875.0,-32.0
2016-11-28,1.0,827.0,827.0,827.0,100.0,82700.0,843.0,-16.0
2016-11-29,10.0,884.0,843.0,884.0,179.0,154120.0,827.0,57.0
2016-11-30,13.0,955.0,884.0,955.0,343.0,309243.0,884.0,71.0
2016-12-01,10.0,1050.0,974.0,1050.0,339.0,350840.0,955.0,95.0
2016-12-04,8.0,1070.0,1009.0,1009.0,930.0,962900.0,1050.0,-41.0
2016-12-05,11.0,990.0,972.0,972.0,406.0,396073.0,1009.0,-37.0
2016-12-06,14.0,980.0,935.0,936.0,339.0,321408.0,972.0,-36.0
2016-12-07,6.0,949.0,931.0,931.0,312.0,294912.0,936.0,-5.0
2016-12-08,13.0,930.0,877.0,880.0,270.0,245045.0,931.0,-51.0
2016-12-11,21.0,885.0,861.0,861.0,474.0,411822.0,880.0,-19.0
2016-12-12,11.0,861.0,845.0,855.0,608.0,520305.0,861.0,-6.0
2016-12-14,11.0,850.0,833.0,833.0,512.0,430612.0,855.0,-22.0
2016-12-15,12.0,867.0,825.0,845.0,806.0,676525.0,833.0,12.0
2016-12-18,12.0,856.0,825.0,856.0,806.0,675857.0,845.0,11.0
2016-12-19,6.0,877.0,850.0,850.0,728.0,626270.0,856.0,-6.0
2016-12-20,9.0,849.0,833.0,849.0,580.0,486840.0,850.0,-1.0
2016-12-21,19.0,840.0,815.0,816.0,2426.0,1996230.0,849.0,-33.0
2016-12-22,15.0,815.0,790.0,815.0,735.0,593397.0,816.0,-1.0
2016-12-26,2.0,799.0,795.0,795.0,211.0,167785.0,815.0,-20.0
2016-12-27,4.0,780.0,765.0,765.0,362.0,277110.0,795.0,-30.0
2016-12-28,21.0,775.0,751.0,775.0,3915.0,2998179.0,765.0,10.0
2016-12-29,11.0,795.0,765.0,790.0,690.0,546450.0,775.0,15.0
2017-01-01,1.0,776.0,776.0,776.0,10.0,7760.0,790.0,-14.0
2017-01-02,1.0,790.0,790.0,790.0,20.0,15800.0,776.0,14.0
2017-01-03,9.0,800.0,761.0,800.0,836.0,663926.0,790.0,10.0
2017-01-04,4.0,796.0,794.0,796.0,577.0,458719.0,800.0,-4.0
2017-01-05,9.0,796.0,771.0,775.0,344.0,271629.0,796.0,-21.0
2017-01-08,5.0,775.0,760.0,775.0,53.0,40656.0,775.0,0.0
2017-01-10,7.0,800.0,790.0,800.0,161.0,128570.0,775.0,25.0
2017-01-12,2.0,800.0,799.0,799.0,223.0,178200.0,800.0,-1.0
2017-01-15,2.0,800.0,800.0,800.0,46.0,36800.0,799.0,1.0
2017-01-16,1.0,785.0,785.0,785.0,400.0,314000.0,800.0,-15.0
2017-01-17,1.0,780.0,780.0,780.0,23.0,17940.0,785.0,-5.0
2017-01-18,2.0,780.0,780.0,780.0,33.0,25740.0,780.0,0.0
