Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-11,43.0,97.0,97.0,97.0,570.0,55290.0,98.0,-1.0
2012-06-18,1.0,96.0,96.0,96.0,10.0,960.0,97.0,-1.0
2012-06-19,3.0,96.0,96.0,96.0,30.0,2880.0,96.0,0.0
2012-07-03,14.0,95.0,87.0,87.0,220.0,19640.0,96.0,-9.0
2012-07-04,20.0,86.0,83.0,83.0,980.0,82290.0,87.0,-4.0
2012-07-05,3.0,84.0,84.0,84.0,200.0,16800.0,83.0,1.0
2012-07-09,1.0,83.0,83.0,83.0,110.0,9130.0,84.0,-1.0
2012-07-10,4.0,82.0,82.0,82.0,100.0,8200.0,83.0,-1.0
2012-07-11,4.0,82.0,82.0,82.0,60.0,4920.0,82.0,0.0
2012-07-12,10.0,83.0,82.0,83.0,390.0,32340.0,82.0,1.0
2012-07-16,4.0,84.0,83.0,84.0,50.0,4180.0,83.0,1.0
2012-07-17,1.0,85.0,85.0,85.0,50.0,4250.0,84.0,1.0
2012-07-18,2.0,86.0,85.0,85.0,30.0,2570.0,85.0,0.0
2012-07-19,1.0,86.0,86.0,86.0,50.0,4300.0,85.0,1.0
2012-07-25,2.0,86.0,86.0,86.0,20.0,1720.0,86.0,0.0
2012-07-26,11.0,86.0,85.0,86.0,530.0,45220.0,86.0,0.0
2012-07-29,3.0,85.0,85.0,85.0,70.0,5950.0,86.0,-1.0
2012-07-31,7.0,84.0,84.0,84.0,70.0,5880.0,85.0,-1.0
2012-08-01,2.0,86.0,85.0,86.0,20.0,1710.0,84.0,2.0
2012-08-05,5.0,86.0,85.0,86.0,70.0,5980.0,86.0,0.0
2012-08-06,6.0,85.0,85.0,85.0,60.0,5100.0,86.0,-1.0
2012-08-07,15.0,89.0,86.0,89.0,590.0,51400.0,85.0,4.0
2012-08-08,1.0,88.0,88.0,88.0,70.0,6160.0,89.0,-1.0
2012-08-13,2.0,87.0,87.0,87.0,20.0,1740.0,88.0,-1.0
2012-08-14,4.0,86.0,86.0,86.0,100.0,8600.0,87.0,-1.0
2012-08-15,2.0,85.0,84.0,84.0,420.0,35610.0,86.0,-2.0
2012-08-16,1.0,85.0,85.0,85.0,10.0,850.0,84.0,1.0
2012-08-23,4.0,84.0,82.0,82.0,90.0,7480.0,85.0,-3.0
2012-08-26,1.0,83.0,83.0,83.0,30.0,2490.0,82.0,1.0
2012-08-28,14.0,83.0,81.0,82.0,1590.0,129580.0,83.0,-1.0
2012-08-29,2.0,83.0,83.0,83.0,200.0,16600.0,82.0,1.0
2012-08-30,4.0,83.0,82.0,83.0,50.0,4120.0,83.0,0.0
2012-09-02,2.0,83.0,83.0,83.0,20.0,1660.0,83.0,0.0
2012-09-03,5.0,84.0,82.0,84.0,250.0,20640.0,83.0,1.0
2012-09-04,2.0,85.0,85.0,85.0,20.0,1700.0,84.0,1.0
2012-09-05,2.0,86.0,85.0,86.0,20.0,1710.0,85.0,1.0
2012-09-11,17.0,85.0,80.0,80.0,360.0,29900.0,86.0,-6.0
2012-09-13,5.0,79.0,79.0,79.0,290.0,22910.0,80.0,-1.0
2012-09-20,1.0,78.0,78.0,78.0,90.0,7020.0,79.0,-1.0
2012-09-24,2.0,78.0,78.0,78.0,20.0,1560.0,78.0,0.0
2012-09-26,3.0,81.0,79.0,81.0,70.0,5620.0,78.0,3.0
2012-09-27,2.0,83.0,82.0,83.0,60.0,4950.0,81.0,2.0
2012-10-03,7.0,83.0,83.0,83.0,70.0,5810.0,83.0,0.0
