Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2018-06-14,2.0,0.0,0.0,0.0,10.0,3100.0,0.0,0.0
2018-06-20,1.0,312.0,312.0,312.0,10.0,3120.0,0.0,312.0
2018-06-24,1.0,0.0,0.0,0.0,338.0,473200.0,312.0,0.0
2018-06-25,1.0,327.0,327.0,327.0,10.0,3270.0,312.0,15.0
2018-06-27,1.0,343.0,343.0,343.0,10.0,3430.0,327.0,16.0
2018-07-25,5.0,360.0,360.0,360.0,40.0,14470.0,343.0,17.0
2018-07-30,3.0,381.0,367.0,381.0,30.0,11220.0,360.0,21.0
2018-08-02,1.0,388.0,388.0,388.0,10.0,3880.0,381.0,7.0
2018-08-23,2.0,402.0,395.0,402.0,20.0,7970.0,388.0,14.0
2018-08-30,1.0,422.0,422.0,422.0,10.0,4220.0,402.0,20.0
2018-09-03,1.0,430.0,430.0,430.0,10.0,4300.0,422.0,8.0
2018-09-13,5.0,472.0,438.0,472.0,50.0,22730.0,430.0,42.0
2018-09-16,1.0,481.0,481.0,481.0,10.0,4810.0,472.0,9.0
2018-10-03,1.0,490.0,490.0,490.0,10.0,4900.0,481.0,9.0
2018-10-08,1.0,499.0,499.0,499.0,10.0,4990.0,490.0,9.0
2018-10-09,2.0,533.0,523.0,533.0,20.0,10560.0,499.0,34.0
2018-10-10,1.0,543.0,543.0,543.0,10.0,5430.0,533.0,10.0
2018-10-11,2.0,564.0,553.0,564.0,20.0,11170.0,543.0,21.0
2018-10-14,3.0,597.0,575.0,597.0,30.0,17580.0,564.0,33.0
2018-10-15,1.0,608.0,608.0,608.0,10.0,6080.0,597.0,11.0
2018-10-22,2.0,632.0,620.0,632.0,20.0,12520.0,608.0,24.0
2018-10-24,2.0,656.0,644.0,656.0,110.0,70960.0,632.0,24.0
2018-10-28,3.0,695.0,669.0,695.0,30.0,20460.0,656.0,39.0
2018-10-29,1.0,708.0,708.0,708.0,10.0,7080.0,695.0,13.0
2018-10-30,5.0,778.0,722.0,778.0,50.0,37510.0,708.0,70.0
2018-10-31,146.0,855.0,793.0,855.0,2410.0,2059000.0,778.0,77.0
2018-11-01,505.0,889.0,786.0,790.0,6470.0,5233640.0,855.0,-65.0
2018-11-04,109.0,775.0,733.0,756.0,1107.0,839452.0,790.0,-34.0
2018-11-05,56.0,775.0,744.0,756.0,740.0,562370.0,756.0,0.0
2018-11-06,3.0,760.0,756.0,756.0,30.0,22720.0,756.0,0.0
2018-11-11,35.0,756.0,715.0,721.0,360.0,260720.0,756.0,-37.0
2018-11-12,63.0,721.0,690.0,691.0,830.0,580940.0,721.0,-30.0
2018-11-13,50.0,714.0,679.0,701.0,570.0,398690.0,691.0,10.0
2018-11-14,69.0,729.0,696.0,714.0,830.0,586360.0,701.0,13.0
2018-11-15,28.0,714.0,696.0,701.0,280.0,197290.0,714.0,-13.0
2018-11-18,26.0,708.0,696.0,696.0,476.0,332196.0,701.0,-5.0
2018-11-19,48.0,696.0,670.0,671.0,1034.0,701752.0,696.0,-25.0
2018-11-20,41.0,671.0,659.0,660.0,450.0,297660.0,671.0,-11.0
2018-11-21,28.0,660.0,650.0,651.0,290.0,189570.0,660.0,-9.0
2018-11-22,68.0,655.0,631.0,638.0,700.0,447150.0,651.0,-13.0
2018-11-25,32.0,638.0,615.0,619.0,410.0,256900.0,638.0,-19.0
2018-11-26,36.0,619.0,584.0,584.0,360.0,218290.0,619.0,-35.0
2018-11-27,26.0,584.0,565.0,565.0,260.0,149350.0,584.0,-19.0
2018-11-28,35.0,576.0,540.0,540.0,440.0,244550.0,565.0,-25.0
2018-11-29,22.0,541.0,511.0,541.0,220.0,115590.0,540.0,1.0
2018-12-02,16.0,541.0,520.0,530.0,180.0,95520.0,541.0,-11.0
2018-12-03,13.0,540.0,521.0,540.0,130.0,68980.0,530.0,10.0
2018-12-04,5.0,540.0,530.0,530.0,90.0,48200.0,540.0,-10.0
2018-12-05,22.0,539.0,526.0,526.0,360.0,191940.0,530.0,-4.0
2018-12-06,7.0,545.0,526.0,535.0,210.0,112850.0,526.0,9.0
2018-12-09,5.0,535.0,520.0,530.0,50.0,26400.0,535.0,-5.0
2018-12-10,5.0,561.0,530.0,561.0,67.0,36800.0,530.0,31.0
2018-12-11,7.0,561.0,510.0,530.0,70.0,36700.0,561.0,-31.0
2018-12-12,4.0,540.0,520.0,525.0,40.0,21150.0,530.0,-5.0
2018-12-13,9.0,530.0,515.0,530.0,470.0,248500.0,525.0,5.0
2018-12-16,12.0,572.0,530.0,560.0,160.0,89330.0,530.0,30.0
2018-12-17,19.0,615.0,560.0,603.0,467.0,274744.0,560.0,43.0
2018-12-18,16.0,615.0,581.0,581.0,340.0,203420.0,603.0,-22.0
2018-12-19,41.0,639.0,565.0,615.0,860.0,522030.0,581.0,34.0
2018-12-20,24.0,627.0,600.0,600.0,608.0,370708.0,615.0,-15.0
2018-12-23,41.0,620.0,586.0,618.0,860.0,520880.0,600.0,18.0
2018-12-24,20.0,618.0,583.0,594.0,280.0,167520.0,618.0,-24.0
2018-12-25,10.0,600.0,583.0,600.0,260.0,153510.0,594.0,6.0
2018-12-26,26.0,625.0,577.0,625.0,627.0,381674.0,600.0,25.0
2018-12-27,15.0,625.0,595.0,596.0,510.0,305060.0,625.0,-29.0
2018-12-30,14.0,604.0,581.0,586.0,490.0,287800.0,596.0,-10.0
2018-12-31,17.0,586.0,567.0,567.0,665.0,381705.0,586.0,-19.0
2019-01-01,21.0,599.0,567.0,570.0,330.0,190260.0,567.0,3.0
2019-01-02,35.0,590.0,561.0,575.0,946.0,546444.0,570.0,5.0
2019-01-03,16.0,581.0,570.0,575.0,497.0,284631.0,575.0,0.0
2019-01-06,17.0,575.0,557.0,559.0,700.0,392440.0,575.0,-16.0
