Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,3.0,98.0,98.0,98.0,36.0,3528.0,99.0,-1.0
2012-06-04,22.0,98.0,95.0,97.0,504.0,49032.0,98.0,-1.0
2012-06-05,10.0,97.0,94.0,95.0,564.0,54036.0,97.0,-2.0
2012-06-06,2.0,94.0,94.0,94.0,60.0,5640.0,95.0,-1.0
2012-06-07,14.0,96.0,95.0,96.0,168.0,15996.0,94.0,2.0
2012-06-10,5.0,97.0,96.0,97.0,146.0,14126.0,96.0,1.0
2012-06-11,7.0,97.0,97.0,97.0,172.0,16684.0,97.0,0.0
2012-06-12,13.0,97.0,96.0,96.0,204.0,19716.0,97.0,-1.0
2012-06-13,10.0,97.0,94.0,95.0,476.0,45516.0,96.0,-1.0
2012-06-14,9.0,96.0,94.0,96.0,132.0,12576.0,95.0,1.0
2012-06-17,5.0,98.0,95.0,98.0,96.0,9204.0,96.0,2.0
2012-06-18,9.0,98.0,95.0,95.0,240.0,23224.0,98.0,-3.0
2012-06-19,10.0,94.0,92.0,94.0,156.0,14556.0,95.0,-1.0
2012-06-20,25.0,97.0,95.0,96.0,600.0,57744.0,94.0,2.0
2012-06-21,10.0,97.0,96.0,97.0,272.0,26316.0,96.0,1.0
2012-06-25,19.0,97.0,96.0,96.0,436.0,42144.0,97.0,-1.0
2012-06-26,14.0,95.0,94.0,94.0,312.0,29412.0,96.0,-2.0
2012-06-27,17.0,94.0,93.0,94.0,322.0,30208.0,94.0,0.0
2012-06-28,3.0,94.0,93.0,94.0,36.0,3372.0,94.0,0.0
2012-07-01,15.0,96.0,95.0,96.0,892.0,84932.0,94.0,2.0
2012-07-02,5.0,96.0,95.0,96.0,60.0,5724.0,96.0,0.0
2012-07-03,8.0,95.0,93.0,93.0,119.0,11127.0,96.0,-3.0
2012-07-04,5.0,95.0,94.0,95.0,182.0,17192.0,93.0,2.0
2012-07-05,6.0,96.0,95.0,95.0,168.0,16104.0,95.0,0.0
2012-07-08,1.0,94.0,94.0,94.0,98.0,9212.0,95.0,-1.0
2012-07-09,3.0,93.0,93.0,93.0,32.0,2976.0,94.0,-1.0
2012-07-10,5.0,93.0,92.0,93.0,88.0,8156.0,93.0,0.0
2012-07-11,3.0,93.0,92.0,92.0,34.0,3140.0,93.0,-1.0
2012-07-12,2.0,93.0,93.0,93.0,24.0,2232.0,92.0,1.0
2012-07-15,4.0,94.0,94.0,94.0,48.0,4512.0,93.0,1.0
