"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"BANKING","2026-01-14","1370.15","1375.45","1366.23","1369.44","-0.08 %","310,281,754.50","-"
"BANKING","2026-01-13","1371.63","1395.81","1367.58","1370.56","-0.14 %","319,946,778.20","-"
"BANKING","2026-01-12","1380.8","1384.57","1370.92","1372.5","-0.25 %","408,879,595.80","-"
"BANKING","2026-01-08","1370.17","1376.68","1367.52","1375.98","0.31 %","350,365,563.70","-"
"BANKING","2026-01-07","1374.03","1377.87","1368.25","1371.75","-0.25 %","342,993,212.20","-"
"BANKING","2026-01-06","1369.15","1383.27","1368.88","1375.14","0.44 %","635,791,966.80","-"
"BANKING","2026-01-05","1360.36","1369.28","1358.56","1369.15","0.68 %","398,168,793.90","-"
"BANKING","2026-01-04","1361.67","1368.53","1354.57","1359.93","-0.14 %","494,480,047.10","-"
"BANKING","2026-01-01","1371.11","1375.07","1357.22","1361.87","-0.64 %","290,129,474.90","-"
"BANKING","2025-12-31","1364.78","1375.69","1364.12","1370.63","0.25 %","372,435,372.70","-"
"BANKING","2025-12-29","1382.56","1385.11","1364.87","1367.16","-0.39 %","325,623,957.40","-"
"BANKING","2025-12-28","1350.69","1373.53","1350.6","1372.47","1.67 %","470,561,655.90","-"
"BANKING","2025-12-24","1342.12","1349.94","1337","1349.94","0.53 %","300,676,926.50","-"
"BANKING","2025-12-23","1342.53","1345.63","1335.14","1342.84","0.10 %","255,975,896.50","-"
"BANKING","2025-12-22","1350.29","1350.67","1336.29","1341.46","-0.36 %","262,286,081.00","-"
"BANKING","2025-12-21","1354.96","1354.96","1343.83","1346.24","-0.47 %","263,502,289.30","-"
"BANKING","2025-12-18","1357.97","1360.46","1347.48","1352.65","-0.22 %","286,506,369.20","-"
"BANKING","2025-12-17","1355.02","1357.85","1351.59","1355.67","0.31 %","238,118,575.10","-"
"BANKING","2025-12-16","1346.05","1353.15","1344.69","1351.42","0.35 %","215,062,003.20","-"
"BANKING","2025-12-15","1338.22","1346.68","1330.27","1346.68","0.73 %","549,350,046.60","-"
"BANKING","2025-12-14","1337.03","1344.33","1330.53","1336.95","0.05 %","353,146,039.30","-"
"BANKING","2025-12-11","1334.09","1336.57","1328.65","1336.3","0.16 %","241,330,063.60","-"
"BANKING","2025-12-10","1333.29","1341.25","1331.46","1334.17","-0.05 %","213,807,903.60","-"
"BANKING","2025-12-09","1338.59","1341.12","1332.69","1334.87","-0.15 %","338,327,544.00","-"
"BANKING","2025-12-08","1344.34","1349.04","1336","1336.84","-0.67 %","264,542,126.70","-"
"BANKING","2025-12-07","1350.33","1353.88","1340.36","1345.87","-0.61 %","307,715,771.20","-"
"BANKING","2025-12-03","1366.17","1370.85","1349.92","1354.09","-0.72 %","304,792,486.70","-"
"BANKING","2025-12-02","1370.28","1370.28","1360.55","1363.97","-0.59 %","273,688,891.50","-"
"BANKING","2025-12-01","1379.73","1383.45","1364.28","1372","-0.69 %","435,519,601.10","-"
"BANKING","2025-11-30","1396.16","1402.96","1377.53","1381.49","-1.08 %","554,251,075.00","-"
"BANKING","2025-11-27","1377.91","1398.62","1369.86","1396.58","1.50 %","661,734,370.60","-"
"BANKING","2025-11-26","1367.82","1380.21","1362.19","1375.97","0.66 %","376,766,843.20","-"
"BANKING","2025-11-25","1366.23","1370.64","1355.11","1366.9","0.20 %","308,138,614.20","-"
"BANKING","2025-11-24","1343.34","1364.47","1343.06","1364.11","1.41 %","355,731,155.00","-"
"BANKING","2025-11-23","1328.43","1345.97","1327.25","1345.15","1.37 %","336,015,235.00","-"
"BANKING","2025-11-20","1331.4","1334.4","1323.37","1327.01","-0.33 %","257,454,569.90","-"
"BANKING","2025-11-19","1334.44","1340.16","1326.13","1331.4","-0.15 %","211,862,146.80","-"
"BANKING","2025-11-18","1329.65","1341.88","1328.46","1333.36","0.31 %","265,544,891.70","-"
"BANKING","2025-11-17","1329.66","1334.66","1325.13","1329.21","0.14 %","329,832,910.20","-"
"BANKING","2025-11-16","1331.52","1334.24","1321.79","1327.4","-0.31 %","217,177,710.00","-"
"BANKING","2025-11-13","1327.62","1338.11","1322.71","1331.51","0.13 %","275,491,970.20","-"
"BANKING","2025-11-12","1340.73","1341.01","1327.89","1329.81","-0.67 %","281,098,421.60","-"
"BANKING","2025-11-11","1337.88","1345.88","1330.65","1338.82","0.07 %","323,201,487.00","-"
"BANKING","2025-11-10","1348.22","1354.21","1335.05","1337.88","-0.61 %","369,853,946.00","-"
"BANKING","2025-11-09","1363.04","1363.04","1344.4","1346.04","-1.30 %","384,687,350.10","-"
"BANKING","2025-11-06","1371.46","1377.49","1360.28","1363.76","-0.43 %","397,937,243.10","-"
"BANKING","2025-11-05","1362","1375.24","1356.1","1369.69","0.56 %","331,005,429.50","-"
"BANKING","2025-11-04","1370.44","1374.03","1359.33","1362","-0.67 %","339,869,818.00","-"
"BANKING","2025-11-03","1373.62","1383.33","1367.49","1371.13","-0.22 %","283,083,746.00","-"
"BANKING","2025-11-02","1384.78","1385.42","1363.53","1374.2","0.29 %","419,650,252.70","-"
"BANKING","2025-10-30","1367.9","1372.32","1355.97","1370.18","0.34 %","380,613,760.10","-"
"BANKING","2025-10-29","1370.31","1381.19","1361.36","1365.58","-0.35 %","430,975,866.00","-"
"BANKING","2025-10-28","1343.39","1370.91","1343.38","1370.34","1.92 %","305,735,821.40","-"
"BANKING","2025-10-26","1348.48","1351.31","1330.77","1344.52","-0.36 %","187,790,720.10","-"
"BANKING","2025-10-19","1337.98","1354.95","1334.36","1349.36","0.87 %","318,304,553.60","-"
"BANKING","2025-10-16","1337.37","1350.74","1331.27","1337.71","0.03 %","306,992,979.50","-"
"BANKING","2025-10-15","1345.72","1353.17","1335.87","1337.36","-0.55 %","263,751,009.60","-"
"BANKING","2025-10-14","1355.92","1365.17","1342.46","1344.71","-0.83 %","266,105,580.90","-"
"BANKING","2025-10-13","1372.1","1372.1","1336.83","1355.92","0.29 %","413,063,693.30","-"
"BANKING","2025-10-12","1384.99","1385.46","1346.34","1352.06","-2.31 %","653,268,066.80","-"
"BANKING","2025-10-09","1390.77","1437.95","1380.24","1383.97","1.07 %","565,867,348.70","-"
"BANKING","2025-10-08","1392.12","1392.12","1356.66","1369.29","-1.48 %","513,237,582.40","-"
"BANKING","2025-10-07","1408.5","1411.16","1382.94","1389.88","-1.32 %","484,845,464.60","-"
"BANKING","2025-09-28","1400.09","1408.49","1397.75","1408.49","0.84 %","224,862,097.00","-"
"BANKING","2025-09-25","1396","1399.67","1389.36","1396.75","0.12 %","246,205,357.10","-"
"BANKING","2025-09-24","1405.88","1415.27","1391.05","1395.01","-0.74 %","359,107,916.50","-"
"BANKING","2025-09-23","1391.21","1406.46","1389.21","1405.37","1.39 %","420,596,307.40","-"
"BANKING","2025-09-21","1308.53","1391.24","1308.52","1386.13","4.53 %","1,008,474,922.90","-"
"BANKING","2025-09-18","1379.84","1379.84","1319.82","1326.12","-5.53 %","86,358,080.10","-"
"BANKING","2025-09-08","1418.19","1420.5","1398.6","1403.7","-1.12 %","499,098,567.60","-"
"BANKING","2025-09-07","1423.04","1427.03","1417.29","1419.66","-0.65 %","664,114,712.50","-"
"BANKING","2025-09-04","1434.26","1440.5","1420.52","1429.01","-0.32 %","511,413,814.90","-"
"BANKING","2025-09-03","1441.87","1446.83","1432.94","1433.54","-0.55 %","457,950,331.80","-"
"BANKING","2025-09-02","1474.11","1474.11","1440.23","1441.49","-0.50 %","647,229,063.10","-"
"BANKING","2025-09-01","1453.63","1455.05","1423.76","1448.72","1.50 %","1,113,825,777.30","-"
"BANKING","2025-08-31","1441.92","1447.14","1423.97","1427.31","-0.89 %","609,009,672.10","-"
"BANKING","2025-08-28","1452.54","1457.85","1438.55","1440.07","-0.87 %","551,386,023.47","-"
"BANKING","2025-08-27","1454.25","1454.59","1432.66","1452.73","1.39 %","533,838,545.10","-"
"BANKING","2025-08-26","1433.15","1440.73","1428.1","1432.87","0.14 %","371,265,608.00","-"
"BANKING","2025-08-25","1421.94","1434.34","1413.75","1430.85","0.59 %","431,081,618.90","-"
"BANKING","2025-08-24","1435.23","1439.39","1420.86","1422.48","-0.89 %","497,521,018.20","-"
"BANKING","2025-08-21","1435.83","1442.27","1431.33","1435.22","-0.12 %","585,366,653.20","-"
"BANKING","2025-08-20","1439.49","1446.04","1434.86","1436.91","-0.19 %","432,406,228.70","-"
