"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"MICROFINANCE","2026-01-14","4883.9","4900.72","4869.46","4888.18","-0.06 %","235,865,703.27","-"
"MICROFINANCE","2026-01-13","4897.05","4916.31","4875","4890.92","-0.20 %","227,715,633.70","-"
"MICROFINANCE","2026-01-12","4931.08","4950.18","4891.19","4900.85","-0.66 %","285,011,658.70","-"
"MICROFINANCE","2026-01-08","4927.91","4934.76","4904.56","4933.63","-0.04 %","263,672,736.10","-"
"MICROFINANCE","2026-01-07","4950.48","4956.43","4918.79","4935.83","-0.41 %","351,420,173.70","-"
"MICROFINANCE","2026-01-06","4908.22","4956.98","4907.56","4955.95","0.84 %","313,820,892.00","-"
"MICROFINANCE","2026-01-05","4888.73","4914.75","4876.93","4914.75","0.53 %","359,605,911.50","-"
"MICROFINANCE","2026-01-04","4899.29","4905.08","4874.41","4888.78","-0.32 %","321,177,750.80","-"
"MICROFINANCE","2026-01-01","4920.66","4936.64","4874.92","4904.59","-0.41 %","297,706,341.80","-"
"MICROFINANCE","2025-12-31","4906.87","4938.83","4901.53","4924.62","0.32 %","320,763,514.40","-"
"MICROFINANCE","2025-12-29","4910.66","4951.48","4887.57","4908.72","-0.09 %","387,474,247.30","-"
"MICROFINANCE","2025-12-28","4845.52","4912.91","4845.52","4912.91","1.39 %","374,930,285.10","-"
"MICROFINANCE","2025-12-24","4844.73","4856.3","4829.03","4845.58","-0.16 %","281,340,655.90","-"
"MICROFINANCE","2025-12-23","4840.14","4857.51","4814.93","4853.4","0.17 %","275,394,198.80","-"
"MICROFINANCE","2025-12-22","4863.28","4864.81","4816.18","4844.99","-0.46 %","291,657,324.70","-"
"MICROFINANCE","2025-12-21","4897.06","4903.18","4829.49","4867.35","-0.67 %","443,495,165.60","-"
"MICROFINANCE","2025-12-18","4925.82","4931.93","4882.24","4900.31","-0.49 %","304,168,789.00","-"
"MICROFINANCE","2025-12-17","4914.15","4946.87","4909.17","4924.47","0.08 %","285,477,196.30","-"
"MICROFINANCE","2025-12-16","4880.89","4920.59","4871.23","4920.59","0.87 %","276,903,901.80","-"
"MICROFINANCE","2025-12-15","4880.86","4887.4","4860.64","4878.29","-0.08 %","237,714,864.20","-"
"MICROFINANCE","2025-12-14","4890.48","4907.73","4860.75","4882.33","-0.26 %","295,963,638.30","-"
"MICROFINANCE","2025-12-11","4887.27","4895.18","4875.16","4895.01","0.09 %","234,589,893.80","-"
"MICROFINANCE","2025-12-10","4900.88","4907.07","4875.65","4890.43","-0.30 %","200,894,809.20","-"
"MICROFINANCE","2025-12-09","4906.76","4931.96","4891.66","4905.08","-0.07 %","208,449,300.00","-"
"MICROFINANCE","2025-12-08","4918.66","4928.72","4883.8","4908.46","-0.30 %","328,499,042.90","-"
"MICROFINANCE","2025-12-07","4970.61","4970.61","4908.91","4923.12","-1.05 %","437,456,475.10","-"
"MICROFINANCE","2025-12-03","4994.19","5020.18","4956.73","4975.17","-0.49 %","409,799,183.00","-"
"MICROFINANCE","2025-12-02","4991.3","5029.31","4981.73","4999.48","-0.07 %","263,244,594.50","-"
"MICROFINANCE","2025-12-01","4970.12","5013.39","4964.91","5002.82","0.61 %","430,466,302.10","-"
"MICROFINANCE","2025-11-30","5032.04","5041.18","4956.92","4972.36","-1.31 %","491,116,979.90","-"
"MICROFINANCE","2025-11-27","5056.14","5056.14","5016.5","5038.17","-0.36 %","468,342,218.80","-"
"MICROFINANCE","2025-11-26","5017.08","5058.01","4990.75","5056.28","0.71 %","674,085,147.50","-"
"MICROFINANCE","2025-11-25","5015.94","5021.51","4970.1","5020.56","0.05 %","374,178,085.50","-"
"MICROFINANCE","2025-11-24","4926.92","5018.08","4923.77","5018.08","1.94 %","509,634,341.50","-"
"MICROFINANCE","2025-11-23","4823.73","4922.81","4823.73","4922.81","1.84 %","405,267,936.80","-"
"MICROFINANCE","2025-11-20","4816.15","4835.12","4790.32","4834.02","0.27 %","350,685,964.20","-"
"MICROFINANCE","2025-11-19","4827.23","4851.56","4798.59","4820.79","-0.07 %","206,169,039.30","-"
"MICROFINANCE","2025-11-18","4799.75","4845.65","4799.75","4823.98","0.48 %","237,753,044.60","-"
"MICROFINANCE","2025-11-17","4780.31","4809.47","4774.77","4801.11","0.35 %","189,340,657.40","-"
"MICROFINANCE","2025-11-16","4802.3","4803.8","4769.18","4784.57","-0.38 %","191,751,255.40","-"
"MICROFINANCE","2025-11-13","4793.87","4819.07","4777.38","4803.04","0.01 %","194,768,563.70","-"
"MICROFINANCE","2025-11-12","4839.57","4845.6","4793.76","4802.59","-0.70 %","268,874,304.20","-"
"MICROFINANCE","2025-11-11","4836.01","4866.93","4800.88","4836.35","-0.05 %","169,463,653.10","-"
"MICROFINANCE","2025-11-10","4847.4","4857.37","4796.26","4838.84","-0.08 %","335,743,316.40","-"
"MICROFINANCE","2025-11-09","4912.22","4912.88","4825.66","4842.72","-1.28 %","254,291,278.20","-"
"MICROFINANCE","2025-11-06","4910.42","4922.15","4876.24","4905.58","-0.13 %","455,840,779.70","-"
"MICROFINANCE","2025-11-05","4890.73","4918.19","4845.15","4912.16","0.23 %","381,399,487.10","-"
"MICROFINANCE","2025-11-04","4941.21","4955.87","4863.42","4901.03","-0.76 %","357,102,181.20","-"
"MICROFINANCE","2025-11-03","4962.45","4977.95","4908.91","4938.5","-0.64 %","411,208,490.70","-"
"MICROFINANCE","2025-11-02","4913.14","4982.15","4893.18","4970.11","1.38 %","461,101,814.10","-"
"MICROFINANCE","2025-10-30","4830.45","4903.3","4791.99","4902.23","1.60 %","471,788,040.30","-"
"MICROFINANCE","2025-10-29","4813.74","4870.49","4779.61","4824.88","0.14 %","418,351,446.40","-"
"MICROFINANCE","2025-10-28","4693.86","4818.34","4683.1","4818.34","2.60 %","313,141,785.40","-"
"MICROFINANCE","2025-10-26","4702.82","4704.14","4646.73","4696.25","-0.24 %","166,946,883.70","-"
"MICROFINANCE","2025-10-19","4694.2","4709.4","4669.12","4707.4","0.47 %","111,866,523.10","-"
"MICROFINANCE","2025-10-16","4719.23","4727.12","4643.89","4685.17","-0.73 %","317,149,953.90","-"
"MICROFINANCE","2025-10-15","4745.23","4767.43","4682.08","4719.84","-0.57 %","250,202,330.00","-"
"MICROFINANCE","2025-10-14","4780.4","4789.74","4719.82","4746.71","-0.80 %","290,783,776.60","-"
"MICROFINANCE","2025-10-13","4753.82","4787.15","4705.74","4784.78","0.64 %","303,838,521.70","-"
"MICROFINANCE","2025-10-12","4891.02","4891.02","4723.84","4754.57","-2.89 %","381,871,895.40","-"
"MICROFINANCE","2025-10-09","4864.49","5032.24","4863.16","4895.96","0.95 %","332,436,341.50","-"
"MICROFINANCE","2025-10-08","4948.99","4957.84","4800.38","4849.68","-1.90 %","349,435,908.20","-"
"MICROFINANCE","2025-10-07","5032.52","5034.08","4894.04","4943.38","-1.87 %","305,187,371.50","-"
"MICROFINANCE","2025-09-28","5007.7","5046.93","5003.11","5037.65","0.60 %","197,180,527.10","-"
"MICROFINANCE","2025-09-25","5007.96","5010.31","4979.37","5007.63","-0.10 %","207,598,407.70","-"
"MICROFINANCE","2025-09-24","5051.85","5060.39","4971.76","5012.4","-0.85 %","261,272,436.10","-"
"MICROFINANCE","2025-09-23","4936.73","5061.44","4929.63","5055.35","2.55 %","369,864,409.10","-"
"MICROFINANCE","2025-09-21","4732.06","4949.99","4715.57","4929.81","3.69 %","543,050,176.80","-"
"MICROFINANCE","2025-09-18","4905.39","4905.39","4750.19","4754.32","-4.09 %","23,549,528.00","-"
"MICROFINANCE","2025-09-08","5015.63","5020.69","4924.13","4957.06","-1.14 %","364,559,431.30","-"
"MICROFINANCE","2025-09-07","5012.35","5035.75","4999.45","5014.05","-0.19 %","263,786,874.90","-"
"MICROFINANCE","2025-09-04","5025.04","5039.48","4989.3","5023.48","-0.16 %","415,348,541.50","-"
"MICROFINANCE","2025-09-03","5059.38","5075.5","5029.7","5031.5","-0.69 %","414,018,960.70","-"
"MICROFINANCE","2025-09-02","5111.23","5117.65","5055.89","5066.65","-0.97 %","453,635,994.20","-"
"MICROFINANCE","2025-09-01","5093.73","5116.64","5073.29","5116.31","0.27 %","434,361,569.70","-"
"MICROFINANCE","2025-08-31","5170.51","5174.41","5086.59","5102.39","-1.38 %","537,181,668.99","-"
"MICROFINANCE","2025-08-28","5239.14","5246.24","5172.88","5173.96","-1.41 %","649,653,010.30","-"
"MICROFINANCE","2025-08-27","5189.41","5256.1","5184.5","5247.9","1.10 %","609,972,223.90","-"
"MICROFINANCE","2025-08-26","5223.87","5229.79","5177.41","5190.94","-0.48 %","512,998,515.90","-"
"MICROFINANCE","2025-08-25","5188.68","5275.94","5173.6","5216.07","1.50 %","1,038,848,645.60","-"
"MICROFINANCE","2025-08-24","5141.83","5188.31","5123.78","5138.95","-0.15 %","412,461,494.40","-"
"MICROFINANCE","2025-08-21","5154.35","5170.37","5129.39","5146.92","-0.22 %","399,001,093.70","-"
"MICROFINANCE","2025-08-20","5175.28","5188.62","5153.3","5158.01","-0.41 %","424,094,417.50","-"
"MICROFINANCE","2025-08-19","5168.18","5220.5","5167.94","5179.08","0.13 %","395,349,500.70","-"
"MICROFINANCE","2025-08-18","5170.24","5194.52","5144.61","5172.47","0.10 %","494,376,439.40","-"
"MICROFINANCE","2025-08-17","5236.52","5252.92","5161.18","5167.27","-1.31 %","639,704,986.30","-"
"MICROFINANCE","2025-08-14","5239.8","5277.83","5218.86","5236.05","-0.13 %","533,877,516.00","-"
"MICROFINANCE","2025-08-13","5256.91","5308.01","5235.18","5242.64","-0.23 %","539,368,344.00","-"
"MICROFINANCE","2025-08-12","5331.19","5331.19","5248.16","5254.54","-1.49 %","745,570,394.10","-"
"MICROFINANCE","2025-08-11","5455.96","5478.06","5323.36","5334.19","-2.36 %","1,198,097,399.60","-"
"MICROFINANCE","2025-08-07","5445.82","5500.36","5445.82","5463.04","0.37 %","1,094,709,469.50","-"
"MICROFINANCE","2025-08-06","5368.53","5474.75","5350.75","5443.09","1.41 %","1,078,810,183.10","-"
"MICROFINANCE","2025-08-05","5340.18","5446.14","5313.81","5367.23","0.50 %","1,106,719,125.70","-"
"MICROFINANCE","2025-08-04","5305.55","5381.34","5258.5","5340.4","0.62 %","802,095,714.50","-"
"MICROFINANCE","2025-08-03","5476.63","5476.88","5301.49","5307.27","-3.05 %","1,126,270,743.40","-"
"MICROFINANCE","2025-07-31","5522.26","5554.06","5457.5","5474.4","-0.51 %","1,244,319,186.00","-"
"MICROFINANCE","2025-07-30","5692.37","5693.2","5478.48","5502.25","-3.28 %","1,591,570,739.00","-"
"MICROFINANCE","2025-07-29","5602.33","5745.54","5602.32","5688.96","1.69 %","2,056,997,801.40","-"
"MICROFINANCE","2025-07-28","5614.26","5616.01","5496.96","5594.18","-0.29 %","1,516,038,736.60","-"
"MICROFINANCE","2025-07-27","5603.9","5714.51","5585.42","5610.44","0.01 %","2,302,917,384.20","-"
"MICROFINANCE","2025-07-24","5623.12","5640.93","5557.74","5610.06","-0.23 %","1,796,807,923.70","-"
"MICROFINANCE","2025-07-23","5680.64","5685.68","5554.46","5623.18","-0.72 %","1,907,048,468.70","-"
"MICROFINANCE","2025-07-22","5450.79","5691.42","5450.24","5664.1","4.07 %","2,339,441,881.20","-"
"MICROFINANCE","2025-07-21","5344.73","5493.22","5298.13","5442.55","1.93 %","2,024,127,381.50","-"
