"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"OTHERS","2026-01-14","2350.65","2385.25","2348.79","2357.74","-0.13 %","290,632,082.20","-"
"OTHERS","2026-01-13","2332.25","2368.8","2330.44","2360.9","0.78 %","497,526,675.60","-"
"OTHERS","2026-01-12","2349.5","2370.07","2339.79","2342.55","-0.30 %","458,890,368.00","-"
"OTHERS","2026-01-08","2350.61","2357.68","2342.22","2349.5","-0.07 %","248,164,811.80","-"
"OTHERS","2026-01-07","2373.3","2379.74","2345.08","2351.21","-0.54 %","361,228,142.20","-"
"OTHERS","2026-01-06","2355.85","2380.17","2346.52","2363.9","0.77 %","583,181,307.00","-"
"OTHERS","2026-01-05","2327.39","2352.83","2321.23","2345.73","0.74 %","498,953,994.90","-"
"OTHERS","2026-01-04","2358.8","2361.57","2316.35","2328.6","-1.69 %","383,508,939.54","-"
"OTHERS","2026-01-01","2377.84","2381.96","2357.93","2368.71","0.01 %","418,624,941.30","-"
"OTHERS","2025-12-31","2360.26","2391.56","2356.98","2368.44","0.35 %","406,897,762.70","-"
"OTHERS","2025-12-29","2375.99","2393.21","2354.3","2360.26","-0.67 %","266,651,150.00","-"
"OTHERS","2025-12-28","2319.31","2377.23","2319.31","2376.14","2.56 %","345,688,579.00","-"
"OTHERS","2025-12-24","2339.96","2339.96","2313.53","2316.89","-0.28 %","155,375,668.40","-"
"OTHERS","2025-12-23","2285.14","2325.35","2284.37","2323.43","1.29 %","175,308,697.00","-"
"OTHERS","2025-12-22","2300.89","2319.4","2290.06","2293.95","-0.69 %","164,314,514.20","-"
"OTHERS","2025-12-21","2310.27","2327.89","2298.6","2309.95","-0.42 %","261,339,291.10","-"
"OTHERS","2025-12-18","2372.2","2372.2","2317.57","2319.73","-1.19 %","232,194,676.30","-"
"OTHERS","2025-12-17","2356.75","2366.13","2339.61","2347.72","0.05 %","284,853,079.30","-"
"OTHERS","2025-12-16","2328.27","2346.48","2319.14","2346.48","1.15 %","231,564,781.50","-"
"OTHERS","2025-12-15","2304.45","2334.51","2304.45","2319.71","-0.17 %","212,955,445.30","-"
"OTHERS","2025-12-14","2339.68","2349.46","2314.46","2323.7","-0.46 %","248,518,453.20","-"
"OTHERS","2025-12-11","2346.86","2354.79","2328.64","2334.38","-0.63 %","232,501,742.40","-"
"OTHERS","2025-12-10","2368.28","2368.28","2330.49","2349.25","-0.40 %","268,213,834.70","-"
"OTHERS","2025-12-09","2350.12","2366.25","2341.99","2358.67","0.34 %","234,975,114.40","-"
"OTHERS","2025-12-08","2355.53","2371.8","2342.56","2350.57","-0.22 %","367,475,598.10","-"
